O*NET-SOC Code,Title,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Health and Safety of Other Workers,Impact of Decisions on Co-workers or Company Results,Work Outcomes and Results of Other Workers,"Determine Tasks, Priorities and Goals",Developing Objectives and Strategies Combined,Making Decisions and Solving Problems Combined,Judgment and Decision Making Combined
19-1029.03,Geneticists,2.62,4.64,3.04,3.16,3.25,3.04,4.24,2.918857142857143,3.653714285714286,2.7142857142857144
19-1029.04,Biologists,2.76,4.42,2.97,3.59,3.09,3.82,4.57,3.2168,4.083400000000001,2.571428571428571
19-1031.00,Conservation Scientists,2.48,4.09,3.0,3.18,3.13,3.09,3.87,2.186114285714286,3.1942,2.125
19-1031.02,Range Managers,2.84,4.28,3.25,3.51,3.73,3.35,4.39,3.3138,3.5235,2.4522285714285714
19-1031.03,Park Naturalists,1.91,3.69,3.22,3.26,3.54,3.05,4.09,2.1154,2.913742857142857,2.044642857142857
19-1032.00,Foresters,3.26,4.64,4.06,3.08,4.13,3.35,4.48,2.482,3.5901142857142863,2.6185714285714288
19-1041.00,Epidemiologists,2.28,4.58,3.22,2.89,3.56,3.21,4.53,2.8546571428571426,3.997342857142857,3.0335714285714284
19-1042.00,"Medical Scientists, Except Epidemiologists",3.43,4.41,3.27,3.7,3.88,3.29,4.15,2.332814285714286,3.4496571428571423,2.821428571428571
19-2011.00,Astronomers,2.04,4.83,2.17,2.3,2.78,2.78,4.74,2.566,3.7962,2.4522285714285714
19-2012.00,Physicists,2.13,4.42,2.48,2.87,3.26,2.6,4.5,2.8384857142857145,3.805599999999999,2.7678571428571432
19-2021.00,Atmospheric and Space Scientists,2.25,3.95,3.35,2.45,3.53,3.2,3.85,2.3042857142857143,3.347142857142857,2.524285714285714
19-2031.00,Chemists,3.42,4.44,3.63,3.78,3.55,3.47,4.14,1.931357142857143,3.0967857142857143,2.125
19-2032.00,Materials Scientists,3.05,3.76,2.9,3.71,3.33,3.19,3.71,2.1130000000000004,3.4451714285714283,2.4522285714285714
19-2041.00,"Environmental Scientists and Specialists, Including Health",2.56,3.71,3.23,2.51,3.39,3.06,3.94,1.8422857142857143,3.2773428571428567,2.205357142857143
19-2041.01,Climate Change Policy Analysts,2.0,4.13,2.91,1.74,3.26,3.26,4.09,3.137342857142857,3.5179,2.096342857142857
19-2041.02,Environmental Restoration Planners,2.27,4.36,2.77,3.0,3.23,3.35,4.38,3.1214285714285714,3.592642857142857,2.645714285714285
19-2041.03,Industrial Ecologists,2.05,4.26,2.82,2.26,3.22,2.95,4.39,2.6391,2.906257142857143,2.8150000000000004
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",2.38,4.22,2.97,3.03,3.41,2.94,4.12,2.7030000000000003,3.333257142857143,2.645714285714285
19-2043.00,Hydrologists,2.48,4.14,2.65,2.91,3.09,3.04,4.05,2.7228571428571438,3.686071428571428,2.3392857142857144
19-2099.01,Remote Sensing Scientists and Technologists,2.52,4.12,2.84,2.36,3.28,3.09,4.08,2.787428571428572,3.625942857142857,2.6185714285714288
19-3011.00,Economists,2.33,4.61,3.55,1.79,3.46,3.38,4.21,2.5227714285714287,3.584485714285714,2.765714285714286
19-3011.01,Environmental Economists,1.93,4.74,2.26,1.33,3.0,2.52,4.77,2.3457857142857144,3.3625142857142856,2.4971428571428573
19-3022.00,Survey Researchers,2.84,4.08,3.19,2.12,3.62,3.69,4.0,2.6378285714285714,3.579142857142857,2.524285714285714
19-3032.00,Industrial-Organizational Psychologists,2.88,4.42,3.62,2.35,4.23,3.6,4.58,3.0904000000000003,3.812571428571428,2.782857142857143
19-3033.00,Clinical and Counseling Psychologists,3.64,4.64,4.12,2.88,4.04,2.56,4.68,2.800342857142857,3.999428571428571,2.4732142857142856
19-3034.00,School Psychologists,2.18,4.62,3.59,2.02,3.58,1.99,4.48,1.6322142857142856,2.722257142857143,2.645714285714285
19-3039.02,Neuropsychologists,2.4,4.72,4.08,2.52,3.76,2.68,4.4,2.3216,3.9744,3.0335714285714284
19-3039.03,Clinical Neuropsychologists,2.92,4.83,4.08,2.92,4.08,2.96,4.54,2.252714285714286,3.855,2.894285714285714
19-3041.00,Sociologists,1.89,4.7,2.74,2.1,2.85,3.0,4.65,2.7792857142857144,3.4232142857142858,2.4035714285714285
19-3051.00,Urban and Regional Planners,1.92,3.79,2.96,2.12,3.32,3.12,4.12,4.017142857142857,4.023999999999999,2.894285714285714
19-3091.00,Anthropologists and Archeologists,2.17,4.45,2.26,2.47,3.0,2.53,4.5,2.541428571428572,3.216428571428571,2.1635714285714283
19-3092.00,Geographers,1.8,4.4,2.65,2.05,2.9,2.8,4.45,2.562971428571428,3.022857142857143,2.354914285714286
19-3093.00,Historians,1.91,4.0,3.67,3.07,3.62,3.31,4.27,1.9554285714285715,2.315,1.9842857142857144
19-3094.00,Political Scientists,2.08,4.85,2.92,1.65,3.04,2.24,4.81,2.486542857142857,2.995428571428572,2.4522285714285714
19-3099.01,Transportation Planners,1.89,3.85,3.0,2.45,3.6,3.47,3.85,3.385,3.4499285714285715,2.6950857142857143
19-4012.00,Agricultural Technicians,2.86,3.84,2.89,3.76,3.07,3.17,3.49,1.6704285714285714,2.5219,1.9085714285714288
19-4012.01,Precision Agriculture Technicians,3.17,4.17,3.91,3.22,3.65,3.43,4.09,2.1526,2.856142857142857,2.125
19-4013.00,Food Science Technicians,2.94,4.15,4.37,4.04,3.95,4.05,3.76,1.3955714285714285,2.4025,1.8571428571428568
19-4021.00,Biological Technicians,2.72,3.85,2.63,3.04,2.56,3.06,3.74,1.983714285714285,2.9522,2.06
19-4031.00,Chemical Technicians,3.84,3.84,3.35,4.16,3.74,3.08,3.11,1.8451,3.120828571428571,1.9842857142857144
19-4042.00,"Environmental Science and Protection Technicians, Including Health",2.91,3.77,3.23,3.82,3.55,3.0,3.73,1.8449714285714285,2.4285714285714284,2.044642857142857
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",3.02,4.17,3.32,3.09,3.5,3.21,4.04,1.6155142857142857,1.9805714285714284,1.9085714285714288
19-4051.00,Nuclear Technicians,4.19,3.15,4.27,4.28,4.07,3.24,3.32,1.6019285714285714,2.7446,2.044642857142857
19-4051.02,Nuclear Monitoring Technicians,3.72,3.67,3.9,4.53,3.7,3.54,3.64,1.9118857142857144,2.9,2.1492
19-4061.00,Social Science Research Assistants,1.92,3.89,2.29,1.84,2.96,2.45,3.89,2.4212,2.238785714285714,1.9449142857142856
19-4071.00,Forest and Conservation Technicians,3.56,4.14,4.21,4.11,4.23,3.63,3.95,2.792714285714286,3.3405142857142858,2.086428571428572
19-4092.00,Forensic Science Technicians,3.81,3.89,4.7,3.25,4.51,3.4,4.21,1.5814857142857144,2.559285714285714,2.1635714285714283
19-4099.01,Quality Control Analysts,3.63,4.05,3.49,3.34,3.63,3.21,4.22,1.5798142857142858,2.092371428571428,1.8914285714285717
19-4099.03,Remote Sensing Technicians,2.22,4.07,3.01,1.83,3.3,2.75,3.49,2.0012857142857143,2.704,2.2308
19-5011.00,Occupational Health and Safety Specialists,3.35,4.04,3.77,4.3,4.22,3.3,4.13,2.5346571428571427,3.4330857142857147,2.4732142857142856
19-5012.00,Occupational Health and Safety Technicians,3.95,4.19,3.9,4.24,4.16,3.3,4.1,2.681985714285714,3.164285714285714,2.044642857142857
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,3.03,3.63,2.54,4.05,2.83,3.72,3.93,3.045485714285714,3.475,2.596342857142857
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.96,4.01,3.92,2.8,4.16,2.8,4.15,2.5178857142857143,3.8537714285714286,2.4522285714285714
21-1013.00,Marriage and Family Therapists,2.43,4.4,4.6,2.38,3.98,1.89,4.34,2.296614285714286,3.5567999999999995,2.821428571428571
21-1014.00,Mental Health Counselors,3.46,4.64,4.07,2.79,4.07,2.21,4.61,3.023371428571429,3.6347714285714288,2.7142857142857144
21-1015.00,Rehabilitation Counselors,2.42,4.09,4.25,3.43,3.93,3.41,4.07,2.2826285714285715,3.222785714285714,2.2308
21-1021.00,"Child, Family, and School Social Workers",3.64,4.44,4.17,2.73,3.98,2.92,4.4,2.598171428571429,3.156571428571429,2.7142857142857144
21-1022.00,Healthcare Social Workers,2.7,4.3,3.89,3.22,3.89,2.74,4.22,2.2053142857142856,3.1482,2.4522285714285714
21-1023.00,Mental Health and Substance Abuse Social Workers,2.86,4.34,3.59,2.93,3.52,2.91,4.25,3.0469142857142857,3.6597142857142857,2.3857142857142857
21-1091.00,Health Education Specialists,2.46,4.42,3.82,3.55,4.07,3.27,4.15,3.2044,3.5029285714285714,2.0028571428571427
21-1092.00,Probation Officers and Correctional Treatment Specialists,3.56,4.16,4.0,3.87,4.21,2.82,3.98,2.4573,3.4137142857142857,2.4035714285714285
21-1093.00,Social and Human Service Assistants,2.71,3.94,3.74,3.84,3.72,3.14,4.07,2.3568,2.3910857142857145,2.044642857142857
21-1094.00,Community Health Workers,2.44,3.97,3.86,3.41,3.84,3.24,4.09,3.2923571428571425,2.3718,2.1492
21-2011.00,Clergy,2.74,4.51,3.87,3.2,4.11,3.77,4.44,2.4894285714285718,2.7782285714285715,2.645714285714285
21-2021.00,"Directors, Religious Activities and Education",1.44,4.72,3.4,2.67,3.14,2.85,4.98,3.0545571428571425,3.212457142857143,2.1677714285714287
23-1011.00,Lawyers,3.81,4.67,4.21,2.38,4.48,3.9,4.76,2.9815714285714288,4.1059,2.9522285714285714
23-1012.00,Judicial Law Clerks,2.72,3.67,3.96,1.26,4.56,2.55,3.89,1.281657142857143,2.779257142857143,2.1635714285714283
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",2.47,4.53,4.85,1.63,4.47,2.45,4.35,1.256457142857143,3.8542857142857136,3.1750857142857143
23-1022.00,"Arbitrators, Mediators, and Conciliators",2.4,4.75,3.7,2.05,4.3,2.6,4.65,1.6192857142857142,4.006614285714285,2.4035714285714285
23-1023.00,"Judges, Magistrate Judges, and Magistrates",3.65,4.99,4.61,2.66,4.89,3.6,4.91,1.774714285714286,4.731257142857142,3.205357142857143
23-2011.00,Paralegals and Legal Assistants,2.92,4.12,3.92,1.87,3.89,2.66,4.24,1.392,2.2696428571428573,1.8571428571428568
23-2093.00,"Title Examiners, Abstractors, and Searchers",3.46,4.64,4.39,2.26,4.33,3.41,4.69,1.6339428571428571,2.932642857142857,1.6875
25-1011.00,"Business Teachers, Postsecondary",1.82,4.74,3.65,2.32,3.49,2.62,4.7,2.258,2.6825714285714284,2.36
25-1021.00,"Computer Science Teachers, Postsecondary",1.64,4.7,3.62,2.3,3.65,3.06,4.63,2.723028571428572,3.549485714285715,2.596342857142857
25-1022.00,"Mathematical Science Teachers, Postsecondary",1.44,4.34,3.47,1.72,3.07,2.23,3.94,2.2160714285714285,2.589657142857143,2.086428571428572
25-1031.00,"Architecture Teachers, Postsecondary",1.9,4.67,2.99,2.41,3.23,3.12,4.53,3.110314285714286,3.315785714285714,2.6950857142857143
25-1032.00,"Engineering Teachers, Postsecondary",2.53,4.58,3.19,2.86,3.36,3.46,4.64,2.7671,3.4816000000000003,2.571428571428571
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",2.41,4.7,3.39,2.97,3.86,2.97,4.95,2.9135,3.5182857142857142,2.571428571428571
25-1042.00,"Biological Science Teachers, Postsecondary",2.37,4.95,4.07,3.72,3.78,3.46,4.7,3.3729714285714283,3.64,2.6185714285714288
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",2.54,4.77,3.51,3.77,3.89,3.34,4.6,2.806857142857143,3.808,2.125
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2.31,4.86,3.25,3.08,3.64,3.15,4.66,2.457142857142857,2.808,2.4285714285714284
25-1052.00,"Chemistry Teachers, Postsecondary",2.94,4.71,3.27,4.13,3.75,4.0,4.71,2.5094857142857143,2.9221,2.4035714285714285
25-1053.00,"Environmental Science Teachers, Postsecondary",2.57,4.52,3.29,3.33,3.22,3.5,4.59,2.573714285714286,3.0769,2.2471428571428573
25-1054.00,"Physics Teachers, Postsecondary",2.28,4.76,3.46,2.59,3.46,2.83,4.82,2.756742857142857,3.370828571428571,2.524285714285714
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",1.91,4.55,2.64,2.9,3.09,3.19,4.36,2.9722857142857144,3.0828571428571427,2.571428571428571
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2.32,4.65,3.68,2.4,3.49,2.97,4.55,2.999542857142857,2.7729714285714286,2.1635714285714283
25-1063.00,"Economics Teachers, Postsecondary",1.98,4.73,3.18,1.78,3.29,2.01,4.68,1.7225,2.8340571428571426,2.3192
25-1064.00,"Geography Teachers, Postsecondary",1.91,4.93,2.93,2.24,2.97,2.84,4.67,2.55,2.8268571428571425,2.205357142857143
25-1065.00,"Political Science Teachers, Postsecondary",1.52,4.75,4.16,1.96,3.49,2.17,4.72,2.3514285714285714,2.886142857142857,2.205357142857143
25-1066.00,"Psychology Teachers, Postsecondary",1.98,4.89,3.36,2.22,3.68,2.7,4.66,3.011885714285714,3.574771428571429,2.6185714285714288
25-1067.00,"Sociology Teachers, Postsecondary",2.06,4.83,3.55,2.15,3.38,2.5,4.78,2.688028571428571,3.0952,2.2857142857142856
25-1071.00,"Health Specialties Teachers, Postsecondary",2.89,4.83,3.88,3.35,3.97,3.47,4.63,2.6579,3.28,2.596342857142857
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",3.63,4.15,4.05,3.93,4.24,4.0,4.21,3.2119000000000004,3.871314285714286,2.596342857142857
25-1081.00,"Education Teachers, Postsecondary",2.55,4.86,4.02,2.52,3.98,3.47,4.71,2.8892285714285717,3.404285714285714,2.211428571428572
25-1082.00,"Library Science Teachers, Postsecondary",1.92,4.86,3.53,2.15,3.6,2.91,4.97,3.1306428571428566,3.4563,2.205357142857143
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2.14,4.64,4.07,2.8,4.12,2.87,4.68,2.333928571428572,2.837885714285714,2.354914285714286
25-1112.00,"Law Teachers, Postsecondary",2.52,4.75,3.7,1.99,3.87,2.66,4.92,2.2672,2.5840000000000005,2.6950857142857143
25-1113.00,"Social Work Teachers, Postsecondary",2.57,4.73,3.13,2.38,3.25,2.63,4.62,2.8829285714285717,3.1415285714285712,2.4971428571428573
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",1.77,4.53,3.23,2.77,3.21,2.91,4.38,2.669285714285714,3.364285714285714,2.1635714285714283
25-1122.00,"Communications Teachers, Postsecondary",2.52,4.85,3.95,2.76,3.29,2.93,4.5,2.6344000000000003,3.424199999999999,2.3857142857142857
25-1123.00,"English Language and Literature Teachers, Postsecondary",1.61,4.59,3.21,1.75,3.23,2.52,4.66,3.101442857142857,3.7767142857142857,2.275
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",1.78,4.28,3.67,1.52,3.05,2.29,4.45,2.3359,2.7710714285714286,2.3392857142857144
25-1125.00,"History Teachers, Postsecondary",2.0,4.91,3.85,1.64,3.59,2.02,4.93,2.322057142857143,2.6512,2.4035714285714285
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",2.41,4.62,3.79,1.79,3.76,2.33,4.53,2.385657142857143,3.342914285714286,2.2308
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",1.95,4.45,4.28,2.93,3.94,3.03,4.61,2.559785714285714,2.7672857142857143,2.096342857142857
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",2.92,4.62,3.76,3.05,4.11,3.22,4.79,2.685914285714285,3.1314428571428574,2.524285714285714
25-1194.00,"Career/Technical Education Teachers, Postsecondary",2.48,4.38,3.56,3.18,3.44,3.05,4.31,2.353857142857143,2.771071428571428,1.9642857142857144
25-2011.00,"Preschool Teachers, Except Special Education",3.08,3.55,3.54,3.04,3.63,2.72,3.6,1.7927571428571427,1.9407571428571428,1.9085714285714288
25-2012.00,"Kindergarten Teachers, Except Special Education",2.15,4.14,4.14,2.95,3.9,2.84,3.83,2.949942857142857,2.9242285714285714,2.1142857142857143
25-2021.00,"Elementary School Teachers, Except Special Education",1.86,3.99,3.97,3.82,3.96,3.94,3.93,2.4706857142857137,2.6393714285714287,2.422142857142857
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",1.85,4.38,4.15,3.22,3.36,3.22,4.57,3.0569714285714285,3.4494,2.1228571428571428
25-2023.00,"Career/Technical Education Teachers, Middle School",2.78,4.4,4.52,3.2,3.67,3.31,4.27,2.5147000000000004,2.8,2.02
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",2.22,4.25,3.57,3.29,3.49,3.05,4.04,3.0608,3.1312,2.4732142857142856
25-2032.00,"Career/Technical Education Teachers, Secondary School",2.86,4.07,4.36,3.77,3.88,3.26,4.13,3.132,3.3891142857142853,2.225714285714286
25-2051.00,"Special Education Teachers, Preschool",2.39,4.09,4.32,3.29,3.59,3.21,3.64,2.718628571428572,2.384128571428572,2.1492
25-2056.00,"Special Education Teachers, Elementary School",2.76,3.62,2.64,3.31,3.14,2.66,4.02,2.8637571428571427,2.8265,2.216428571428572
25-2057.00,"Special Education Teachers, Middle School",2.62,3.86,3.5,3.76,3.1,3.67,3.87,2.171642857142857,2.378571428571429,2.1677714285714287
25-2058.00,"Special Education Teachers, Secondary School",2.75,4.54,4.12,3.3,4.17,2.93,4.22,2.7219999999999995,2.9546857142857146,2.4035714285714285
25-2059.01,Adapted Physical Education Specialists,2.4,4.55,3.47,3.81,3.19,3.35,4.5,2.8474285714285714,2.92,2.596342857142857
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1.97,4.24,3.66,2.83,3.63,3.2,4.37,2.4257,2.5424714285714285,2.02
25-3021.00,Self-Enrichment Teachers,1.84,4.79,3.42,2.76,3.65,2.48,4.37,1.768857142857143,2.6297,1.8571428571428568
25-3031.00,"Substitute Teachers, Short-Term",1.33,4.26,3.34,3.63,2.83,2.82,3.73,1.3738,1.9878285714285715,1.6875
25-3041.00,Tutors,1.38,4.27,3.14,2.24,2.59,2.48,4.36,2.274,2.794428571428571,2.044642857142857
25-4011.00,Archivists,2.72,4.03,2.86,2.26,3.23,2.5,4.0,2.774314285714285,3.1513,1.9842857142857144
25-4012.00,Curators,2.28,4.48,3.61,2.89,3.81,3.71,4.68,2.4818571428571428,2.897828571428572,2.3857142857142857
25-4013.00,Museum Technicians and Conservators,2.97,4.6,3.37,3.08,3.72,3.01,4.35,2.0189285714285714,2.6179428571428573,1.9449142857142856
25-4022.00,Librarians and Media Collections Specialists,2.04,4.27,3.48,2.56,3.19,2.79,4.43,2.2285000000000004,2.585028571428571,1.9085714285714288
25-4031.00,Library Technicians,2.03,4.16,3.79,2.36,3.41,2.71,4.28,1.3496,1.8835,1.6714285714285717
25-9021.00,Farm and Home Management Educators,2.19,4.74,3.44,2.96,3.26,3.04,4.56,2.525714285714286,2.877142857142857,2.645714285714285
25-9031.00,Instructional Coordinators,1.71,4.02,3.35,2.43,3.57,3.97,4.11,3.1307428571428573,3.4722285714285714,2.6185714285714288
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2.69,3.39,4.24,3.77,4.27,2.25,3.61,2.6432,3.041257142857143,1.7200000000000002
25-9043.00,"Teaching Assistants, Special Education",2.82,3.31,3.89,3.1,3.58,2.25,3.12,1.7408285714285712,2.314857142857143,1.6714285714285717
25-9044.00,"Teaching Assistants, Postsecondary",2.38,4.03,2.88,2.32,2.95,2.27,4.19,1.874142857142857,2.416442857142857,1.8571428571428568
27-1011.00,Art Directors,1.92,4.17,3.66,1.89,3.33,3.04,4.2,1.8381,3.484171428571429,2.524285714285714
27-1012.00,Craft Artists,1.78,4.36,2.41,2.22,2.39,2.0,4.57,1.750142857142857,2.6757142857142857,1.8057142857142856
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",2.27,4.82,3.55,1.63,2.99,1.63,4.4,1.1759142857142857,2.3474142857142857,1.8571428571428568
27-1014.00,Special Effects Artists and Animators,3.13,4.27,4.32,2.27,3.67,4.12,3.69,1.9863142857142857,2.4921,1.9449142857142856
27-1021.00,Commercial and Industrial Designers,2.92,3.71,4.08,2.98,4.28,3.28,3.75,1.5195142857142856,2.990414285714285,2.205357142857143
27-1022.00,Fashion Designers,1.85,3.59,2.72,3.19,3.41,3.51,3.64,2.002742857142857,2.7480571428571428,2.422142857142857
27-1023.00,Floral Designers,2.23,4.23,3.37,3.83,2.88,3.99,4.59,1.5714285714285716,1.5728285714285717,1.8328571428571427
27-1024.00,Graphic Designers,2.0,4.1,3.26,1.75,3.25,3.11,4.1,2.392857142857143,3.040642857142857,1.9085714285714288
27-1025.00,Interior Designers,2.29,3.88,3.75,2.96,3.44,3.38,3.92,2.5446857142857144,3.794857142857144,2.1607142857142856
27-1026.00,Merchandise Displayers and Window Trimmers,1.85,4.12,3.98,2.58,3.18,2.71,3.72,1.7208,2.282057142857143,1.9085714285714288
27-1027.00,Set and Exhibit Designers,2.33,4.24,3.0,2.62,3.48,3.05,4.19,2.1066857142857143,3.31,2.0608
27-2011.00,Actors,1.97,3.45,3.62,2.93,3.29,2.99,2.88,1.1812857142857145,1.5349857142857144,1.8057142857142856
27-2012.00,Producers and Directors,2.65,4.33,4.66,2.55,4.5,4.28,4.27,2.155,2.8704428571428573,2.2928571428571427
27-2012.03,Media Programming Directors,3.05,4.03,4.25,2.05,4.2,3.78,4.2,2.3405714285714287,3.2155428571428573,2.8363428571428573
27-2012.04,Talent Directors,2.05,4.23,3.79,3.33,4.45,4.17,4.55,1.5976,2.6810857142857145,2.44
27-2012.05,Media Technical Directors/Managers,2.96,4.31,4.68,2.87,4.31,4.05,4.17,1.9306,3.494857142857143,2.354914285714286
27-2021.00,Athletes and Sports Competitors,2.51,4.14,3.67,3.54,4.21,3.38,4.03,2.9596,3.091428571428571,1.9257142857142855
27-2022.00,Coaches and Scouts,2.65,4.03,4.09,3.42,3.25,3.06,4.16,2.386,2.821257142857143,2.765714285714286
27-2023.00,"Umpires, Referees, and Other Sports Officials",2.19,4.52,3.29,2.62,3.33,2.63,2.86,1.2082857142857142,2.8385714285714285,1.9642857142857144
27-2031.00,Dancers,2.56,3.45,3.38,2.82,3.71,2.63,3.2,1.3528857142857142,1.3765428571428573,1.5207142857142857
27-2032.00,Choreographers,1.9,4.05,2.95,3.95,3.0,4.14,3.86,2.314285714285714,3.3879428571428574,1.9642857142857144
27-2041.00,Music Directors and Composers,2.06,4.7,3.64,2.38,3.81,3.55,4.55,2.067657142857142,2.6975714285714285,2.1142857142857143
27-2042.00,Musicians and Singers,2.36,3.2,3.07,1.46,2.94,2.3,2.31,1.6761142857142857,2.1945714285714284,1.6364285714285711
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,3.36,4.17,4.46,2.12,4.25,3.35,3.88,2.1833142857142853,3.014257142857143,1.8571428571428568
27-3023.00,"News Analysts, Reporters, and Journalists",2.62,4.56,4.36,2.02,4.0,2.92,4.32,1.4818285714285715,2.2968571428571427,1.9642857142857144
27-3031.00,Public Relations Specialists,2.86,3.81,4.1,2.09,4.05,3.5,3.91,3.59,3.5477571428571437,2.4285714285714284
27-3041.00,Editors,2.43,4.07,4.33,1.96,4.15,3.36,4.21,1.7437142857142858,2.6575999999999995,2.023657142857143
27-3042.00,Technical Writers,2.37,4.4,3.58,1.73,3.43,2.58,3.51,1.7567999999999997,2.155014285714286,1.9085714285714288
27-3043.00,Writers and Authors,1.85,3.56,4.54,1.33,4.38,3.58,3.64,2.564285714285714,2.699871428571428,1.9642857142857144
27-3043.05,"Poets, Lyricists and Creative Writers",1.57,4.64,1.86,1.32,2.27,1.71,4.64,2.3335,2.6585714285714284,2.044642857142857
27-3091.00,Interpreters and Translators,3.56,4.06,4.52,1.91,4.14,3.28,3.42,1.6518857142857142,2.5125,1.9085714285714288
27-3092.00,Court Reporters and Simultaneous Captioners,2.29,4.2,3.42,1.87,3.31,2.12,4.4,1.4312285714285715,1.7230857142857143,1.2857142857142856
27-4011.00,Audio and Video Technicians,2.25,4.45,3.62,3.09,3.96,4.05,3.93,1.6957857142857145,2.731485714285714,1.822857142857143
27-4012.00,Broadcast Technicians,3.17,3.84,3.92,2.65,4.15,3.68,3.87,1.9615428571428573,2.8349714285714285,1.9449142857142856
27-4014.00,Sound Engineering Technicians,2.62,4.24,3.29,2.4,3.56,3.41,3.72,2.0459428571428573,3.293485714285714,1.9642857142857144
27-4021.00,Photographers,2.27,4.14,3.5,2.91,3.27,3.32,4.09,2.307785714285714,3.065885714285714,1.9085714285714288
27-4031.00,"Camera Operators, Television, Video, and Film",3.44,3.45,3.34,2.81,3.58,3.34,3.61,1.7755,2.574614285714285,2.0028571428571427
27-4032.00,Film and Video Editors,2.57,4.06,2.74,1.67,2.78,2.73,3.41,2.3520000000000003,2.6562142857142863,1.9449142857142856
29-1011.00,Chiropractors,3.66,4.96,4.55,3.5,4.58,3.91,4.96,2.7399999999999998,3.5990857142857147,2.2928571428571427
29-1021.00,"Dentists, General",4.21,4.67,4.89,4.6,4.84,4.77,4.81,2.378157142857143,3.7691714285714286,2.8363428571428573
29-1022.00,Oral and Maxillofacial Surgeons,4.1,4.93,4.8,4.85,4.94,4.76,4.6,2.2720571428571428,3.795885714285714,2.8363428571428573
29-1023.00,Orthodontists,2.71,4.81,4.62,4.71,4.65,4.86,4.67,2.5544714285714285,3.7312000000000007,2.524285714285714
29-1024.00,Prosthodontists,3.72,4.95,4.55,4.82,4.56,4.92,4.95,2.781428571428571,3.890828571428571,2.1492
29-1031.00,Dietitians and Nutritionists,2.34,4.55,3.31,3.3,3.03,2.93,4.2,2.254857142857143,3.077714285714286,2.7142857142857144
29-1041.00,Optometrists,3.2,4.71,4.55,3.85,4.33,3.58,4.38,2.5383285714285715,4.284285714285714,2.3192
29-1051.00,Pharmacists,4.83,4.59,4.78,3.7,4.7,4.52,3.91,1.452457142857143,3.136685714285714,2.524285714285714
29-1071.00,Physician Assistants,4.46,4.73,4.59,3.89,4.7,3.46,4.32,2.1670857142857143,4.262971428571429,2.765714285714286
29-1071.01,Anesthesiologist Assistants,3.86,4.14,3.53,4.41,3.52,3.91,4.44,2.038142857142857,3.568,2.354914285714286
29-1081.00,Podiatrists,3.68,5.0,4.73,4.22,4.68,4.53,4.99,2.073914285714286,3.526857142857143,2.645714285714285
29-1122.00,Occupational Therapists,2.86,4.41,4.36,3.86,4.14,2.73,4.5,3.2095857142857143,3.4600714285714287,2.662857142857143
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3.04,4.73,3.65,2.87,3.57,2.3,4.7,2.428714285714286,3.2131857142857143,2.1492
29-1123.00,Physical Therapists,3.75,4.75,4.59,4.12,4.51,4.12,4.41,2.528057142857143,3.3734857142857138,2.524285714285714
29-1124.00,Radiation Therapists,4.53,4.14,4.17,3.83,4.3,3.73,3.85,1.644285714285714,3.475,1.837942857142857
29-1125.00,Recreational Therapists,2.47,4.26,3.21,3.87,3.16,3.0,4.32,2.2565285714285714,2.8084,1.9449142857142856
29-1126.00,Respiratory Therapists,4.52,3.89,4.66,3.79,4.4,3.07,3.96,2.043428571428572,3.1942,2.19
29-1127.00,Speech-Language Pathologists,3.18,4.61,4.25,2.98,4.01,2.61,4.62,3.046342857142857,3.4292857142857143,2.524285714285714
29-1128.00,Exercise Physiologists,2.86,4.25,3.55,3.36,3.36,2.82,4.23,2.2566571428571427,2.843071428571428,2.524285714285714
29-1129.01,Art Therapists,3.0,4.42,3.68,3.06,3.52,2.32,4.45,2.7724,3.2375571428571432,2.596342857142857
