O*NET-SOC Code,Title,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Degree of Automation,Spend Time Making Repetitive Motions,Importance of Being Exact or Accurate,Time Pressure,Level of Competition
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.03,1.04,2.05,2.41,3.71,3.72,3.13
25-1112.00,"Law Teachers, Postsecondary",1.83,1.04,1.53,2.01,4.12,3.45,3.42
25-1113.00,"Social Work Teachers, Postsecondary",2.11,1.14,1.54,2.14,3.37,3.51,2.98
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",2.39,1.04,1.23,2.66,3.47,3.41,3.49
25-1122.00,"Communications Teachers, Postsecondary",2.24,1.14,1.74,2.47,3.55,3.74,3.42
25-1123.00,"English Language and Literature Teachers, Postsecondary",2.62,1.04,1.62,1.74,3.7,3.78,2.86
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",1.42,1.05,1.37,1.5,3.27,3.27,3.28
25-1125.00,"History Teachers, Postsecondary",3.2,1.0,1.41,2.91,4.27,3.78,3.9
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",2.62,1.0,1.75,2.37,4.23,3.64,3.53
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",3.31,1.58,2.58,2.01,3.88,4.05,3.58
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",2.77,1.07,1.86,2.41,3.63,3.58,2.96
25-1194.00,"Career/Technical Education Teachers, Postsecondary",2.96,1.36,1.79,2.12,4.07,3.52,2.66
25-2011.00,"Preschool Teachers, Except Special Education",2.01,1.0,1.56,2.53,3.35,3.07,2.49
25-2012.00,"Kindergarten Teachers, Except Special Education",2.45,1.28,1.68,2.7,3.39,3.74,2.73
25-2021.00,"Elementary School Teachers, Except Special Education",2.42,1.03,1.91,2.22,3.36,3.76,2.62
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",3.22,1.01,1.42,2.34,3.39,3.32,2.22
25-2023.00,"Career/Technical Education Teachers, Middle School",2.78,1.44,1.31,1.82,3.73,3.88,2.5
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",2.26,1.12,1.37,1.99,3.14,3.28,2.2
25-2032.00,"Career/Technical Education Teachers, Secondary School",3.13,1.66,1.41,2.43,3.62,3.95,2.77
25-2051.00,"Special Education Teachers, Preschool",2.41,1.07,1.55,3.06,3.14,3.09,2.11
25-2056.00,"Special Education Teachers, Elementary School",2.37,1.02,1.41,2.02,3.16,3.5,2.31
25-2057.00,"Special Education Teachers, Middle School",3.03,1.0,1.33,2.4,3.61,3.92,1.75
25-2058.00,"Special Education Teachers, Secondary School",2.41,1.04,1.47,2.21,3.81,3.82,1.91
25-2059.01,Adapted Physical Education Specialists,2.19,1.1,1.2,2.55,2.84,3.38,2.62
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2.7,1.09,1.54,2.36,3.88,3.21,2.82
25-3021.00,Self-Enrichment Teachers,2.9,1.27,1.41,1.89,3.56,2.76,2.09
25-3031.00,"Substitute Teachers, Short-Term",2.85,1.17,1.59,2.62,3.32,2.92,2.41
25-3041.00,Tutors,2.1,1.14,1.48,2.05,3.52,3.5,2.52
25-4011.00,Archivists,3.72,1.17,2.14,2.97,3.97,2.94,3.24
25-4012.00,Curators,2.53,1.1,1.38,2.45,4.08,3.24,3.42
25-4013.00,Museum Technicians and Conservators,3.23,1.26,1.44,2.26,4.31,3.45,1.9
25-4022.00,Librarians and Media Collections Specialists,2.91,1.09,2.42,2.63,3.67,3.53,2.52
25-4031.00,Library Technicians,4.15,1.4,2.66,3.61,3.94,3.48,2.43
25-9021.00,Farm and Home Management Educators,2.3,1.07,1.59,2.0,3.41,3.22,2.52
25-9031.00,Instructional Coordinators,2.69,1.0,1.18,2.22,3.26,3.63,2.97
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2.9,1.4,2.07,2.62,3.05,2.45,1.54
25-9043.00,"Teaching Assistants, Special Education",1.76,1.0,1.09,1.94,3.26,3.07,1.81
25-9044.00,"Teaching Assistants, Postsecondary",2.55,1.02,1.31,2.49,3.68,3.46,3.58
27-1011.00,Art Directors,3.34,2.23,1.97,3.92,4.04,4.76,3.55
27-1012.00,Craft Artists,3.0,1.26,1.48,3.65,3.78,2.65,3.43
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",2.63,1.17,1.6,3.57,4.13,3.34,2.62
27-1014.00,Special Effects Artists and Animators,2.78,1.99,2.04,2.97,4.42,4.45,3.81
27-1021.00,Commercial and Industrial Designers,3.67,1.4,1.95,2.65,4.4,4.03,3.21
27-1022.00,Fashion Designers,2.94,2.66,2.05,3.0,3.65,4.09,3.3
27-1023.00,Floral Designers,2.71,1.0,1.73,3.39,3.1,4.13,2.97
27-1024.00,Graphic Designers,3.58,1.37,1.67,3.74,4.39,4.65,4.32
27-1025.00,Interior Designers,2.88,1.12,2.04,2.36,4.16,4.16,3.88
27-1026.00,Merchandise Displayers and Window Trimmers,2.83,1.15,1.46,3.13,3.23,3.77,3.01
27-1027.00,Set and Exhibit Designers,2.33,1.05,1.71,2.29,3.95,4.19,3.9
27-2011.00,Actors,2.59,1.22,1.35,2.41,4.17,4.59,4.24
27-2012.00,Producers and Directors,2.68,1.49,1.48,2.72,4.14,4.36,3.96
27-2012.03,Media Programming Directors,3.71,2.07,2.56,3.0,4.46,3.97,3.49
27-2012.04,Talent Directors,2.31,1.06,1.73,2.54,3.25,3.66,3.32
27-2012.05,Media Technical Directors/Managers,3.79,2.76,1.99,2.48,4.8,4.86,3.22
27-2021.00,Athletes and Sports Competitors,3.68,1.59,1.63,3.92,3.76,3.87,4.44
27-2022.00,Coaches and Scouts,2.35,1.28,1.44,2.66,3.62,3.67,3.92
27-2023.00,"Umpires, Referees, and Other Sports Officials",2.62,1.32,1.43,2.48,3.95,3.05,3.48
27-2031.00,Dancers,3.71,1.67,1.85,4.38,4.01,2.94,4.17
27-2032.00,Choreographers,2.9,1.2,1.1,4.19,3.71,3.9,4.48
27-2041.00,Music Directors and Composers,3.35,1.15,1.35,3.37,4.47,3.92,3.55
27-2042.00,Musicians and Singers,3.45,1.76,1.06,3.26,4.6,3.76,3.59
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,3.4,2.66,2.58,2.53,4.11,4.85,3.61
27-3023.00,"News Analysts, Reporters, and Journalists",3.04,1.7,2.04,2.91,4.54,4.89,3.89
27-3031.00,Public Relations Specialists,2.36,1.09,2.14,2.29,4.18,4.55,3.82
27-3041.00,Editors,4.05,1.05,1.77,3.38,4.44,4.57,3.26
27-3042.00,Technical Writers,4.52,1.23,2.07,4.01,4.55,4.23,3.02
27-3043.00,Writers and Authors,3.13,1.01,1.31,2.17,4.18,4.7,4.46
27-3043.05,"Poets, Lyricists and Creative Writers",3.77,1.1,1.33,3.38,3.64,3.18,4.32
27-3091.00,Interpreters and Translators,4.46,1.59,1.8,2.62,4.9,4.02,3.89
27-3092.00,Court Reporters and Simultaneous Captioners,3.85,1.83,2.35,3.72,4.96,4.43,2.85
27-4011.00,Audio and Video Technicians,4.1,2.45,1.68,3.12,4.57,3.88,2.72
27-4012.00,Broadcast Technicians,3.07,2.24,2.69,2.21,4.15,3.92,2.71
27-4014.00,Sound Engineering Technicians,3.25,1.52,2.0,3.56,4.6,4.2,4.48
27-4021.00,Photographers,3.05,1.45,1.86,3.05,3.82,3.91,4.24
27-4031.00,"Camera Operators, Television, Video, and Film",3.54,2.03,1.8,3.32,4.37,3.91,2.99
27-4032.00,Film and Video Editors,2.76,1.19,2.09,2.24,4.43,4.7,3.58
29-1011.00,Chiropractors,4.26,1.13,2.07,3.7,4.73,3.58,3.2
29-1021.00,"Dentists, General",4.26,1.78,2.03,4.61,4.81,3.78,3.83
29-1022.00,Oral and Maxillofacial Surgeons,3.29,1.26,1.72,3.4,4.83,3.58,4.05
29-1023.00,Orthodontists,3.68,2.17,2.11,3.39,4.83,4.34,4.18
29-1024.00,Prosthodontists,3.96,1.41,1.74,4.22,4.95,3.85,3.66
29-1031.00,Dietitians and Nutritionists,2.5,1.1,1.72,1.72,4.0,3.83,3.23
29-1041.00,Optometrists,3.95,1.35,2.3,3.65,4.76,4.05,3.55
29-1051.00,Pharmacists,4.49,1.53,2.64,4.05,4.99,4.67,3.68
29-1071.00,Physician Assistants,3.16,1.16,1.54,2.49,4.81,4.35,4.24
29-1071.01,Anesthesiologist Assistants,3.89,2.25,1.52,3.19,4.83,3.8,3.14
29-1081.00,Podiatrists,3.45,1.02,1.82,2.88,4.77,4.38,4.02
29-1122.00,Occupational Therapists,2.68,1.0,1.14,2.09,3.55,3.95,3.23
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",2.04,1.0,1.3,1.96,3.3,2.96,2.09
29-1123.00,Physical Therapists,3.75,1.15,1.31,3.04,3.69,4.24,2.57
29-1124.00,Radiation Therapists,4.68,3.8,2.92,4.01,4.86,4.46,3.92
29-1125.00,Recreational Therapists,2.63,1.24,1.61,2.34,3.05,3.68,2.55
29-1126.00,Respiratory Therapists,3.63,1.96,2.38,2.81,4.64,4.09,2.92
29-1127.00,Speech-Language Pathologists,2.63,1.46,1.57,1.91,3.95,4.59,2.67
29-1128.00,Exercise Physiologists,2.95,1.41,1.64,2.59,3.86,3.14,3.27
29-1129.01,Art Therapists,2.39,1.03,1.32,2.1,3.06,3.68,3.06
29-1129.02,Music Therapists,2.65,1.23,1.19,3.28,2.81,3.42,2.5
29-1131.00,Veterinarians,3.17,1.64,1.79,2.96,4.55,4.21,3.27
29-1141.00,Registered Nurses,3.94,1.43,2.38,2.65,4.45,3.99,2.89
29-1141.01,Acute Care Nurses,3.62,1.76,1.48,3.1,4.71,4.52,2.9
29-1141.02,Advanced Practice Psychiatric Nurses,3.05,1.3,1.82,2.74,4.59,4.35,3.39
29-1141.03,Critical Care Nurses,3.5,1.74,1.79,2.7,4.82,4.25,3.29
29-1141.04,Clinical Nurse Specialists,2.95,1.33,1.52,2.52,4.2,3.48,2.86
29-1151.00,Nurse Anesthetists,4.15,1.85,2.23,3.07,4.81,4.11,4.5
29-1161.00,Nurse Midwives,3.09,1.09,1.62,2.52,4.48,3.82,2.94
29-1171.00,Nurse Practitioners,3.48,1.18,2.04,2.73,4.57,4.09,3.3
29-1181.00,Audiologists,2.41,1.23,2.14,2.29,4.64,3.55,3.32
29-1211.00,Anesthesiologists,3.78,1.99,2.35,2.26,4.85,4.0,3.81
29-1213.00,Dermatologists,2.47,1.04,1.69,2.39,4.72,3.81,3.69
29-1214.00,Emergency Medicine Physicians,3.6,1.2,1.7,2.67,4.9,4.2,4.37
29-1215.00,Family Medicine Physicians,2.77,1.04,2.33,1.5,4.76,4.72,2.16
29-1216.00,General Internal Medicine Physicians,3.64,1.68,2.22,2.36,4.42,4.08,2.71
29-1217.00,Neurologists,3.1,1.36,1.7,1.94,4.98,4.27,3.65
29-1218.00,Obstetricians and Gynecologists,3.02,1.4,1.96,2.34,4.79,3.92,2.95
29-1221.00,"Pediatricians, General",2.68,1.02,1.56,2.58,4.68,3.14,3.23
29-1222.00,"Physicians, Pathologists",4.1,2.27,2.23,3.88,4.87,4.9,3.99
29-1223.00,Psychiatrists,2.41,1.07,1.64,1.92,3.9,4.05,3.09
29-1224.00,Radiologists,4.43,1.19,2.26,4.21,4.89,4.43,3.75
29-1229.01,Allergists and Immunologists,3.18,1.47,1.84,2.84,4.61,4.04,3.54
29-1229.02,Hospitalists,2.92,1.24,1.72,2.13,4.56,4.44,3.52
29-1229.03,Urologists,4.42,2.33,2.37,1.84,4.7,4.77,3.49
29-1229.04,Physical Medicine and Rehabilitation Physicians,3.1,1.36,1.69,2.24,4.79,4.03,3.57
29-1229.05,Preventive Medicine Physicians,2.33,1.29,1.89,2.0,4.58,3.95,3.5
29-1229.06,Sports Medicine Physicians,3.11,1.09,1.45,1.88,5.0,3.87,3.63
29-1241.00,"Ophthalmologists, Except Pediatric",4.13,1.0,1.27,3.7,4.92,4.61,4.42
29-1291.00,Acupuncturists,3.04,1.04,1.18,3.21,4.0,3.03,3.14
29-1292.00,Dental Hygienists,4.3,1.41,1.71,5.0,4.39,3.74,2.98
29-1299.01,Naturopathic Physicians,2.64,1.08,1.64,2.04,4.4,3.88,2.64
29-1299.02,Orthoptists,3.37,1.11,1.48,3.19,4.57,3.56,2.78
29-2011.00,Medical and Clinical Laboratory Technologists,4.38,3.03,3.27,3.44,4.95,4.36,2.6
29-2011.01,Cytogenetic Technologists,4.71,1.86,2.71,4.33,4.9,4.81,2.67
29-2011.02,Cytotechnologists,4.5,1.41,2.5,4.68,4.68,3.77,2.45
29-2011.04,Histotechnologists,4.45,2.8,2.81,4.71,4.52,4.86,2.43
29-2012.00,Medical and Clinical Laboratory Technicians,4.33,2.91,3.12,3.89,4.86,3.78,2.27
29-2012.01,Histology Technicians,4.33,2.87,3.04,4.76,4.92,4.46,2.25
29-2031.00,Cardiovascular Technologists and Technicians,4.11,2.68,2.07,4.03,4.68,4.3,2.72
29-2032.00,Diagnostic Medical Sonographers,4.66,1.74,2.02,4.72,4.87,4.02,2.99
29-2033.00,Nuclear Medicine Technologists,3.48,3.23,2.49,2.53,4.66,4.1,3.83
29-2034.00,Radiologic Technologists and Technicians,3.89,2.13,2.39,3.69,4.67,3.66,3.22
29-2035.00,Magnetic Resonance Imaging Technologists,4.0,3.73,2.59,3.36,4.83,3.91,3.17
29-2036.00,Medical Dosimetrists,4.21,2.45,2.65,3.85,4.85,5.0,3.4
29-2051.00,Dietetic Technicians,3.37,1.41,2.75,3.19,4.45,4.31,3.42
29-2052.00,Pharmacy Technicians,4.39,2.29,2.44,4.06,4.98,4.26,2.95
29-2053.00,Psychiatric Technicians,2.95,1.2,2.16,2.32,3.54,3.46,2.48
29-2055.00,Surgical Technologists,4.01,1.89,1.89,3.68,4.87,3.82,3.19
29-2056.00,Veterinary Technologists and Technicians,3.4,1.52,1.98,2.83,4.34,3.96,2.64
29-2057.00,Ophthalmic Medical Technicians,3.62,1.23,2.73,3.82,4.73,3.32,2.73
29-2061.00,Licensed Practical and Licensed Vocational Nurses,3.9,1.77,2.21,3.27,4.71,4.38,2.69
29-2081.00,"Opticians, Dispensing",3.88,1.92,2.29,2.71,4.83,4.04,3.54
29-2091.00,Orthotists and Prosthetists,3.0,1.71,1.71,2.43,4.19,4.29,3.57
29-2092.00,Hearing Aid Specialists,3.02,1.4,1.98,2.24,4.19,3.94,3.51
29-2099.01,Neurodiagnostic Technologists,3.81,1.72,2.06,3.13,4.77,4.26,2.9
29-2099.05,Ophthalmic Medical Technologists,3.2,1.35,2.5,2.9,4.3,3.45,2.6
29-2099.08,Patient Representatives,4.53,1.59,2.72,3.31,4.55,3.09,2.32
29-9091.00,Athletic Trainers,3.63,1.26,2.14,2.71,4.32,3.6,3.82
29-9092.00,Genetic Counselors,2.57,1.0,1.57,1.74,4.43,3.91,3.26
29-9093.00,Surgical Assistants,3.69,1.82,2.0,2.98,4.6,3.33,3.0
29-9099.01,Midwives,2.75,1.01,1.23,1.74,4.41,2.8,2.79
31-1121.00,Home Health Aides,2.81,1.73,1.79,3.24,4.3,3.43,2.47
31-1122.00,Personal Care Aides,3.55,1.63,2.22,3.12,3.74,4.08,2.49
31-1131.00,Nursing Assistants,3.46,2.31,1.77,3.48,4.54,3.71,3.01
31-1132.00,Orderlies,4.13,2.49,2.66,4.25,4.51,4.23,3.12
31-1133.00,Psychiatric Aides,3.72,1.07,1.89,2.9,3.72,3.71,1.91
31-2011.00,Occupational Therapy Assistants,4.07,1.56,2.0,3.55,4.47,4.7,2.81
31-2012.00,Occupational Therapy Aides,3.13,1.17,1.46,2.97,3.82,4.11,2.21
31-2021.00,Physical Therapist Assistants,3.21,1.02,1.43,3.6,3.36,3.52,2.49
31-2022.00,Physical Therapist Aides,2.82,1.42,1.64,3.21,3.39,3.04,2.3
31-9011.00,Massage Therapists,3.23,1.08,1.31,4.35,3.04,2.28,3.27
31-9091.00,Dental Assistants,3.93,2.02,1.93,3.85,4.37,3.44,2.35
31-9092.00,Medical Assistants,4.04,1.05,2.06,3.31,4.38,3.8,2.07
31-9093.00,Medical Equipment Preparers,4.43,3.36,2.05,4.49,4.6,4.28,1.96
31-9094.00,Medical Transcriptionists,4.48,1.94,2.73,2.97,4.8,4.11,2.42
31-9095.00,Pharmacy Aides,3.79,1.95,2.89,3.63,4.49,3.47,2.62
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,4.0,1.12,1.67,3.26,4.7,3.78,2.54
31-9097.00,Phlebotomists,4.23,2.5,2.33,4.45,4.81,4.45,3.14
31-9099.01,Speech-Language Pathology Assistants,2.83,1.0,1.87,2.13,4.3,3.46,2.76
31-9099.02,Endoscopy Technicians,3.92,3.12,2.58,3.88,4.5,3.73,2.42
33-1011.00,First-Line Supervisors of Correctional Officers,3.63,1.11,1.89,2.41,3.84,4.16,2.97
33-1012.00,First-Line Supervisors of Police and Detectives,3.4,1.25,1.94,2.77,4.25,3.5,3.19
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,3.13,1.62,1.66,2.62,4.33,3.53,3.51
33-1091.00,First-Line Supervisors of Security Workers,3.68,1.17,3.24,2.92,4.7,3.41,3.17
33-2011.00,Firefighters,3.44,1.81,1.74,2.76,4.27,3.6,3.61
33-2021.00,Fire Inspectors and Investigators,3.08,1.13,2.01,2.65,4.53,3.94,3.13
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.56,2.14,2.28,3.37,4.05,3.81,4.37
33-3011.00,Bailiffs,3.04,1.0,1.64,2.22,4.08,3.24,2.47
33-3012.00,Correctional Officers and Jailers,4.25,1.63,2.17,2.59,4.5,4.45,3.22
33-3021.00,Detectives and Criminal Investigators,3.87,1.34,2.19,2.68,4.61,3.78,3.4
33-3021.02,Police Identification and Records Officers,3.25,1.24,1.92,2.67,4.52,3.17,2.2
33-3021.06,Intelligence Analysts,3.77,1.18,2.3,2.83,4.39,3.78,3.3
33-3031.00,Fish and Game Wardens,2.84,1.06,2.5,2.48,4.14,3.94,3.67
33-3041.00,Parking Enforcement Workers,3.45,2.94,2.53,3.97,4.01,2.83,2.49
33-3051.00,Police and Sheriff's Patrol Officers,3.67,1.31,2.0,2.65,4.72,3.96,2.9
33-3051.04,Customs and Border Protection Officers,4.13,1.83,3.3,3.54,4.55,3.86,3.51
33-3052.00,Transit and Railroad Police,3.28,1.78,1.92,2.97,4.35,3.8,3.12
33-9011.00,Animal Control Workers,3.54,1.15,1.35,2.81,4.08,3.96,2.27
33-9021.00,Private Detectives and Investigators,3.43,1.41,2.01,2.74,4.74,4.32,2.88
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,4.53,2.14,2.16,3.43,4.83,3.14,2.56
33-9032.00,Security Guards,4.42,2.53,2.2,2.17,4.41,3.05,2.33
33-9091.00,Crossing Guards and Flaggers,2.09,1.13,1.44,3.79,3.9,2.21,1.26
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.77,1.64,1.99,2.56,3.65,2.98,2.43
33-9093.00,Transportation Security Screeners,3.7,2.88,2.63,4.07,4.33,3.41,2.48
33-9099.02,Retail Loss Prevention Specialists,3.78,1.89,2.2,2.33,4.3,3.45,3.55
35-1011.00,Chefs and Head Cooks,3.79,1.96,1.78,4.38,3.62,4.75,3.88
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.58,1.82,2.71,3.72,4.1,3.44,2.69
35-2011.00,"Cooks, Fast Food",2.1,2.05,2.18,2.42,3.9,3.26,2.28
35-2012.00,"Cooks, Institution and Cafeteria",2.61,2.23,2.0,3.72,3.92,4.4,1.97
35-2013.00,"Cooks, Private Household",2.77,1.31,1.54,3.65,3.58,4.15,3.12
35-2014.00,"Cooks, Restaurant",3.26,2.42,2.3,4.06,4.1,3.03,2.59
35-2015.00,"Cooks, Short Order",2.55,1.84,1.42,3.81,3.33,3.52,2.57
35-2021.00,Food Preparation Workers,3.27,2.17,2.5,3.25,4.15,3.91,1.95
35-3011.00,Bartenders,3.09,1.16,2.03,3.73,3.88,1.75,2.36
35-3023.00,Fast Food and Counter Workers,3.83,2.06,2.43,4.1,4.09,2.4,2.58
35-3023.01,Baristas,2.98,1.89,2.65,4.11,3.67,2.14,1.88
35-3031.00,Waiters and Waitresses,3.05,1.24,2.64,3.63,3.54,2.79,2.45
35-3041.00,"Food Servers, Nonrestaurant",3.67,2.55,2.09,3.59,3.93,4.43,3.23
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,2.25,1.66,1.69,4.15,3.88,2.87,2.83
35-9021.00,Dishwashers,1.89,2.68,1.6,3.38,3.24,3.35,2.01
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.71,1.23,2.08,4.2,3.84,2.18,2.2
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,3.43,2.44,2.13,3.33,4.01,4.36,3.0
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",2.95,2.67,2.37,2.76,4.01,4.29,3.45
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.84,1.64,1.8,3.29,3.23,2.96,1.85
37-2012.00,Maids and Housekeeping Cleaners,2.74,1.8,2.06,4.77,3.63,3.9,2.62
37-2021.00,Pest Control Workers,3.42,1.87,2.04,3.72,4.11,4.14,3.04
37-3011.00,Landscaping and Groundskeeping Workers,2.28,3.85,2.49,3.18,3.19,3.28,2.75
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3.16,2.34,1.7,3.42,4.21,4.17,2.91
37-3013.00,Tree Trimmers and Pruners,3.02,2.03,1.43,3.53,3.82,3.71,3.51
39-1013.00,First-Line Supervisors of Gambling Services Workers,4.35,2.44,2.55,3.14,4.54,4.0,3.55
39-1022.00,First-Line Supervisors of Personal Service Workers,3.54,1.27,1.99,2.88,4.73,4.4,2.8
39-2011.00,Animal Trainers,2.57,1.06,1.34,3.4,3.45,2.89,2.81
39-2021.00,Animal Caretakers,3.15,1.08,1.12,3.1,3.53,3.32,2.2
39-3011.00,Gambling Dealers,3.72,1.78,1.43,4.14,4.65,2.32,3.53
39-3012.00,Gambling and Sports Book Writers and Runners,4.28,2.57,2.76,4.04,4.34,2.71,3.09
39-3021.00,Motion Picture Projectionists,2.61,2.7,3.34,2.57,4.3,3.56,2.13
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2.91,1.88,2.19,3.31,3.74,2.46,1.8
39-3091.00,Amusement and Recreation Attendants,3.09,1.78,1.79,3.39,2.89,1.98,1.3
39-3092.00,Costume Attendants,3.18,1.72,1.51,3.67,4.08,4.21,2.52
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2.78,1.25,1.65,3.38,3.22,3.24,1.56
39-4011.00,Embalmers,3.54,1.58,1.73,2.59,4.57,4.74,2.57
39-4021.00,Funeral Attendants,2.5,1.27,1.68,2.06,4.05,3.66,1.47
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3.41,1.08,1.28,2.02,4.54,3.74,2.54
39-5011.00,Barbers,2.83,1.69,2.12,4.38,4.37,2.39,4.37
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3.61,1.49,1.6,4.71,4.27,3.41,3.57
39-5091.00,"Makeup Artists, Theatrical and Performance",2.38,1.33,1.29,3.76,3.9,4.5,4.3
39-5092.00,Manicurists and Pedicurists,1.85,1.68,1.07,4.54,3.78,2.23,2.56
39-5093.00,Shampooers,2.54,1.79,1.8,4.42,4.73,3.33,2.71
39-5094.00,Skincare Specialists,3.14,2.18,1.42,3.49,3.86,2.59,3.59
39-6011.00,Baggage Porters and Bellhops,3.12,1.99,1.91,2.54,3.29,2.38,1.98
39-6012.00,Concierges,2.45,1.09,2.0,2.24,3.76,3.86,2.77
39-7011.00,Tour Guides and Escorts,2.09,1.59,1.42,1.96,3.82,3.41,2.2
39-7012.00,Travel Guides,3.15,2.01,2.29,2.51,4.29,4.07,2.67
39-9011.00,Childcare Workers,2.33,1.18,1.79,2.96,3.34,3.49,2.46
39-9011.01,Nannies,2.8,1.08,1.2,2.84,3.2,2.88,2.44
39-9031.00,Exercise Trainers and Group Fitness Instructors,3.1,1.43,1.48,3.62,2.95,2.95,3.57
39-9032.00,Recreation Workers,3.44,1.08,1.77,2.24,3.29,3.3,2.38
39-9041.00,Residential Advisors,3.24,1.02,1.55,1.84,3.52,3.67,2.32
41-1011.00,First-Line Supervisors of Retail Sales Workers,3.59,1.22,1.95,2.71,3.99,4.22,2.86
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,3.69,1.78,2.11,3.23,4.22,4.64,3.54
41-2011.00,Cashiers,3.34,1.86,1.82,3.22,3.9,3.06,2.29
41-2012.00,Gambling Change Persons and Booth Cashiers,4.46,1.99,2.03,4.56,4.84,3.38,2.86
41-2021.00,Counter and Rental Clerks,3.68,1.45,2.12,2.82,4.0,3.27,2.66
41-2022.00,Parts Salespersons,4.01,1.36,1.8,3.1,4.02,4.07,2.57
41-2031.00,Retail Salespersons,3.53,1.14,2.16,2.76,4.15,3.42,3.7
41-3011.00,Advertising Sales Agents,2.67,1.28,1.7,1.99,4.03,4.46,4.49
41-3021.00,Insurance Sales Agents,3.79,1.0,2.76,2.16,4.7,4.52,3.85
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",3.17,1.24,2.59,2.2,4.55,3.86,3.9
41-3041.00,Travel Agents,3.12,1.22,3.8,3.08,4.78,3.73,3.87
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.8,1.72,2.16,2.1,4.36,3.93,3.75
41-4011.07,Solar Sales Representatives and Assessors,2.97,1.2,2.12,2.01,4.16,3.22,3.92
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3.44,1.14,2.43,2.49,3.75,3.78,4.04
41-9011.00,Demonstrators and Product Promoters,2.91,1.48,1.45,3.68,3.34,3.82,3.1
41-9012.00,Models,2.57,1.09,1.33,1.93,2.76,1.67,1.65
41-9021.00,Real Estate Brokers,3.04,1.37,2.7,1.92,4.03,3.92,4.6
41-9022.00,Real Estate Sales Agents,2.9,1.15,2.25,1.95,4.05,4.52,4.85
41-9031.00,Sales Engineers,2.93,1.11,1.62,2.06,3.97,4.02,3.72
41-9041.00,Telemarketers,4.17,1.94,3.09,3.54,4.58,3.74,3.94
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2.04,1.04,1.88,1.79,2.96,3.04,3.21
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,3.07,1.1,2.33,3.17,4.23,4.04,2.94
43-2011.00,"Switchboard Operators, Including Answering Service",3.58,1.08,2.31,3.61,3.93,3.22,2.44
43-2021.00,Telephone Operators,3.86,2.69,2.63,4.11,4.17,3.69,2.7
43-3011.00,Bill and Account Collectors,4.3,1.09,2.86,2.66,4.04,3.9,3.52
43-3021.00,Billing and Posting Clerks,4.34,1.65,2.19,3.45,4.29,3.93,2.02
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",4.65,1.28,2.36,4.14,4.68,3.87,2.76
43-3041.00,Gambling Cage Workers,4.84,2.34,2.36,4.11,4.97,4.07,2.94
43-3051.00,Payroll and Timekeeping Clerks,4.57,1.32,2.79,3.0,4.91,4.25,2.42
43-3061.00,Procurement Clerks,4.57,1.18,1.99,2.62,4.85,3.42,1.76
43-3071.00,Tellers,4.72,1.86,2.45,4.57,4.8,3.53,3.31
43-4011.00,Brokerage Clerks,4.51,1.71,3.28,3.44,4.73,4.61,2.81
43-4021.00,Correspondence Clerks,4.6,1.84,3.04,3.62,4.52,3.83,2.41
