O*NET-SOC Code,Title,Task ID,Task,_key,structured_codifiable_work,cognitive_complexity,physical_embodiment,social_emotional_intelligence,creativity_innovation,decision_impact_accountability,automation_potential,overall_score,rationale,scored_at
11-1011.03,Chief Sustainability Officers,15372,Supervise employees or volunteers working on sustainability projects.,11-1011.03||15372||Supervise employees or volunteers working on sustainability projects.,3.2,3.4,1.2,4.3,2.8,3.8,Medium,3.1,"Supervising sustainability project staff involves a mix of routine management processes (status tracking, task assignment, documentation) and nuanced people leadership. Many coordination elements are structured enough for AI augmentation (work planning, progress dashboards, meeting notes, risk/issue tracking), but performance management, motivation, conflict resolution, and coaching rely heavily on social and emotional intelligence. The work is largely digital/office-based with minimal physical embodiment requirements. Decisions can carry meaningful organizational and reputational impact (e.g., project prioritization, compliance-related deliverables), increasing the need for accountable human oversight. Overall, AI can automate administrative supervision and provide decision support, while humans remain critical for leadership judgment and interpersonal management.",2026-02-24T06:11:40.081249
11-1011.03,Chief Sustainability Officers,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.","11-1011.03||15378||Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",3.6,3.8,1.1,3.7,3.2,4.2,Medium,3.7,"Creating sustainability reports and presentations is partly standardized (e.g., ESG frameworks, KPI tables, disclosure checklists), making drafting, formatting, data summarization, and slide generation highly automatable. However, the task also requires contextual judgment about materiality, narrative framing, and tailoring messages to different stakeholder groups, which raises cognitive and social demands. Physical embodiment is minimal because the work is primarily digital. Stakes are often high due to reputational, regulatory, and investor implications, so human review, sign-off, and accountability remain critical. AI can accelerate first drafts, benchmarking, and consistency checks, while humans are needed for strategy alignment, risk-sensitive disclosures, and stakeholder trust management.",2026-02-24T06:11:43.980560
11-1011.03,Chief Sustainability Officers,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.","11-1011.03||15380||Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",3.4,3.2,1.2,3.6,3.8,3.7,Medium,3.5,"Developing or overseeing sustainability marketing/outreach media involves a mix of standardized communications processes (briefs, brand guidelines, channel plans) and context-specific messaging tailored to stakeholders. AI can automate or strongly augment drafting copy, generating visuals, adapting content across formats, A/B testing, SEO, and scheduling/distribution workflows. Human input remains important for strategic narrative choices, reputational risk management (e.g., avoiding greenwashing), alignment with corporate values, and nuanced stakeholder expectations. The work is largely digital with limited physical requirements, but it often requires persuasion and trust-building with internal and external audiences. Because messaging can have material brand, regulatory, and investor implications, accountability and review are significant, keeping full automation constrained.",2026-02-24T06:11:48.484164
11-1011.03,Chief Sustainability Officers,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,11-1011.03||15368||Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,3.2,4.2,1.2,4.0,3.8,4.3,Medium,3.4,"Identifying and evaluating sustainability pilot projects involves a mix of structured analysis (KPIs, ROI, emissions impacts, risk registers) and less-codifiable strategic judgment about organizational fit and long-term research value. AI can strongly augment scanning for opportunities, synthesizing literature and internal data, benchmarking peers, drafting evaluation frameworks, and scoring options against defined criteria. However, selecting pilots typically requires nuanced stakeholder alignment, negotiation across departments, and credibility-building with executives and external partners, which limits full automation. The work is largely digital with minimal physical requirements, but decisions can be high-stakes due to reputational, regulatory, and financial consequences. Human oversight remains critical for prioritization under uncertainty, ethical tradeoffs, and accountability for outcomes.",2026-02-24T06:11:53.631968
11-1011.03,Chief Sustainability Officers,15370,"Create and maintain sustainability program documents, such as schedules and budgets.","11-1011.03||15370||Create and maintain sustainability program documents, such as schedules and budgets.",4.4,3.2,1.0,2.2,2.4,3.6,High,4.0,"Creating and maintaining program documents (schedules, budgets) is largely standardized, template-driven, and measurable, making it highly amenable to automation with spreadsheet/ERP integrations and AI-assisted planning. The work requires some contextual judgment (e.g., aligning timelines and costs to sustainability initiatives and constraints), but much of the drafting, updating, variance tracking, and reporting can be automated. Physical presence is not required. Social/emotional demands are moderate because inputs often come from stakeholders, but the core task is document production rather than negotiation. Human oversight remains important for assumptions, prioritization tradeoffs, and accountability for budget impacts and compliance-related commitments.",2026-02-24T06:11:57.109515
11-1011.03,Chief Sustainability Officers,15375,Formulate or implement sustainability campaign or marketing strategies.,11-1011.03||15375||Formulate or implement sustainability campaign or marketing strategies.,3.2,4.1,1.2,4.0,3.8,4.3,Medium,3.4,"Formulating and implementing sustainability campaigns involves a mix of structured marketing processes (segmentation, channel planning, KPI tracking) and less-codifiable strategic judgment about brand positioning, stakeholder expectations, and organizational constraints. AI can automate or strongly augment research synthesis, audience targeting, message variant generation, content production, A/B testing, and performance analytics. However, aligning strategy with corporate values, navigating internal politics, negotiating with partners, and managing reputational risk (e.g., avoiding greenwashing) require high social judgment and accountability. The work is largely digital with minimal physical requirements. Overall, many execution and analysis components are automatable, while final strategic choices and stakeholder trust-building remain human-critical.",2026-02-24T06:12:01.425380
11-1011.03,Chief Sustainability Officers,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.","11-1011.03||15376||Research environmental sustainability issues, concerns, or stakeholder interests.",3.6,4.1,1.2,3.4,3.0,4.0,Medium,3.6,"Researching sustainability issues is partly structured (literature review, data gathering, benchmarking, materiality inputs) and can be heavily augmented by AI for search, summarization, trend detection, and drafting briefs. However, it often requires high contextual judgment to interpret ambiguous signals, reconcile conflicting evidence, and tailor findings to the organization’s industry, geography, and risk profile. Stakeholder-interest research includes qualitative inputs (interviews, sentiment, political dynamics) where trust, nuance, and organizational context limit full automation. The work is largely digital with minimal physical requirements, but the outputs can influence high-stakes strategy, disclosures, and risk management, increasing the need for human oversight and accountability.",2026-02-24T06:12:05.476801
11-1011.03,Chief Sustainability Officers,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,11-1011.03||15383||Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,3.6,4.2,1.2,4.0,3.0,4.6,Medium,3.4,"Directing sustainability program operations for regulatory compliance involves many codifiable elements (tracking requirements, audits, reporting, controls) that AI can automate or strongly augment. However, interpreting ambiguous regulations, prioritizing initiatives across business units, and resolving tradeoffs between cost, risk, and operational feasibility require substantial contextual judgment. The work is largely digital with minimal physical embodiment, but it is highly cross-functional and depends on influence, negotiation, and trust-building with executives, legal, operations, and external stakeholders. Stakes are high due to regulatory exposure, reputational risk, and potential liability, so final accountability and sign-off typically remain human-led even if AI handles monitoring, documentation, and early risk detection.",2026-02-24T06:12:09.429670
11-1011.03,Chief Sustainability Officers,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.","11-1011.03||15377||Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",3.6,4.2,1.1,3.8,2.8,4.6,Medium,3.4,"Evaluating and approving sustainability project proposals involves partially structured criteria (cost, feasibility, alignment), which can be standardized into scoring rubrics and supported by analytics, making significant portions amenable to automation. However, the work also requires contextual judgment about organizational strategy, risk tradeoffs, and long-term impacts, raising cognitive complexity and limiting full automation. Physical embodiment is minimal because the task is largely digital and meeting-based. Social and emotional intelligence matters for stakeholder alignment, negotiation across departments, and managing competing priorities. Decision impact is high due to budget implications, reputational/regulatory risk, and accountability, so AI is best used for decision support (financial modeling, scenario analysis, compliance checks) while final approval remains human-led.",2026-02-24T06:12:13.620334
11-1011.03,Chief Sustainability Officers,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,11-1011.03||15381||Develop methodologies to assess the viability or success of sustainability initiatives.,3.6,4.2,1.1,3.4,3.2,4.4,Medium,3.6,"Developing assessment methodologies involves a mix of standardized frameworks (e.g., KPIs, ESG reporting standards, lifecycle assessment concepts) and organization-specific tailoring, making parts of the work codifiable but not fully routine. It requires substantial analytical judgment to select metrics, set baselines/counterfactuals, handle data quality gaps, and interpret results across operational, financial, and regulatory contexts. The work is largely digital with minimal physical requirements, but it often depends on stakeholder alignment and change-management communication to ensure the methodology is accepted and used. AI can automate literature/standards synthesis, metric selection suggestions, data pipeline setup, scenario modeling, and draft methodology documentation, while humans remain critical for governance choices, materiality judgments, trade-off decisions, and accountability for high-stakes reporting and strategic implications.",2026-02-24T06:12:18.583732
11-1011.03,Chief Sustainability Officers,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.","11-1011.03||15374||Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",4.2,4.0,1.1,3.2,2.4,4.6,Medium,3.6,"Reviewing sustainability objectives and progress for compliance is largely document- and data-driven, with many standardized frameworks (e.g., policies, regulations, reporting standards) that AI can map requirements against and flag gaps. Significant judgment is still needed to interpret ambiguous or evolving regulations, assess materiality, and weigh tradeoffs across business units and jurisdictions. The work is mostly digital with limited physical requirements, making it amenable to automation via analytics, controls testing, evidence collection, and automated reporting. Human input remains critical for stakeholder alignment, handling disputes with regulators/auditors, and making accountable decisions when noncompliance or reputational risk is identified. Overall, AI can strongly augment monitoring and evidence review, but final compliance determinations and escalation decisions typically require executive oversight.",2026-02-24T06:12:23.164696
11-1011.03,Chief Sustainability Officers,15373,Write and distribute financial or environmental impact reports.,11-1011.03||15373||Write and distribute financial or environmental impact reports.,4.2,3.4,1.1,2.6,2.7,4.3,High,4.0,"Drafting and distributing impact reports is largely standardized (templates, disclosure frameworks like GRI/SASB/TCFD/ISSB, recurring metrics), making it highly codifiable and well-suited to automation for data aggregation, narrative drafting, formatting, and distribution workflows. Moderate cognitive complexity remains in interpreting results, selecting material topics, reconciling conflicting data sources, and ensuring consistency with strategy and prior disclosures. The work is mostly digital with limited need for physical presence. Social/emotional demands are moderate because reports must be aligned with stakeholder expectations and internal politics, but much of the writing itself can be AI-assisted. Accountability is high due to regulatory, reputational, and potential legal exposure (e.g., greenwashing risk), so final judgments, sign-off, and sensitive claims validation remain human-critical.",2026-02-24T06:12:28.313187
11-1011.03,Chief Sustainability Officers,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.","11-1011.03||15371||Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",3.8,3.9,1.1,3.2,3.4,3.7,High,4.1,"Drafting proposals and grant applications is largely document-centric and follows common structures (needs statements, budgets, logic models, compliance sections), making substantial portions codifiable and automatable. AI can efficiently generate first drafts, tailor language to funder priorities, summarize evidence, and help with formatting, checklists, and versioning. Human expertise remains important for selecting the right funding strategy, ensuring factual accuracy, aligning with organizational priorities, and making credible commitments about outcomes, partnerships, and governance. Stakeholders often require trust-building and negotiation around roles, matching funds, and impact claims, which limits full automation. Final accountability for representations, compliance, and reputational risk typically stays with senior leadership.",2026-02-24T06:12:33.160056
11-1011.03,Chief Sustainability Officers,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.","11-1011.03||15367||Identify educational, training, or other development opportunities for sustainability employees or volunteers.",3.6,3.4,1.1,3.2,2.6,3.3,Medium,3.4,"Identifying development opportunities can be partially standardized (skills matrices, competency frameworks, role requirements, and course catalogs), making it moderately codifiable and well-suited to AI-assisted search, matching, and recommendation. The task still requires contextual judgment about organizational strategy, budget, timing, and which capabilities matter most, raising cognitive complexity beyond simple lookup. It is largely digital with minimal physical requirements. Social factors matter because buy-in, motivation, equity considerations, and tailoring to individual career paths often require human conversation and trust. AI can automate needs-assessment drafts, gap analyses, and curated learning pathways, while humans remain critical for prioritization, fairness, and accountability for workforce development decisions.",2026-02-24T06:12:37.544410
11-1011.03,Chief Sustainability Officers,15369,Conduct risk assessments related to sustainability and the environment.,11-1011.03||15369||Conduct risk assessments related to sustainability and the environment.,3.6,4.2,1.2,3.4,2.8,4.6,Medium,3.4,"Sustainability/environmental risk assessments follow recognizable frameworks (e.g., materiality, scenario analysis, compliance checklists), making data gathering, scoring, and reporting fairly codifiable and automatable. However, selecting assumptions, interpreting uncertain and incomplete data, and tailoring assessments to the organization’s strategy and operating context require substantial expert judgment. The work is largely digital with minimal physical embodiment, though it may incorporate site/audit inputs that still need human verification. Stakeholder alignment and communication (board, regulators, investors, communities) add a social component that AI can support but not fully replace. Because outputs can drive major capital allocation, compliance exposure, and reputational risk, accountability remains high and typically requires human sign-off even if AI automates large portions of analysis.",2026-02-24T06:12:42.647916
11-1021.00,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.","11-1021.00||20699||Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",4.2,3.6,1.0,2.6,2.8,4.3,High,4.1,"Reviewing financial statements and performance reports is largely standardized, data-driven work with clear metrics (KPIs, variances, trends), making it highly amenable to analytics automation. AI can ingest multi-source data, generate dashboards, flag anomalies, benchmark performance, and propose likely cost-reduction or improvement opportunities. Human judgment remains important for interpreting results in business context (strategy, market conditions, operational constraints) and for selecting among tradeoffs that affect people and risk. The task is digital with minimal physical requirements, but it can involve some stakeholder communication to validate findings and drive action. Because recommendations can influence budgets, staffing, and compliance, accountability and error costs are high, favoring human oversight even when analysis is automated.",2026-02-24T06:12:46.745569
