O*NET-SOC Code,Title,Alias
33-9091.00,Crossing Guards and Flaggers,Crossing Guards & Flaggers
33-9091.00,Crossing Guards and Flaggers,Crossing Guards and Flagger
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Worker"
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, & Other Recreational Protective Service Workers"
33-9093.00,Transportation Security Screeners,Transportation Security Screener
33-9094.00,School Bus Monitors,School Bus Monitor
33-9099.02,Retail Loss Prevention Specialists,Retail Loss Prevention
33-9099.02,Retail Loss Prevention Specialists,Retail Loss Prevention Specialist
35-1011.00,Chefs and Head Cooks,Chefs & Head Cooks
35-1011.00,Chefs and Head Cooks,Chefs and Head Cook
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,First-Line Supervisors of Food Preparation and Serving Worker
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,First-Line Supervisors of Food Preparation & Serving Workers
35-2012.00,"Cooks, Institution and Cafeteria","Cooks, Institution & Cafeteria"
35-2021.00,Food Preparation Workers,Food Preparation Worker
35-3011.00,Bartenders,Bartender
35-3023.00,Fast Food and Counter Workers,Fast Food and Counter Worker
35-3023.00,Fast Food and Counter Workers,Fast Food & Counter Workers
35-3023.01,Baristas,Barista
35-3031.00,Waiters and Waitresses,Waiters and Waitresse
35-3031.00,Waiters and Waitresses,Waiters & Waitresses
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Dining Room and Cafeteria Attendants and Bartender Helper
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Dining Room & Cafeteria Attendants & Bartender Helpers
35-9021.00,Dishwashers,Dishwasher
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts & Hostesses, Restaurant, Lounge, & Coffee Shop"
35-9099.00,"Food Preparation and Serving Related Workers, All Other","Food Preparation & Serving Related Workers, All Other"
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,First-Line Supervisors of Housekeeping and Janitorial Worker
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,First-Line Supervisors of Housekeeping & Janitorial Workers
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","First-Line Supervisors of Landscaping, Lawn Service, & Groundskeeping Workers"
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Worker"
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors & Cleaners, Except Maids & Housekeeping Cleaners"
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and Cleaners, Except Maids and Housekeeping Cleaner"
37-2012.00,Maids and Housekeeping Cleaners,Maids and Housekeeping Cleaner
37-2012.00,Maids and Housekeeping Cleaners,Maids & Housekeeping Cleaners
37-2021.00,Pest Control Workers,Pest Control Worker
37-3011.00,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Worker
37-3011.00,Landscaping and Groundskeeping Workers,Landscaping & Groundskeeping Workers
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Pesticide Handlers, Sprayers, & Applicators, Vegetation"
37-3013.00,Tree Trimmers and Pruners,Tree Trimmers and Pruner
37-3013.00,Tree Trimmers and Pruners,Tree Trimmers & Pruners
39-1013.00,First-Line Supervisors of Gambling Services Workers,First-Line Supervisors of Gambling Services Worker
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","First-Line Supervisors of Entertainment & Recreation Workers, Except Gambling Services"
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Service"
39-1022.00,First-Line Supervisors of Personal Service Workers,First-Line Supervisors of Personal Service Worker
39-2011.00,Animal Trainers,Animal Trainer
39-2021.00,Animal Caretakers,Animal Caretaker
39-3011.00,Gambling Dealers,Gambling Dealer
39-3012.00,Gambling and Sports Book Writers and Runners,Gambling & Sports Book Writers & Runners
39-3012.00,Gambling and Sports Book Writers and Runners,Gambling and Sports Book Writers and Runner
39-3021.00,Motion Picture Projectionists,Motion Picture Projectionist
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers","Ushers, Lobby Attendants, & Ticket Takers"
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers","Ushers, Lobby Attendants, and Ticket Taker"
39-3091.00,Amusement and Recreation Attendants,Amusement & Recreation Attendants
39-3091.00,Amusement and Recreation Attendants,Amusement and Recreation Attendant
39-3092.00,Costume Attendants,Costume Attendant
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants","Locker Room, Coatroom, and Dressing Room Attendant"
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants","Locker Room, Coatroom, & Dressing Room Attendants"
39-3099.00,"Entertainment Attendants and Related Workers, All Other","Entertainment Attendants & Related Workers, All Other"
39-4011.00,Embalmers,Embalmer
39-4012.00,Crematory Operators,Crematory Operator
39-4021.00,Funeral Attendants,Funeral Attendant
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers","Morticians, Undertakers, & Funeral Arrangers"
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers","Morticians, Undertakers, and Funeral Arranger"
39-5011.00,Barbers,Barber
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists","Hairdressers, Hairstylists, and Cosmetologist"
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists","Hairdressers, Hairstylists, & Cosmetologists"
39-5091.00,"Makeup Artists, Theatrical and Performance","Makeup Artists, Theatrical & Performance"
39-5092.00,Manicurists and Pedicurists,Manicurists & Pedicurists
39-5092.00,Manicurists and Pedicurists,Manicurists and Pedicurist
39-5093.00,Shampooers,Shampooer
39-5094.00,Skincare Specialists,Skincare
39-5094.00,Skincare Specialists,Skincare Specialist
39-6011.00,Baggage Porters and Bellhops,Baggage Porters and Bellhop
39-6011.00,Baggage Porters and Bellhops,Baggage Porters & Bellhops
39-6012.00,Concierges,Concierge
39-7011.00,Tour Guides and Escorts,Tour Guides and Escort
39-7011.00,Tour Guides and Escorts,Tour Guides & Escorts
39-7012.00,Travel Guides,Travel Guide
39-9011.00,Childcare Workers,Childcare Worker
39-9011.01,Nannies,Nanny
39-9031.00,Exercise Trainers and Group Fitness Instructors,Exercise Trainers & Group Fitness Instructors
39-9031.00,Exercise Trainers and Group Fitness Instructors,Exercise Trainers and Group Fitness Instructor
39-9032.00,Recreation Workers,Recreation Worker
39-9041.00,Residential Advisors,Residential Advisor
39-9099.00,"Personal Care and Service Workers, All Other","Personal Care & Service Workers, All Other"
41-1011.00,First-Line Supervisors of Retail Sales Workers,First-Line Supervisors of Retail Sales Worker
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,First-Line Supervisors of Non-Retail Sales Worker
41-2011.00,Cashiers,Cashier
41-2012.00,Gambling Change Persons and Booth Cashiers,Gambling Change Persons & Booth Cashiers
41-2012.00,Gambling Change Persons and Booth Cashiers,Gambling Change Persons and Booth Cashier
41-2021.00,Counter and Rental Clerks,Counter & Rental Clerks
41-2021.00,Counter and Rental Clerks,Counter and Rental Clerk
41-2022.00,Parts Salespersons,Parts Salesperson
41-2031.00,Retail Salespersons,Retail Salesperson
41-3011.00,Advertising Sales Agents,Advertising Sales Agent
41-3021.00,Insurance Sales Agents,Insurance Sales Agent
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, & Financial Services Sales Agents"
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, and Financial Services Sales Agent"
41-3041.00,Travel Agents,Travel Agent
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, & Travel"
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Product"
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales Representatives, Wholesale & Manufacturing, Technical & Scientific Products"
41-4011.07,Solar Sales Representatives and Assessors,Solar Sales Representatives and Assessor
41-4011.07,Solar Sales Representatives and Assessors,Solar Sales Representatives & Assessors
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Product"
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale & Manufacturing, Except Technical & Scientific Products"
41-9011.00,Demonstrators and Product Promoters,Demonstrators & Product Promoters
41-9011.00,Demonstrators and Product Promoters,Demonstrators and Product Promoter
41-9012.00,Models,Model
41-9021.00,Real Estate Brokers,Real Estate Broker
41-9022.00,Real Estate Sales Agents,Real Estate Sales Agent
41-9031.00,Sales Engineers,Sales Engineer
41-9041.00,Telemarketers,Telemarketer
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","Door-to-Door Sales Workers, News & Street Vendors, & Related Workers"
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","Door-to-Door Sales Workers, News and Street Vendors, and Related Worker"
41-9099.00,"Sales and Related Workers, All Other","Sales & Related Workers, All Other"
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Worker
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office & Administrative Support Workers
43-2021.00,Telephone Operators,Telephone Operator
43-3011.00,Bill and Account Collectors,Bill and Account Collector
43-3011.00,Bill and Account Collectors,Bill & Account Collectors
43-3021.00,Billing and Posting Clerks,Billing and Posting Clerk
43-3021.00,Billing and Posting Clerks,Billing & Posting Clerks
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, & Auditing Clerks"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, and Auditing Clerk"
43-3041.00,Gambling Cage Workers,Gambling Cage Worker
43-3051.00,Payroll and Timekeeping Clerks,Payroll and Timekeeping Clerk
43-3051.00,Payroll and Timekeeping Clerks,Payroll & Timekeeping Clerks
43-3061.00,Procurement Clerks,Procurement Clerk
43-3071.00,Tellers,Teller
43-4011.00,Brokerage Clerks,Brokerage Clerk
43-4021.00,Correspondence Clerks,Correspondence Clerk
43-4031.00,"Court, Municipal, and License Clerks","Court, Municipal, and License Clerk"
43-4031.00,"Court, Municipal, and License Clerks","Court, Municipal, & License Clerks"
43-4041.00,"Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, and Clerk"
43-4041.00,"Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, & Clerks"
43-4051.00,Customer Service Representatives,Customer Service Representative
43-4061.00,"Eligibility Interviewers, Government Programs","Eligibility Interviewers, Government Program"
43-4071.00,File Clerks,File Clerk
43-4081.00,"Hotel, Motel, and Resort Desk Clerks","Hotel, Motel, and Resort Desk Clerk"
43-4081.00,"Hotel, Motel, and Resort Desk Clerks","Hotel, Motel, & Resort Desk Clerks"
43-4111.00,"Interviewers, Except Eligibility and Loan","Interviewers, Except Eligibility & Loan"
43-4131.00,Loan Interviewers and Clerks,Loan Interviewers and Clerk
43-4131.00,Loan Interviewers and Clerks,Loan Interviewers & Clerks
43-4141.00,New Accounts Clerks,New Accounts Clerk
43-4151.00,Order Clerks,Order Clerk
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping","Human Resources Assistants, Except Payroll & Timekeeping"
43-4171.00,Receptionists and Information Clerks,Receptionists & Information Clerks
43-4171.00,Receptionists and Information Clerks,Receptionists and Information Clerk
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation & Transportation Ticket Agents & Travel Clerks
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerk
43-4199.00,"Information and Record Clerks, All Other","Information & Record Clerks, All Other"
43-5011.00,Cargo and Freight Agents,Cargo & Freight Agents
43-5011.00,Cargo and Freight Agents,Cargo and Freight Agent
43-5011.01,Freight Forwarders,Freight Forwarder
43-5021.00,Couriers and Messengers,Couriers and Messenger
43-5021.00,Couriers and Messengers,Couriers & Messengers
43-5031.00,Public Safety Telecommunicators,Public Safety Telecommunicator
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance","Dispatchers, Except Police, Fire, & Ambulance"
43-5041.00,"Meter Readers, Utilities","Meter Readers, Utility"
43-5051.00,Postal Service Clerks,Postal Service Clerk
43-5052.00,Postal Service Mail Carriers,Postal Service Mail Carrier
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Postal Service Mail Sorters, Processors, and Processing Machine Operator"
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Postal Service Mail Sorters, Processors, & Processing Machine Operators"
43-5061.00,"Production, Planning, and Expediting Clerks","Production, Planning, and Expediting Clerk"
43-5061.00,"Production, Planning, and Expediting Clerks","Production, Planning, & Expediting Clerks"
43-5071.00,"Shipping, Receiving, and Inventory Clerks","Shipping, Receiving, and Inventory Clerk"
43-5071.00,"Shipping, Receiving, and Inventory Clerks","Shipping, Receiving, & Inventory Clerks"
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weighers, Measurers, Checkers, & Samplers, Recordkeeping"
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Executive Secretaries and Executive Administrative Assistant
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Executive Secretaries & Executive Administrative Assistants
43-6012.00,Legal Secretaries and Administrative Assistants,Legal Secretaries & Administrative Assistants
43-6012.00,Legal Secretaries and Administrative Assistants,Legal Secretaries and Administrative Assistant
43-6013.00,Medical Secretaries and Administrative Assistants,Medical Secretaries and Administrative Assistant
43-6013.00,Medical Secretaries and Administrative Assistants,Medical Secretaries & Administrative Assistants
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Secretaries & Administrative Assistants, Except Legal, Medical, & Executive"
43-9021.00,Data Entry Keyers,Data Entry Keyer
43-9022.00,Word Processors and Typists,Word Processors and Typist
43-9022.00,Word Processors and Typists,Word Processors & Typists
43-9031.00,Desktop Publishers,Desktop Publisher
43-9041.00,Insurance Claims and Policy Processing Clerks,Insurance Claims & Policy Processing Clerks
43-9041.00,Insurance Claims and Policy Processing Clerks,Insurance Claims and Policy Processing Clerk
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks & Mail Machine Operators, Except Postal Service"
43-9081.00,Proofreaders and Copy Markers,Proofreaders & Copy Markers
43-9081.00,Proofreaders and Copy Markers,Proofreaders and Copy Marker
43-9111.00,Statistical Assistants,Statistical Assistant
43-9199.00,"Office and Administrative Support Workers, All Other","Office & Administrative Support Workers, All Other"
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","First-Line Supervisors of Farming, Fishing, and Forestry Worker"
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","First-Line Supervisors of Farming, Fishing, & Forestry Workers"
45-2011.00,Agricultural Inspectors,Agricultural Inspector
45-2021.00,Animal Breeders,Animal Breeder
45-2041.00,"Graders and Sorters, Agricultural Products","Graders and Sorters, Agricultural Product"
45-2041.00,"Graders and Sorters, Agricultural Products","Graders & Sorters, Agricultural Products"
45-2091.00,Agricultural Equipment Operators,Agricultural Equipment Operator
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",nurse
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farmworkers & Laborers, Crop, Nursery, & Greenhouse"
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals","Farmworkers, Farm, Ranch, & Aquacultural Animals"
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals","Farmworkers, Farm, Ranch, and Aquacultural Animal"
45-3031.00,Fishing and Hunting Workers,Fishing and Hunting Worker
45-3031.00,Fishing and Hunting Workers,Fishing & Hunting Workers
45-4011.00,Forest and Conservation Workers,Forest & Conservation Workers
45-4011.00,Forest and Conservation Workers,Forest and Conservation Worker
45-4021.00,Fallers,Faller
45-4022.00,Logging Equipment Operators,Logging Equipment Operator
45-4023.00,Log Graders and Scalers,Log Graders & Scalers
45-4023.00,Log Graders and Scalers,Log Graders and Scaler
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,First-Line Supervisors of Construction Trades and Extraction Worker
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,First-Line Supervisors of Construction Trades & Extraction Workers
47-1011.03,Solar Energy Installation Managers,Solar Energy Installation
47-1011.03,Solar Energy Installation Managers,management job
47-1011.03,Solar Energy Installation Managers,Solar Energy Installation Manager
47-2011.00,Boilermakers,Boilermaker
47-2021.00,Brickmasons and Blockmasons,Brickmasons and Blockmason
47-2021.00,Brickmasons and Blockmasons,Brickmasons & Blockmasons
47-2022.00,Stonemasons,Stonemason
47-2031.00,Carpenters,Carpenter
47-2041.00,Carpet Installers,Carpet Installer
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles","Floor Layers, Except Carpet, Wood, & Hard Tiles"
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles","Floor Layers, Except Carpet, Wood, and Hard Tile"
47-2043.00,Floor Sanders and Finishers,Floor Sanders & Finishers
47-2043.00,Floor Sanders and Finishers,Floor Sanders and Finisher
47-2044.00,Tile and Stone Setters,Tile and Stone Setter
47-2044.00,Tile and Stone Setters,Tile & Stone Setters
47-2051.00,Cement Masons and Concrete Finishers,Cement Masons & Concrete Finishers
47-2051.00,Cement Masons and Concrete Finishers,Cement Masons and Concrete Finisher
47-2053.00,Terrazzo Workers and Finishers,Terrazzo Workers & Finishers
47-2053.00,Terrazzo Workers and Finishers,Terrazzo Workers and Finisher
47-2061.00,Construction Laborers,Construction Laborer
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators","Paving, Surfacing, & Tamping Equipment Operators"
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators","Paving, Surfacing, and Tamping Equipment Operator"
47-2072.00,Pile Driver Operators,Pile Driver Operator
47-2073.00,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operator
47-2073.00,Operating Engineers and Other Construction Equipment Operators,Operating Engineers & Other Construction Equipment Operators
47-2081.00,Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installer
47-2081.00,Drywall and Ceiling Tile Installers,Drywall & Ceiling Tile Installers
47-2082.00,Tapers,Taper
47-2111.00,Electricians,Electrician
47-2121.00,Glaziers,Glazier
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall","Insulation Workers, Floor, Ceiling, & Wall"
47-2141.00,"Painters, Construction and Maintenance","Painters, Construction & Maintenance"
47-2142.00,Paperhangers,Paperhanger
47-2151.00,Pipelayers,Pipelayer
47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Plumbers, Pipefitters, and Steamfitter"
47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Plumbers, Pipefitters, & Steamfitters"
47-2152.04,Solar Thermal Installers and Technicians,Solar Thermal Installers and Technician
47-2152.04,Solar Thermal Installers and Technicians,Solar Thermal Installers and
47-2152.04,Solar Thermal Installers and Technicians,Solar Thermal Installers & Technicians
47-2161.00,Plasterers and Stucco Masons,Plasterers & Stucco Masons
47-2161.00,Plasterers and Stucco Masons,Plasterers and Stucco Mason
47-2171.00,Reinforcing Iron and Rebar Workers,Reinforcing Iron and Rebar Worker
47-2171.00,Reinforcing Iron and Rebar Workers,Reinforcing Iron & Rebar Workers
47-2181.00,Roofers,Roofer
47-2211.00,Sheet Metal Workers,Sheet Metal Worker
47-2221.00,Structural Iron and Steel Workers,Structural Iron & Steel Workers
47-2221.00,Structural Iron and Steel Workers,Structural Iron and Steel Worker
47-2231.00,Solar Photovoltaic Installers,Solar Photovoltaic Installer
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Helpers--Brickmasons, Blockmasons, Stonemasons, & Tile & Marble Setters"
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setter"
47-3012.00,Helpers--Carpenters,Helpers--Carpenter
47-3013.00,Helpers--Electricians,Helpers--Electrician
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Helpers--Painters, Paperhangers, Plasterers, and Stucco Mason"
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Helpers--Painters, Paperhangers, Plasterers, & Stucco Masons"
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitter"
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Helpers--Pipelayers, Plumbers, Pipefitters, & Steamfitters"
47-3016.00,Helpers--Roofers,Helpers--Roofer
47-4011.00,Construction and Building Inspectors,Construction and Building Inspector
47-4011.00,Construction and Building Inspectors,Construction & Building Inspectors
47-4011.01,Energy Auditors,Energy Auditor
47-4021.00,Elevator and Escalator Installers and Repairers,Elevator and Escalator Installers and Repairer
47-4021.00,Elevator and Escalator Installers and Repairers,Elevator & Escalator Installers & Repairers
47-4031.00,Fence Erectors,Fence Erector
47-4041.00,Hazardous Materials Removal Workers,Hazardous Materials Removal Worker
47-4051.00,Highway Maintenance Workers,Highway Maintenance Worker
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Rail-Track Laying & Maintenance Equipment Operators
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Rail-Track Laying and Maintenance Equipment Operator
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Septic Tank Servicers & Sewer Pipe Cleaners
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Septic Tank Servicers and Sewer Pipe Cleaner
47-4091.00,Segmental Pavers,Segmental Paver
47-4099.00,"Construction and Related Workers, All Other","Construction & Related Workers, All Other"
47-4099.03,Weatherization Installers and Technicians,Weatherization Installers and
47-4099.03,Weatherization Installers and Technicians,Weatherization Installers & Technicians
47-4099.03,Weatherization Installers and Technicians,Weatherization Installers and Technician
47-5011.00,"Derrick Operators, Oil and Gas","Derrick Operators, Oil and Ga"
47-5011.00,"Derrick Operators, Oil and Gas","Derrick Operators, Oil & Gas"
47-5012.00,"Rotary Drill Operators, Oil and Gas","Rotary Drill Operators, Oil and Ga"
47-5012.00,"Rotary Drill Operators, Oil and Gas","Rotary Drill Operators, Oil & Gas"
47-5013.00,"Service Unit Operators, Oil and Gas","Service Unit Operators, Oil and Ga"
47-5013.00,"Service Unit Operators, Oil and Gas","Service Unit Operators, Oil & Gas"
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining","Excavating & Loading Machine & Dragline Operators, Surface Mining"
47-5023.00,"Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil and Ga"
47-5023.00,"Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil & Gas"
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters","Explosives Workers, Ordnance Handling Experts, and Blaster"
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters","Explosives Workers, Ordnance Handling Experts, & Blasters"
47-5041.00,Continuous Mining Machine Operators,Continuous Mining Machine Operator
47-5044.00,"Loading and Moving Machine Operators, Underground Mining","Loading & Moving Machine Operators, Underground Mining"
47-5071.00,"Roustabouts, Oil and Gas","Roustabouts, Oil and Ga"
47-5071.00,"Roustabouts, Oil and Gas","Roustabouts, Oil & Gas"
47-5081.00,Helpers--Extraction Workers,Helpers--Extraction Worker
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers","First-Line Supervisors of Mechanics, Installers, & Repairers"
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers","First-Line Supervisors of Mechanics, Installers, and Repairer"
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers","Computer, Automated Teller, & Office Machine Repairers"
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers","Computer, Automated Teller, and Office Machine Repairer"
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers","Radio, Cellular, and Tower Equipment Installers and Repairer"
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers","Radio, Cellular, & Tower Equipment Installers & Repairers"
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Telecommunications Equipment Installers & Repairers, Except Line Installers"
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Telecommunications Equipment Installers and Repairers, Except Line Installer"
49-2091.00,Avionics Technicians,Avionics Technician
49-2091.00,Avionics Technicians,Avionics
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Electric Motor, Power Tool, & Related Repairers"
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Electric Motor, Power Tool, and Related Repairer"
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Electrical & Electronics Installers & Repairers, Transportation Equipment"
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Electrical & Electronics Repairers, Commercial & Industrial Equipment"
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Electrical & Electronics Repairers, Powerhouse, Substation, & Relay"
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles","Electronic Equipment Installers & Repairers, Motor Vehicles"
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles","Electronic Equipment Installers and Repairers, Motor Vehicle"
49-2097.00,Audiovisual Equipment Installers and Repairers,Audiovisual Equipment Installers & Repairers
49-2097.00,Audiovisual Equipment Installers and Repairers,Audiovisual Equipment Installers and Repairer
49-2098.00,Security and Fire Alarm Systems Installers,Security & Fire Alarm Systems Installers
49-2098.00,Security and Fire Alarm Systems Installers,Security and Fire Alarm Systems Installer
49-3011.00,Aircraft Mechanics and Service Technicians,Aircraft Mechanics and Service
49-3011.00,Aircraft Mechanics and Service Technicians,Aircraft Mechanics and Service Technician
49-3011.00,Aircraft Mechanics and Service Technicians,Aircraft Mechanics & Service Technicians
49-3021.00,Automotive Body and Related Repairers,Automotive Body and Related Repairer
49-3021.00,Automotive Body and Related Repairers,Automotive Body & Related Repairers
49-3022.00,Automotive Glass Installers and Repairers,Automotive Glass Installers and Repairer
49-3022.00,Automotive Glass Installers and Repairers,Automotive Glass Installers & Repairers
49-3023.00,Automotive Service Technicians and Mechanics,Automotive Service Technicians & Mechanics
49-3023.00,Automotive Service Technicians and Mechanics,Automotive Service Technicians and Mechanic
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Bus and Truck Mechanics and Diesel Engine Specialist
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Bus and Truck Mechanics and Diesel Engine
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Bus & Truck Mechanics & Diesel Engine Specialists
49-3041.00,Farm Equipment Mechanics and Service Technicians,Farm Equipment Mechanics & Service Technicians
49-3041.00,Farm Equipment Mechanics and Service Technicians,Farm Equipment Mechanics and Service Technician
49-3041.00,Farm Equipment Mechanics and Service Technicians,Farm Equipment Mechanics and Service
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines","Mobile Heavy Equipment Mechanics, Except Engine"
49-3043.00,Rail Car Repairers,Rail Car Repairer
49-3051.00,Motorboat Mechanics and Service Technicians,Motorboat Mechanics and Service Technician
49-3051.00,Motorboat Mechanics and Service Technicians,Motorboat Mechanics and Service
49-3051.00,Motorboat Mechanics and Service Technicians,Motorboat Mechanics & Service Technicians
