O*NET-SOC Code,Title,Conflict Situations,Contact With Others,Coordinate or Lead Others in Accomplishing Work Activities,Deal With External Customers or the Public in General,"Dealing With Unpleasant, Angry, or Discourteous People",Dealing with Violent or Physically Aggressive People,Face-to-Face Discussions with Individuals and Within Teams,Public Speaking,Work With or Contribute to a Work Group or Team,"Communicating with Supervisors, Peers, or Subordinates Combined",Instructing Combined,Performing for or Working Directly with the Public Combined,Negotiation Combined,Coaching and Developing Others Combined,Training and Teaching Others Combined,Resolving Conflicts and Negotiating with Others Combined,Social Perceptiveness Combined,Developing and Building Teams Combined,Communicating with People Outside the Organization Combined,Service Orientation Combined,Persuasion Combined
17-2171.00,Petroleum Engineers,2.83,4.54,4.27,3.21,2.01,1.21,4.99,2.52,4.89,3.3294285714285707,1.8571428571428568,1.1275857142857142,1.9077714285714285,1.7358285714285715,1.5845857142857145,2.664,2.354914285714286,2.229014285714286,2.975142857142857,1.8571428571428568,1.8914285714285717
17-2199.03,"Energy Engineers, Except Wind and Solar",2.95,4.36,3.48,3.55,2.38,1.29,4.45,2.55,4.23,3.4378285714285712,1.8571428571428568,1.5551428571428572,1.8057142857142856,2.7168,2.463,2.2360857142857142,2.125,2.647685714285714,3.173757142857143,1.8571428571428568,1.8571428571428568
17-2199.05,Mechatronics Engineers,2.64,3.76,3.79,3.02,2.18,1.09,4.72,2.51,4.37,3.039828571428571,1.8914285714285717,1.1046571428571428,1.6665142857142858,1.9243142857142856,2.0688571428571425,1.8965,1.7200000000000002,1.8671,2.5185142857142857,1.7734857142857143,1.8057142857142856
17-2199.06,Microsystems Engineers,2.23,3.91,4.15,3.3,2.1,1.35,4.73,2.58,4.47,3.086071428571429,2.06,1.0313714285714286,1.9285714285714288,1.8401714285714283,1.6812142857142856,1.5410714285714286,1.9657142857142855,1.7169142857142858,2.4911,1.8571428571428568,1.8057142857142856
17-2199.07,Photonics Engineers,2.61,4.35,3.41,2.78,2.23,1.26,4.83,2.64,4.61,2.8163285714285715,2.0,1.063842857142857,1.5614285714285714,1.876,1.9537,1.7357714285714283,1.6875,1.9942857142857144,2.386571428571429,1.5614285714285714,1.6364285714285711
17-2199.08,Robotics Engineers,2.9,3.97,3.5,3.0,2.3,1.14,4.8,2.8,4.43,2.9844285714285714,2.0,1.165,1.7734857142857143,2.239,2.5163,2.266571428571429,2.0,2.3761428571428573,2.359228571428571,1.4435714285714285,1.9657142857142855
17-2199.09,Nanosystems Engineers,2.52,3.9,3.38,3.14,2.33,1.0,4.62,2.81,4.33,3.372942857142857,1.9657142857142855,1.3893,1.8571428571428568,2.6190857142857142,3.1128571428571425,1.6818285714285717,1.9842857142857144,2.3399714285714284,2.7041142857142857,1.8057142857142856,1.9657142857142855
17-2199.10,Wind Energy Engineers,2.43,3.69,3.38,2.99,2.08,1.05,4.19,2.24,4.06,3.0092857142857143,1.845,1.2110571428571428,1.7200000000000002,2.033357142857142,1.936742857142857,1.7013714285714283,1.9085714285714288,2.3167,2.602,1.6875,1.9657142857142855
17-2199.11,Solar Energy Systems Engineers,2.89,4.11,3.68,3.54,2.5,1.29,4.61,2.32,4.25,2.877142857142857,1.8571428571428568,1.5519142857142856,1.75,2.0764,2.3399714285714284,1.9457,1.9285714285714288,2.0965,2.6939285714285712,1.7200000000000002,1.8571428571428568
17-3011.00,Architectural and Civil Drafters,2.47,4.0,3.7,3.08,2.19,1.0,4.86,2.53,4.45,2.7133571428571432,2.023657142857143,1.3260857142857143,1.655,1.6024857142857143,1.6590857142857145,1.5805714285714283,1.822857142857143,1.6632285714285713,2.212085714285714,1.7734857142857143,1.6875
17-3012.00,Electrical and Electronics Drafters,2.92,4.15,3.15,2.98,2.69,1.31,4.62,1.98,4.35,3.1519857142857144,1.8125,1.1232,1.6171428571428572,1.4857142857142858,1.6325,1.517857142857143,1.8057142857142856,1.4078285714285714,1.9469142857142856,1.655,1.6665142857142858
17-3013.00,Mechanical Drafters,2.4,3.7,3.39,2.68,2.19,1.02,4.63,1.95,3.89,2.8729714285714287,1.8914285714285717,1.0826,1.4017857142857142,1.4594285714285715,1.478557142857143,1.3238857142857143,1.8571428571428568,1.2505,1.9505428571428567,1.4691999999999998,1.4435714285714285
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,2.8,4.02,3.88,3.69,2.35,1.05,4.69,1.72,4.48,3.1976000000000004,1.75,1.0001714285714285,1.5614285714285714,1.7070142857142858,1.92,1.5455714285714284,1.8057142857142856,1.839742857142857,2.3838,1.6364285714285711,1.6665142857142858
17-3022.00,Civil Engineering Technologists and Technicians,2.83,4.54,3.79,4.01,2.71,1.25,4.95,2.15,4.45,2.9992857142857146,1.4691999999999998,1.616857142857143,1.5892857142857142,1.5311428571428571,1.5015428571428573,1.969,1.7734857142857143,1.4228571428571428,2.305542857142857,1.655,1.51
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,2.62,4.03,3.56,2.94,2.58,1.28,4.71,2.03,4.24,2.975942857142857,1.6665142857142858,1.3070285714285714,1.4017857142857142,1.8884571428571428,2.2160714285714285,1.6902857142857144,1.7036571428571428,1.8393142857142857,2.1795714285714283,1.7734857142857143,1.4821428571428572
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3.37,4.31,3.68,2.73,3.4,1.75,4.74,1.96,4.3,3.0523857142857143,1.837942857142857,1.1855142857142855,1.25,1.98,2.136,1.4388571428571428,1.7734857142857143,1.889628571428572,1.678942857142857,1.4017857142857142,1.268571428571429
17-3024.01,Robotics Technicians,2.5,3.91,3.23,2.82,2.1,1.09,4.73,2.18,4.14,3.152285714285714,1.837942857142857,1.0192857142857144,1.4435714285714285,1.9672,2.2192,1.4953,1.7385714285714284,1.7037857142857145,1.9342142857142857,1.8057142857142856,1.5614285714285714
17-3025.00,Environmental Engineering Technologists and Technicians,2.76,4.42,3.5,3.57,2.56,1.2,4.72,1.87,3.95,2.883771428571429,1.7734857142857143,1.6252714285714287,1.7385714285714284,1.5033571428571428,1.6278857142857144,1.9459428571428568,1.8571428571428568,1.3205714285714285,1.8485714285714288,1.7200000000000002,1.7734857142857143
17-3026.00,Industrial Engineering Technologists and Technicians,3.07,4.51,3.97,2.78,2.73,1.09,4.73,2.39,4.51,2.9631000000000003,1.8914285714285717,1.1100714285714286,1.6665142857142858,1.7773714285714286,1.9102857142857144,1.3755428571428574,1.837942857142857,1.7450571428571429,2.135942857142857,1.6364285714285711,1.8728571428571428
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.1,4.3,3.7,3.05,2.0,1.1,4.65,2.45,4.3,3.247,1.8728571428571428,1.378,1.3785714285714286,2.570214285714286,3.516142857142857,1.6869285714285716,1.655,1.7415714285714283,2.3398571428571424,1.4821428571428572,1.4928571428571429
17-3027.00,Mechanical Engineering Technologists and Technicians,2.77,4.56,3.76,3.14,2.76,1.4,4.71,2.15,4.02,2.9862857142857147,1.75,1.264442857142857,1.625,1.8458571428571429,2.1102857142857143,1.8749714285714283,1.8914285714285717,1.9342857142857144,2.362857142857143,1.7385714285714284,1.8571428571428568
17-3027.01,Automotive Engineering Technicians,2.89,4.19,3.07,2.85,2.67,1.44,4.89,2.37,4.3,2.9080000000000004,1.5165142857142857,1.2372571428571428,1.4435714285714285,1.8799428571428567,2.198542857142857,1.707142857142857,1.7142857142857144,1.9632,1.8288,1.4542857142857144,1.5165142857142857
17-3029.01,Non-Destructive Testing Specialists,2.77,3.95,3.67,3.95,2.62,1.59,4.67,2.36,3.86,3.086071428571429,1.8571428571428568,1.7206428571428574,1.4821428571428572,2.900457142857143,3.0391428571428567,2.3952,1.8571428571428568,2.331714285714286,2.9325428571428573,1.5785714285714287,1.5357142857142858
17-3029.08,Photonics Technicians,2.45,3.9,3.18,2.5,2.41,1.32,4.5,1.86,4.05,2.671057142857143,1.6364285714285711,1.26,1.2857142857142856,1.9334,1.7971428571428572,1.7414285714285715,1.6875,1.6489714285714283,1.78,1.4928571428571429,1.32
17-3031.00,Surveying and Mapping Technicians,2.38,4.02,3.05,2.97,2.29,1.42,4.57,1.82,3.82,2.6500857142857144,1.6665142857142858,1.2704,1.4691999999999998,1.5493714285714286,1.8146285714285717,1.4454,1.7734857142857143,1.4473142857142856,1.9716571428571428,1.7734857142857143,1.7036571428571428
19-1011.00,Animal Scientists,2.65,4.22,3.61,3.57,2.39,1.26,4.45,3.04,4.17,3.3657142857142857,1.9285714285714288,1.8502,1.8571428571428568,2.676671428571429,3.246871428571428,2.3510285714285715,1.9842857142857144,2.6585714285714284,3.361642857142857,1.8571428571428568,1.8914285714285717
19-1012.00,Food Scientists and Technologists,2.86,3.91,3.33,3.14,2.5,1.45,4.9,2.45,4.33,3.335757142857142,1.9285714285714288,1.2958571428571428,1.9085714285714288,2.6835,2.4785714285714286,2.261285714285714,2.0028571428571427,2.4467,2.425342857142857,1.8571428571428568,2.023657142857143
19-1013.00,Soil and Plant Scientists,2.5,3.95,3.65,3.38,2.4,1.29,4.48,2.76,4.05,3.4289571428571435,1.9449142857142856,2.251428571428572,1.6875,2.474557142857143,2.853742857142857,2.0362857142857145,1.8571428571428568,2.2032,3.1128571428571425,1.7734857142857143,1.837942857142857
19-1021.00,Biochemists and Biophysicists,2.55,3.75,3.16,1.8,2.16,1.35,4.44,2.65,4.21,3.608214285714285,2.6393714285714287,1.2985714285714285,1.4821428571428572,3.003571428571429,3.385,1.8485714285714288,1.8914285714285717,2.276,2.7466428571428576,1.5614285714285714,1.8571428571428568
19-1022.00,Microbiologists,2.68,3.77,3.29,2.95,2.45,1.23,4.74,2.64,4.1,3.067,2.0342857142857143,1.3759142857142856,1.6665142857142858,2.1793571428571425,2.723071428571429,1.7336714285714283,1.8914285714285717,1.9643857142857144,2.737642857142857,1.8914285714285717,1.6665142857142858
19-1023.00,Zoologists and Wildlife Biologists,2.47,4.36,4.17,3.89,2.4,1.25,4.52,2.36,4.34,3.404628571428572,1.8914285714285717,3.036914285714286,1.9449142857142856,2.1325857142857143,2.2032,2.6350857142857143,2.086428571428572,2.5425142857142857,3.422,1.8571428571428568,1.9842857142857144
19-1029.01,Bioinformatics Scientists,2.23,3.71,4.08,2.39,1.98,1.07,4.87,3.15,4.71,3.0519,1.9285714285714288,1.2124857142857142,1.75,2.2151,2.5772714285714287,1.8610428571428568,2.125,2.1004857142857145,3.293257142857143,1.8057142857142856,1.94
19-1029.02,Molecular and Cellular Biologists,2.27,3.69,3.36,2.15,2.08,1.28,4.62,2.96,4.08,3.298342857142857,2.6185714285714288,1.2971428571428572,1.8571428571428568,2.787571428571429,3.1482857142857146,1.915342857142857,2.086428571428572,2.0960857142857146,2.7444571428571427,1.5207142857142857,1.9085714285714288
19-1029.03,Geneticists,2.2,3.68,3.04,1.88,1.92,1.08,4.6,2.84,4.04,3.1929142857142856,2.4732142857142856,1.4507428571428571,1.8571428571428568,2.6580571428571425,3.376,1.8528,2.3392857142857144,2.2688,3.0502857142857143,1.822857142857143,1.9449142857142856
19-1029.04,Biologists,2.53,4.0,3.66,3.41,2.15,1.12,4.37,2.67,4.49,3.59,2.1085714285714285,1.504742857142857,1.5357142857142858,2.2865714285714285,2.8404,2.410342857142857,1.8571428571428568,2.3005,2.603,1.6364285714285711,1.75
19-1031.00,Conservation Scientists,2.13,3.91,3.61,3.87,2.3,1.22,4.43,2.5,3.91,3.0469142857142857,1.837942857142857,2.6065,1.7857142857142856,2.357,2.431314285714285,2.152542857142857,2.044642857142857,2.0193571428571437,2.899814285714286,1.9085714285714288,1.9449142857142856
19-1031.02,Range Managers,3.16,4.6,4.24,4.45,2.71,1.24,4.9,3.05,4.6,3.525142857142857,1.8571428571428568,2.9897714285714283,2.1635714285714283,2.1502,2.066057142857143,3.1432,1.9085714285714288,2.2502,3.162157142857143,1.9657142857142855,1.8571428571428568
19-1031.03,Park Naturalists,2.61,4.43,4.01,4.64,2.67,1.33,4.53,3.86,4.31,3.6889142857142856,2.044642857142857,4.242571428571429,1.6063428571428573,2.7802857142857147,3.0768,2.638,2.375,2.666842857142857,3.933642857142857,2.2071428571428573,1.7734857142857143
19-1032.00,Foresters,2.54,4.44,3.86,3.9,2.2,1.07,4.4,2.11,3.69,3.3376,1.8571428571428568,2.6630857142857147,2.205357142857143,2.0248,2.031657142857143,2.5553142857142856,2.044642857142857,2.2648,3.352314285714286,1.8914285714285717,2.023657142857143
19-1041.00,Epidemiologists,2.68,4.21,3.89,3.42,2.22,1.21,4.67,2.95,4.5,3.5490285714285714,2.2471428571428573,2.2685714285714287,1.7734857142857143,2.6478428571428574,3.073085714285714,1.9230571428571428,2.6950857142857143,2.8826285714285715,3.750657142857143,2.1635714285714283,2.096342857142857
19-1042.00,"Medical Scientists, Except Epidemiologists",2.79,4.67,3.83,2.44,2.38,1.05,4.84,2.45,4.81,3.820614285714286,2.2857142857142856,1.0596571428571429,1.7734857142857143,2.402757142857143,2.486285714285714,1.2506285714285714,1.9285714285714288,2.225828571428571,1.507085714285714,1.9085714285714288,1.8057142857142856
19-2011.00,Astronomers,2.04,3.57,3.3,2.04,1.74,1.04,4.14,2.83,4.0,3.0785714285714287,2.0342857142857143,1.4845000000000002,1.6063428571428573,2.117142857142857,2.7255714285714285,1.3924857142857143,1.9449142857142856,2.04,2.9536,1.8057142857142856,1.8914285714285717
19-2012.00,Physicists,2.13,3.39,3.6,2.16,2.04,1.12,4.36,3.13,4.13,3.230857142857143,2.7292,1.3764571428571428,1.6875,2.1733857142857143,2.675214285714285,1.5506285714285712,2.0028571428571427,1.8521857142857143,3.011428571428572,1.8571428571428568,2.06
19-2021.00,Atmospheric and Space Scientists,2.4,3.9,3.5,3.5,2.45,1.25,4.6,3.05,3.95,2.9746428571428574,2.0,1.8742857142857143,1.5892857142857142,2.1275,2.5225,1.6732142857142858,1.9842857142857144,2.2321428571428568,3.25,1.7734857142857143,1.7734857142857143
19-2031.00,Chemists,2.45,3.82,3.55,2.98,2.43,1.25,4.74,1.82,3.96,3.0411571428571427,2.0,1.066857142857143,1.32,2.1473714285714287,2.598442857142857,2.133514285714286,1.7857142857142856,2.275714285714286,1.6966,1.51,1.51
19-2032.00,Materials Scientists,2.24,3.81,3.48,3.05,2.05,1.33,4.48,2.67,4.05,3.04,1.837942857142857,1.2514285714285711,1.6063428571428573,2.2670714285714286,2.5198857142857145,1.5434,1.8571428571428568,2.230057142857143,2.853742857142857,1.6875,1.9449142857142856
19-2041.00,"Environmental Scientists and Specialists, Including Health",2.94,4.05,3.46,4.18,2.56,1.18,4.62,2.53,4.35,3.594028571428572,2.1357142857142857,2.071085714285714,1.8571428571428568,2.2270714285714286,2.0986857142857143,2.394057142857143,2.06,1.991742857142857,3.732871428571429,1.8914285714285717,1.8571428571428568
19-2041.01,Climate Change Policy Analysts,2.22,4.13,3.65,3.13,1.96,1.09,4.59,2.74,4.48,3.4214285714285717,1.9842857142857144,1.6578,1.8571428571428568,1.8967,1.941357142857143,1.9751285714285716,2.096342857142857,2.0385,3.765085714285714,1.8914285714285717,2.096342857142857
19-2041.02,Environmental Restoration Planners,2.86,4.18,3.68,3.55,2.32,1.23,4.64,2.59,4.67,3.4059,1.8057142857142856,2.4261142857142857,1.9449142857142856,2.167828571428571,2.297142857142857,2.824428571428572,2.0608,2.661785714285714,3.5688571428571425,1.9842857142857144,1.8914285714285717
19-2041.03,Industrial Ecologists,2.39,3.57,3.09,2.65,2.0,1.17,4.38,2.78,3.91,2.8357142857142854,2.0342857142857143,1.6427428571428573,1.6063428571428573,1.881571428571429,2.363714285714286,1.6925285714285716,1.9842857142857144,2.0520571428571426,2.9572142857142856,1.7200000000000002,1.8914285714285717
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",2.38,3.75,3.22,2.91,2.25,1.28,4.53,2.91,4.0,3.5182857142857142,1.8571428571428568,2.025142857142857,1.6063428571428573,2.372142857142857,3.1229714285714287,1.9179285714285716,1.8914285714285717,2.110642857142857,3.211428571428572,1.5785714285714287,1.7734857142857143
19-2043.00,Hydrologists,2.22,3.91,3.22,3.04,1.83,1.27,4.55,2.39,4.22,3.2414285714285715,1.8914285714285717,1.8832,1.8057142857142856,2.3585000000000003,2.4301,1.862242857142857,1.8571428571428568,2.2583571428571427,3.063285714285714,1.7734857142857143,1.9285714285714288
19-2099.01,Remote Sensing Scientists and Technologists,2.04,3.64,3.21,2.84,1.92,1.04,4.21,2.56,4.25,3.3005142857142857,1.9657142857142855,1.503085714285714,1.5614285714285714,2.2096,2.703314285714286,1.6948571428571428,1.8057142857142856,2.3037714285714284,2.8029714285714284,1.7734857142857143,1.6665142857142858
19-3011.00,Economists,2.25,3.5,3.21,2.79,1.83,1.12,4.43,3.04,3.78,3.659228571428572,2.0028571428571427,1.6328285714285715,1.4464285714285716,2.5048571428571424,2.9571428571428573,1.9028571428571428,1.8571428571428568,1.9292571428571428,3.7714857142857134,1.8571428571428568,2.0
19-3011.01,Environmental Economists,2.04,2.85,2.58,2.44,1.74,1.07,4.08,2.93,3.22,3.109157142857143,2.125,1.4255,1.5892857142857142,1.8755571428571427,3.192228571428571,1.263185714285714,1.8914285714285717,1.4463142857142857,2.95,1.7200000000000002,1.9285714285714288
19-3022.00,Survey Researchers,2.32,3.92,3.81,4.0,2.44,1.08,4.38,2.35,4.46,3.366742857142857,1.8914285714285717,1.7392,1.7385714285714284,2.4586,2.559057142857143,1.8946571428571424,2.023657142857143,2.4190000000000005,3.537857142857143,1.9449142857142856,1.8571428571428568
19-3032.00,Industrial-Organizational Psychologists,2.73,4.23,4.12,3.23,2.35,1.12,4.76,3.08,4.5,4.054514285714286,2.4522285714285714,1.3328000000000002,2.044642857142857,3.646514285714286,3.537028571428572,2.673142857142857,2.6950857142857143,2.860457142857143,3.271314285714286,2.19,2.524285714285714
19-3033.00,Clinical and Counseling Psychologists,3.28,4.52,2.56,3.44,3.48,2.28,4.8,2.44,3.08,2.807142857142857,2.205357142857143,2.308114285714286,1.9449142857142856,2.7586142857142857,2.8144,3.0690285714285714,3.414285714285714,1.96,2.258971428571429,2.524285714285714,2.3392857142857144
19-3034.00,School Psychologists,2.87,4.38,3.46,3.65,2.88,2.38,4.84,2.22,4.57,3.315785714285714,2.125,1.2634857142857143,2.1492,2.0013428571428573,2.078342857142857,2.09,3.142857142857143,2.145,2.6008571428571425,2.524285714285714,2.25
19-3039.02,Neuropsychologists,2.76,3.92,2.6,3.44,2.84,2.04,4.48,2.28,3.2,2.818514285714285,2.3192,2.4105142857142856,1.822857142857143,2.235657142857143,3.020571428571429,2.020342857142857,3.1750857142857143,1.6640285714285716,3.136685714285714,2.4971428571428573,2.125
19-3039.03,Clinical Neuropsychologists,2.54,4.29,2.75,4.21,2.92,2.04,4.91,2.33,3.65,3.4863000000000004,2.3192,2.5603571428571428,2.0,2.5695428571428574,3.5588285714285712,2.0612000000000004,3.1750857142857143,1.8121142857142856,3.359385714285714,2.571428571428571,2.3192
19-3041.00,Sociologists,2.89,3.65,3.16,2.65,2.74,1.65,4.5,3.75,3.42,3.2335714285714285,2.4035714285714285,2.2358571428571423,1.7200000000000002,2.4625000000000004,3.6399999999999992,1.981857142857143,2.8020571428571426,1.9117857142857144,3.278571428571428,1.8571428571428568,1.8057142857142856
19-3051.00,Urban and Regional Planners,3.17,4.04,3.83,4.28,3.0,1.46,4.88,3.28,4.44,3.7243428571428576,1.822857142857143,3.2957714285714284,2.1492,2.248,2.0416,3.6660571428571433,2.4035714285714285,3.037857142857143,4.065142857142857,1.9642857142857144,2.1357142857142857
19-3091.00,Anthropologists and Archeologists,2.55,4.0,3.05,3.15,2.53,1.5,4.29,3.5,3.44,3.1132142857142857,2.1635714285714283,2.357142857142857,1.6364285714285711,2.661785714285714,3.507142857142857,2.235,2.023657142857143,2.017857142857143,3.4442857142857144,1.595,1.8057142857142856
19-3092.00,Geographers,2.4,3.4,3.05,3.1,2.2,1.15,4.3,3.0,3.75,3.322857142857143,2.06,2.482,1.6875,1.9642857142857144,2.730114285714286,1.837857142857143,1.8571428571428568,1.7965000000000002,2.6075714285714287,1.822857142857143,1.6364285714285711
19-3093.00,Historians,2.95,4.04,3.77,4.2,2.63,1.16,4.39,2.64,4.4,2.673357142857143,1.9842857142857144,1.8652,1.51,1.3828,1.5244,1.6711714285714283,1.9449142857142856,1.6251142857142855,3.028342857142857,1.4435714285714285,1.7200000000000002
19-3094.00,Political Scientists,2.5,3.92,2.83,2.62,2.72,1.19,4.5,4.19,3.08,3.4157714285714285,2.25,1.6921428571428572,1.75,2.517942857142857,3.9082857142857135,1.7671428571428571,2.4732142857142856,1.6512,3.2230000000000003,1.822857142857143,1.8057142857142856
19-3099.01,Transportation Planners,2.75,3.95,3.75,3.8,2.32,1.22,4.78,2.75,4.5,3.367857142857143,1.7734857142857143,2.371428571428571,1.8571428571428568,2.608357142857143,2.314285714285714,2.935,1.8571428571428568,2.7875,3.632142857142856,1.8571428571428568,1.9657142857142855
19-4012.00,Agricultural Technicians,2.55,3.95,3.8,2.86,2.26,1.08,4.6,1.81,3.83,2.488,1.8571428571428568,1.5032,1.51,1.4042285714285714,1.6994285714285713,1.5128999999999997,1.7734857142857143,1.3424285714285715,1.7942857142857145,1.6364285714285711,1.5357142857142858
19-4012.01,Precision Agriculture Technicians,2.7,4.35,3.35,4.09,2.39,1.22,4.48,2.43,4.14,2.7835,1.7200000000000002,2.0659,1.6063428571428573,2.2049714285714286,2.352057142857143,2.0121571428571428,1.75,1.9703,2.8732571428571427,1.78,1.75
19-4013.00,Food Science Technicians,2.46,4.56,3.65,1.79,2.02,1.0,4.93,2.0,4.58,2.9154,1.8571428571428568,1.2756,1.2857142857142856,2.4472,2.8244285714285717,1.8558714285714288,1.7734857142857143,1.8712857142857144,1.4554,1.3785714285714286,1.25
19-4021.00,Biological Technicians,1.92,4.15,3.09,1.91,1.58,1.09,4.82,2.3,3.94,2.664542857142857,1.4928571428571429,1.5635,1.1734857142857142,1.2392,1.923142857142857,1.2793857142857143,1.6875,1.3002571428571428,1.5282142857142855,1.3785714285714286,1.302857142857143
19-4031.00,Chemical Technicians,2.46,3.9,3.65,2.64,2.71,1.29,4.99,1.86,4.57,3.052,1.8914285714285717,1.1071857142857142,1.6063428571428573,1.5259428571428573,2.167714285714286,1.296957142857143,1.7734857142857143,1.557514285714286,1.5051428571428571,1.6875,1.5207142857142857
19-4042.00,"Environmental Science and Protection Technicians, Including Health",3.0,3.91,3.27,3.82,2.64,1.41,4.36,2.45,3.82,2.9175000000000004,1.837942857142857,2.2627714285714284,1.7200000000000002,2.1714285714285717,2.1403142857142856,2.235785714285714,1.8914285714285717,1.999,2.4823000000000004,1.8571428571428568,1.8057142857142856
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",2.41,3.59,3.2,2.73,2.3,1.4,4.49,1.8,4.0,2.600071428571429,1.6063428571428573,1.2185,1.4691999999999998,1.632,1.5668571428571427,1.2729142857142857,1.7036571428571428,1.3733142857142857,1.7425142857142857,1.5357142857142858,1.6942857142857144
19-4051.00,Nuclear Technicians,3.22,4.33,4.03,1.74,2.62,1.22,5.0,2.56,4.83,3.31,1.8914285714285717,1.1368,1.6063428571428573,1.9741,2.5483571428571428,1.3834285714285717,1.9285714285714288,1.6214285714285717,1.585714285714286,1.6875,1.7734857142857143
19-4051.02,Nuclear Monitoring Technicians,3.05,4.4,4.14,2.76,2.8,1.27,4.98,2.87,4.61,3.363314285714285,1.9642857142857144,1.1956285714285717,1.6875,2.2214285714285715,1.987457142857143,1.7280285714285717,1.822857142857143,1.9446571428571429,1.7488,1.7385714285714284,1.7385714285714284
19-4061.00,Social Science Research Assistants,1.82,3.67,3.08,2.66,1.93,1.14,4.28,1.85,4.15,3.3060571428571426,1.6665142857142858,1.6422,1.4691999999999998,1.6216,2.0863,1.468,1.7734857142857143,1.5828571428571427,2.3959,1.4928571428571429,1.5357142857142858
19-4071.00,Forest and Conservation Technicians,3.04,4.41,3.91,3.83,3.09,1.54,4.98,2.76,4.87,3.096742857142857,1.9085714285714288,2.325,1.4249999999999998,2.4115714285714285,2.486928571428571,2.6247142857142856,1.9449142857142856,2.4763,2.7081142857142857,1.822857142857143,1.837942857142857
19-4092.00,Forensic Science Technicians,3.14,4.2,3.78,4.33,3.17,2.62,4.79,3.2,4.11,2.9890000000000003,1.845,2.662857142857143,1.4435714285714285,2.005428571428572,1.878542857142857,1.573257142857143,2.044642857142857,1.697142857142857,2.8392,1.8571428571428568,1.6875
19-4099.01,Quality Control Analysts,2.68,3.98,3.0,2.16,2.52,1.32,4.48,2.1,3.72,2.465714285714286,1.6942857142857144,1.0092857142857143,1.5165142857142857,1.4435714285714285,1.9339428571428567,1.3364571428571428,1.8571428571428568,1.206357142857143,1.0904,1.7200000000000002,1.4464285714285716
19-4099.03,Remote Sensing Technicians,2.8,4.04,3.34,2.56,2.22,1.0,4.51,1.24,4.14,2.9694285714285718,1.7521428571428572,1.2517428571428573,1.5357142857142858,1.7239428571428572,2.1432571428571427,1.6700714285714289,1.7385714285714284,1.7032142857142856,2.5722142857142853,1.5614285714285714,1.6171428571428572
19-5011.00,Occupational Health and Safety Specialists,3.04,4.26,3.87,3.13,2.7,1.65,4.59,2.91,4.17,3.323,2.086428571428572,1.6807999999999998,1.7734857142857143,2.839714285714286,3.1206,2.696,2.4732142857142856,2.527428571428572,2.9874285714285715,1.8571428571428568,2.096342857142857
19-5012.00,Occupational Health and Safety Technicians,3.05,4.43,3.7,3.62,2.7,1.52,4.63,3.0,4.35,3.7948,1.8571428571428568,1.6230714285714285,1.9085714285714288,2.6768,3.2032,2.8739285714285714,1.9449142857142856,2.6056857142857144,2.6448,1.8571428571428568,1.9449142857142856
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,3.6,4.93,3.92,4.1,3.94,3.4,4.81,3.47,4.68,2.571142857142857,2.105,2.8020571428571426,2.044642857142857,2.5048000000000004,2.2912428571428576,3.2218,3.2285714285714286,2.5562857142857145,2.950171428571429,2.645714285714285,2.5428571428571427
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.11,4.87,4.6,4.09,3.76,2.03,4.98,2.69,4.85,3.775,2.354914285714286,2.837214285714286,2.0608,2.564985714285714,2.2800571428571432,2.616914285714286,3.1750857142857143,2.0520571428571426,3.096371428571429,2.7142857142857144,2.4035714285714285
21-1013.00,Marriage and Family Therapists,3.65,4.66,3.04,3.68,3.75,2.72,4.96,1.71,3.55,3.214771428571429,2.2928571428571427,2.424314285714286,2.4035714285714285,2.678857142857143,1.8354142857142857,3.182771428571429,3.7764285714285712,1.5905714285714283,2.6840714285714284,2.821428571428571,2.4035714285714285
21-1014.00,Mental Health Counselors,3.79,4.79,2.82,3.82,3.64,2.64,4.88,2.46,3.11,3.1800571428571427,1.8914285714285717,3.335028571428571,2.071428571428571,3.172857142857143,2.4256,3.154057142857143,4.285714285714286,1.5175,3.0085714285714285,2.645714285714285,2.4522285714285714
21-1015.00,Rehabilitation Counselors,3.2,4.56,3.93,4.24,3.23,2.18,4.79,2.52,4.37,3.465,1.9085714285714288,2.3345714285714285,1.8914285714285717,2.525614285714286,2.3405714285714287,2.5871,3.091428571428572,2.1819571428571427,3.0916,2.7142857142857144,2.1357142857142857
21-1021.00,"Child, Family, and School Social Workers",4.53,4.95,3.97,4.27,4.48,3.32,4.95,2.87,4.77,3.6005714285714285,1.9842857142857144,3.5063714285714287,2.571428571428571,2.5872571428571427,2.4454857142857147,3.2441714285714283,3.0592,2.618328571428572,3.2669714285714284,2.765714285714286,2.524285714285714
21-1022.00,Healthcare Social Workers,3.93,4.81,3.74,4.04,3.89,2.56,4.96,2.48,4.73,3.4030857142857145,1.8571428571428568,3.010742857142857,1.9842857142857144,2.575542857142857,2.5624,3.369,3.377142857142857,2.3024,3.2345714285714284,2.9522285714285714,2.205357142857143
