O*NET-SOC Code,Title,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Health and Safety of Other Workers,Impact of Decisions on Co-workers or Company Results,Importance of Being Exact or Accurate,Evaluating Information to Determine Compliance with Standards Combined,Judgment and Decision Making Combined
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",3.02,4.17,3.32,3.09,3.5,4.51,1.8702571428571428,1.9085714285714288
19-4051.00,Nuclear Technicians,4.19,3.15,4.27,4.28,4.07,4.78,2.898142857142857,2.044642857142857
19-4051.02,Nuclear Monitoring Technicians,3.72,3.67,3.9,4.53,3.7,4.59,3.2466000000000004,2.1492
19-4061.00,Social Science Research Assistants,1.92,3.89,2.29,1.84,2.96,3.99,1.5390857142857144,1.9449142857142856
19-4071.00,Forest and Conservation Technicians,3.56,4.14,4.21,4.11,4.23,3.98,2.619485714285714,2.086428571428572
19-4092.00,Forensic Science Technicians,3.81,3.89,4.7,3.25,4.51,4.67,2.748571428571428,2.1635714285714283
19-4099.01,Quality Control Analysts,3.63,4.05,3.49,3.34,3.63,4.85,2.6025714285714283,1.8914285714285717
19-4099.03,Remote Sensing Technicians,2.22,4.07,3.01,1.83,3.3,4.63,2.5947285714285715,2.2308
19-5011.00,Occupational Health and Safety Specialists,3.35,4.04,3.77,4.3,4.22,4.04,3.4210857142857147,2.4732142857142856
19-5012.00,Occupational Health and Safety Technicians,3.95,4.19,3.9,4.24,4.16,3.9,3.52,2.044642857142857
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,3.03,3.63,2.54,4.05,2.83,3.78,3.211457142857143,2.596342857142857
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.96,4.01,3.92,2.8,4.16,3.99,3.2821857142857143,2.4522285714285714
21-1013.00,Marriage and Family Therapists,2.43,4.4,4.6,2.38,3.98,3.22,2.7752857142857144,2.821428571428571
21-1014.00,Mental Health Counselors,3.46,4.64,4.07,2.79,4.07,3.46,3.2633714285714284,2.7142857142857144
21-1015.00,Rehabilitation Counselors,2.42,4.09,4.25,3.43,3.93,3.9,2.643,2.2308
21-1021.00,"Child, Family, and School Social Workers",3.64,4.44,4.17,2.73,3.98,4.26,2.879514285714285,2.7142857142857144
21-1022.00,Healthcare Social Workers,2.7,4.3,3.89,3.22,3.89,2.89,2.1575714285714285,2.4522285714285714
21-1023.00,Mental Health and Substance Abuse Social Workers,2.86,4.34,3.59,2.93,3.52,3.67,2.935,2.3857142857142857
21-1091.00,Health Education Specialists,2.46,4.42,3.82,3.55,4.07,3.79,2.694471428571428,2.0028571428571427
21-1092.00,Probation Officers and Correctional Treatment Specialists,3.56,4.16,4.0,3.87,4.21,4.37,3.4504714285714284,2.4035714285714285
21-1093.00,Social and Human Service Assistants,2.71,3.94,3.74,3.84,3.72,4.08,2.1201142857142856,2.044642857142857
21-1094.00,Community Health Workers,2.44,3.97,3.86,3.41,3.84,3.93,2.6414,2.1492
21-2011.00,Clergy,2.74,4.51,3.87,3.2,4.11,3.53,1.894342857142857,2.645714285714285
21-2021.00,"Directors, Religious Activities and Education",1.44,4.72,3.4,2.67,3.14,2.32,2.301614285714286,2.1677714285714287
23-1011.00,Lawyers,3.81,4.67,4.21,2.38,4.48,4.4,3.868171428571429,2.9522285714285714
23-1012.00,Judicial Law Clerks,2.72,3.67,3.96,1.26,4.56,4.85,2.7706,2.1635714285714283
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",2.47,4.53,4.85,1.63,4.47,4.52,3.5676,3.1750857142857143
23-1022.00,"Arbitrators, Mediators, and Conciliators",2.4,4.75,3.7,2.05,4.3,4.65,3.608214285714285,2.4035714285714285
23-1023.00,"Judges, Magistrate Judges, and Magistrates",3.65,4.99,4.61,2.66,4.89,4.75,4.093814285714286,3.205357142857143
23-2011.00,Paralegals and Legal Assistants,2.92,4.12,3.92,1.87,3.89,4.79,2.2932,1.8571428571428568
23-2093.00,"Title Examiners, Abstractors, and Searchers",3.46,4.64,4.39,2.26,4.33,5.0,2.924628571428572,1.6875
25-1011.00,"Business Teachers, Postsecondary",1.82,4.74,3.65,2.32,3.49,3.25,2.0170000000000003,2.36
25-1021.00,"Computer Science Teachers, Postsecondary",1.64,4.7,3.62,2.3,3.65,3.89,2.2800571428571432,2.596342857142857
25-1022.00,"Mathematical Science Teachers, Postsecondary",1.44,4.34,3.47,1.72,3.07,3.95,1.416,2.086428571428572
25-1031.00,"Architecture Teachers, Postsecondary",1.9,4.67,2.99,2.41,3.23,3.66,2.138242857142857,2.6950857142857143
25-1032.00,"Engineering Teachers, Postsecondary",2.53,4.58,3.19,2.86,3.36,3.53,2.0141714285714283,2.571428571428571
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",2.41,4.7,3.39,2.97,3.86,4.16,2.358657142857143,2.571428571428571
25-1042.00,"Biological Science Teachers, Postsecondary",2.37,4.95,4.07,3.72,3.78,4.22,2.4493285714285715,2.6185714285714288
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",2.54,4.77,3.51,3.77,3.89,3.7,1.8243857142857145,2.125
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2.31,4.86,3.25,3.08,3.64,3.84,1.6837999999999995,2.4285714285714284
25-1052.00,"Chemistry Teachers, Postsecondary",2.94,4.71,3.27,4.13,3.75,4.39,1.8556857142857144,2.4035714285714285
25-1053.00,"Environmental Science Teachers, Postsecondary",2.57,4.52,3.29,3.33,3.22,4.11,2.0585,2.2471428571428573
25-1054.00,"Physics Teachers, Postsecondary",2.28,4.76,3.46,2.59,3.46,3.55,1.923928571428572,2.524285714285714
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",1.91,4.55,2.64,2.9,3.09,3.55,1.8431285714285717,2.571428571428571
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2.32,4.65,3.68,2.4,3.49,3.55,1.7843142857142855,2.1635714285714283
25-1063.00,"Economics Teachers, Postsecondary",1.98,4.73,3.18,1.78,3.29,3.87,1.5682857142857145,2.3192
25-1064.00,"Geography Teachers, Postsecondary",1.91,4.93,2.93,2.24,2.97,4.0,1.7035428571428572,2.205357142857143
25-1065.00,"Political Science Teachers, Postsecondary",1.52,4.75,4.16,1.96,3.49,3.78,1.6528,2.205357142857143
25-1066.00,"Psychology Teachers, Postsecondary",1.98,4.89,3.36,2.22,3.68,3.61,2.5996,2.6185714285714288
25-1067.00,"Sociology Teachers, Postsecondary",2.06,4.83,3.55,2.15,3.38,3.76,1.9715,2.2857142857142856
25-1071.00,"Health Specialties Teachers, Postsecondary",2.89,4.83,3.88,3.35,3.97,3.84,2.3730571428571428,2.596342857142857
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",3.63,4.15,4.05,3.93,4.24,4.68,3.277257142857143,2.596342857142857
25-1081.00,"Education Teachers, Postsecondary",2.55,4.86,4.02,2.52,3.98,4.3,2.415314285714285,2.211428571428572
25-1082.00,"Library Science Teachers, Postsecondary",1.92,4.86,3.53,2.15,3.6,3.6,2.1392,2.205357142857143
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2.14,4.64,4.07,2.8,4.12,3.71,2.0512,2.354914285714286
25-1112.00,"Law Teachers, Postsecondary",2.52,4.75,3.7,1.99,3.87,4.12,2.468142857142857,2.6950857142857143
25-1113.00,"Social Work Teachers, Postsecondary",2.57,4.73,3.13,2.38,3.25,3.37,2.5158,2.4971428571428573
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",1.77,4.53,3.23,2.77,3.21,3.47,1.610442857142857,2.1635714285714283
25-1122.00,"Communications Teachers, Postsecondary",2.52,4.85,3.95,2.76,3.29,3.55,2.2482285714285712,2.3857142857142857
25-1123.00,"English Language and Literature Teachers, Postsecondary",1.61,4.59,3.21,1.75,3.23,3.7,1.6026571428571428,2.275
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",1.78,4.28,3.67,1.52,3.05,3.27,1.3869142857142858,2.3392857142857144
25-1125.00,"History Teachers, Postsecondary",2.0,4.91,3.85,1.64,3.59,4.27,1.621714285714286,2.4035714285714285
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",2.41,4.62,3.79,1.79,3.76,4.23,2.0465714285714283,2.2308
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",1.95,4.45,4.28,2.93,3.94,3.88,2.3445142857142858,2.096342857142857
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",2.92,4.62,3.76,3.05,4.11,3.63,2.440642857142857,2.524285714285714
25-1194.00,"Career/Technical Education Teachers, Postsecondary",2.48,4.38,3.56,3.18,3.44,4.07,2.6056857142857144,1.9642857142857144
25-2011.00,"Preschool Teachers, Except Special Education",3.08,3.55,3.54,3.04,3.63,3.35,1.8325,1.9085714285714288
25-2012.00,"Kindergarten Teachers, Except Special Education",2.15,4.14,4.14,2.95,3.9,3.39,2.307785714285714,2.1142857142857143
25-2021.00,"Elementary School Teachers, Except Special Education",1.86,3.99,3.97,3.82,3.96,3.36,1.7824857142857145,2.422142857142857
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",1.85,4.38,4.15,3.22,3.36,3.39,2.569257142857143,2.1228571428571428
25-2023.00,"Career/Technical Education Teachers, Middle School",2.78,4.4,4.52,3.2,3.67,3.73,2.4297714285714287,2.02
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",2.22,4.25,3.57,3.29,3.49,3.14,2.3838,2.4732142857142856
25-2032.00,"Career/Technical Education Teachers, Secondary School",2.86,4.07,4.36,3.77,3.88,3.62,2.6918285714285712,2.225714285714286
25-2051.00,"Special Education Teachers, Preschool",2.39,4.09,4.32,3.29,3.59,3.14,2.4233714285714285,2.1492
25-2056.00,"Special Education Teachers, Elementary School",2.76,3.62,2.64,3.31,3.14,3.16,2.758,2.216428571428572
25-2057.00,"Special Education Teachers, Middle School",2.62,3.86,3.5,3.76,3.1,3.61,1.9,2.1677714285714287
25-2058.00,"Special Education Teachers, Secondary School",2.75,4.54,4.12,3.3,4.17,3.81,2.6968428571428573,2.4035714285714285
25-2059.01,Adapted Physical Education Specialists,2.4,4.55,3.47,3.81,3.19,2.84,2.3716,2.596342857142857
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1.97,4.24,3.66,2.83,3.63,3.88,1.8824285714285716,2.02
25-3021.00,Self-Enrichment Teachers,1.84,4.79,3.42,2.76,3.65,3.56,1.5019857142857145,1.8571428571428568
25-3031.00,"Substitute Teachers, Short-Term",1.33,4.26,3.34,3.63,2.83,3.32,1.6749142857142858,1.6875
25-3041.00,Tutors,1.38,4.27,3.14,2.24,2.59,3.52,1.4827142857142857,2.044642857142857
25-4011.00,Archivists,2.72,4.03,2.86,2.26,3.23,3.97,2.502614285714285,1.9842857142857144
25-4012.00,Curators,2.28,4.48,3.61,2.89,3.81,4.08,2.1649857142857143,2.3857142857142857
25-4013.00,Museum Technicians and Conservators,2.97,4.6,3.37,3.08,3.72,4.31,1.6265999999999998,1.9449142857142856
25-4022.00,Librarians and Media Collections Specialists,2.04,4.27,3.48,2.56,3.19,3.67,1.8655428571428567,1.9085714285714288
25-4031.00,Library Technicians,2.03,4.16,3.79,2.36,3.41,3.94,1.6700714285714289,1.6714285714285717
25-9021.00,Farm and Home Management Educators,2.19,4.74,3.44,2.96,3.26,3.41,2.0418142857142856,2.645714285714285
25-9031.00,Instructional Coordinators,1.71,4.02,3.35,2.43,3.57,3.26,2.807157142857143,2.6185714285714288
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2.69,3.39,4.24,3.77,4.27,3.05,2.5042857142857144,1.7200000000000002
25-9043.00,"Teaching Assistants, Special Education",2.82,3.31,3.89,3.1,3.58,3.26,2.0292285714285714,1.6714285714285717
25-9044.00,"Teaching Assistants, Postsecondary",2.38,4.03,2.88,2.32,2.95,3.68,1.862857142857143,1.8571428571428568
27-1011.00,Art Directors,1.92,4.17,3.66,1.89,3.33,4.04,1.7225,2.524285714285714
27-1012.00,Craft Artists,1.78,4.36,2.41,2.22,2.39,3.78,1.4281428571428572,1.8057142857142856
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",2.27,4.82,3.55,1.63,2.99,4.13,1.1396428571428572,1.8571428571428568
27-1014.00,Special Effects Artists and Animators,3.13,4.27,4.32,2.27,3.67,4.42,2.2722285714285717,1.9449142857142856
27-1021.00,Commercial and Industrial Designers,2.92,3.71,4.08,2.98,4.28,4.4,2.3505714285714285,2.205357142857143
27-1022.00,Fashion Designers,1.85,3.59,2.72,3.19,3.41,3.65,1.4739428571428572,2.422142857142857
27-1023.00,Floral Designers,2.23,4.23,3.37,3.83,2.88,3.1,1.1068571428571428,1.8328571428571427
27-1024.00,Graphic Designers,2.0,4.1,3.26,1.75,3.25,4.39,1.842857142857143,1.9085714285714288
27-1025.00,Interior Designers,2.29,3.88,3.75,2.96,3.44,4.16,3.0548,2.1607142857142856
27-1026.00,Merchandise Displayers and Window Trimmers,1.85,4.12,3.98,2.58,3.18,3.23,1.9955428571428573,1.9085714285714288
27-1027.00,Set and Exhibit Designers,2.33,4.24,3.0,2.62,3.48,3.95,1.5165142857142857,2.0608
27-2011.00,Actors,1.97,3.45,3.62,2.93,3.29,4.17,1.0636,1.8057142857142856
27-2012.00,Producers and Directors,2.65,4.33,4.66,2.55,4.5,4.14,2.1369571428571428,2.2928571428571427
27-2012.03,Media Programming Directors,3.05,4.03,4.25,2.05,4.2,4.46,2.542642857142857,2.8363428571428573
27-2012.04,Talent Directors,2.05,4.23,3.79,3.33,4.45,3.25,1.1830571428571428,2.44
27-2012.05,Media Technical Directors/Managers,2.96,4.31,4.68,2.87,4.31,4.8,2.257142857142857,2.354914285714286
27-2021.00,Athletes and Sports Competitors,2.51,4.14,3.67,3.54,4.21,3.76,2.2765142857142857,1.9257142857142855
27-2022.00,Coaches and Scouts,2.65,4.03,4.09,3.42,3.25,3.62,1.9107857142857143,2.765714285714286
27-2023.00,"Umpires, Referees, and Other Sports Officials",2.19,4.52,3.29,2.62,3.33,3.95,2.478428571428571,1.9642857142857144
27-2031.00,Dancers,2.56,3.45,3.38,2.82,3.71,4.01,1.2071428571428573,1.5207142857142857
27-2032.00,Choreographers,1.9,4.05,2.95,3.95,3.0,3.71,1.2239285714285717,1.9642857142857144
27-2041.00,Music Directors and Composers,2.06,4.7,3.64,2.38,3.81,4.47,1.369,2.1142857142857143
27-2042.00,Musicians and Singers,2.36,3.2,3.07,1.46,2.94,4.6,1.648,1.6364285714285711
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,3.36,4.17,4.46,2.12,4.25,4.11,2.52,1.8571428571428568
27-3023.00,"News Analysts, Reporters, and Journalists",2.62,4.56,4.36,2.02,4.0,4.54,2.0028571428571427,1.9642857142857144
27-3031.00,Public Relations Specialists,2.86,3.81,4.1,2.09,4.05,4.18,1.7914285714285714,2.4285714285714284
27-3041.00,Editors,2.43,4.07,4.33,1.96,4.15,4.44,1.8915571428571427,2.023657142857143
27-3042.00,Technical Writers,2.37,4.4,3.58,1.73,3.43,4.55,2.321485714285714,1.9085714285714288
27-3043.00,Writers and Authors,1.85,3.56,4.54,1.33,4.38,4.18,1.1889285714285711,1.9642857142857144
27-3043.05,"Poets, Lyricists and Creative Writers",1.57,4.64,1.86,1.32,2.27,3.64,1.4209142857142858,2.044642857142857
27-3091.00,Interpreters and Translators,3.56,4.06,4.52,1.91,4.14,4.9,2.579414285714286,1.9085714285714288
27-3092.00,Court Reporters and Simultaneous Captioners,2.29,4.2,3.42,1.87,3.31,4.96,1.3224285714285715,1.2857142857142856
27-4011.00,Audio and Video Technicians,2.25,4.45,3.62,3.09,3.96,4.57,2.2025,1.822857142857143
27-4012.00,Broadcast Technicians,3.17,3.84,3.92,2.65,4.15,4.15,2.3520000000000003,1.9449142857142856
27-4014.00,Sound Engineering Technicians,2.62,4.24,3.29,2.4,3.56,4.6,1.8064,1.9642857142857144
27-4021.00,Photographers,2.27,4.14,3.5,2.91,3.27,3.82,1.660685714285714,1.9085714285714288
27-4031.00,"Camera Operators, Television, Video, and Film",3.44,3.45,3.34,2.81,3.58,4.37,1.560042857142857,2.0028571428571427
27-4032.00,Film and Video Editors,2.57,4.06,2.74,1.67,2.78,4.43,2.3514285714285714,1.9449142857142856
29-1011.00,Chiropractors,3.66,4.96,4.55,3.5,4.58,4.73,2.720285714285714,2.2928571428571427
29-1021.00,"Dentists, General",4.21,4.67,4.89,4.6,4.84,4.81,3.513442857142857,2.8363428571428573
29-1022.00,Oral and Maxillofacial Surgeons,4.1,4.93,4.8,4.85,4.94,4.83,2.8831857142857142,2.8363428571428573
29-1023.00,Orthodontists,2.71,4.81,4.62,4.71,4.65,4.83,2.3564857142857143,2.524285714285714
29-1024.00,Prosthodontists,3.72,4.95,4.55,4.82,4.56,4.95,3.019742857142857,2.1492
29-1031.00,Dietitians and Nutritionists,2.34,4.55,3.31,3.3,3.03,4.0,2.52,2.7142857142857144
29-1041.00,Optometrists,3.2,4.71,4.55,3.85,4.33,4.76,2.914,2.3192
29-1051.00,Pharmacists,4.83,4.59,4.78,3.7,4.7,4.99,2.9872571428571435,2.524285714285714
29-1071.00,Physician Assistants,4.46,4.73,4.59,3.89,4.7,4.81,3.0196,2.765714285714286
29-1071.01,Anesthesiologist Assistants,3.86,4.14,3.53,4.41,3.52,4.83,2.837714285714286,2.354914285714286
29-1081.00,Podiatrists,3.68,5.0,4.73,4.22,4.68,4.77,2.5048000000000004,2.645714285714285
29-1122.00,Occupational Therapists,2.86,4.41,4.36,3.86,4.14,3.55,2.7691142857142856,2.662857142857143
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3.04,4.73,3.65,2.87,3.57,3.3,2.1414857142857144,2.1492
29-1123.00,Physical Therapists,3.75,4.75,4.59,4.12,4.51,3.69,2.815714285714285,2.524285714285714
29-1124.00,Radiation Therapists,4.53,4.14,4.17,3.83,4.3,4.86,2.9217142857142857,1.837942857142857
29-1125.00,Recreational Therapists,2.47,4.26,3.21,3.87,3.16,3.05,2.273628571428572,1.9449142857142856
29-1126.00,Respiratory Therapists,4.52,3.89,4.66,3.79,4.4,4.64,2.9596428571428577,2.19
29-1127.00,Speech-Language Pathologists,3.18,4.61,4.25,2.98,4.01,3.95,3.117142857142857,2.524285714285714
29-1128.00,Exercise Physiologists,2.86,4.25,3.55,3.36,3.36,3.86,2.1568,2.524285714285714
29-1129.01,Art Therapists,3.0,4.42,3.68,3.06,3.52,3.06,2.6878571428571423,2.596342857142857
29-1129.02,Music Therapists,2.12,4.58,3.27,2.65,3.27,2.81,2.156,2.4732142857142856
29-1131.00,Veterinarians,4.09,4.76,4.78,4.2,4.55,4.55,2.1195142857142857,2.6950857142857143
29-1141.00,Registered Nurses,3.94,4.1,4.06,4.19,4.29,4.45,3.0608714285714287,2.5428571428571427
29-1141.01,Acute Care Nurses,4.5,4.05,4.24,4.05,4.1,4.71,2.5574285714285714,2.662857142857143
29-1141.02,Advanced Practice Psychiatric Nurses,3.52,4.65,3.7,3.57,4.17,4.59,3.134842857142857,2.7142857142857144
29-1141.03,Critical Care Nurses,4.85,3.88,4.62,3.86,4.33,4.82,2.6282428571428573,2.645714285714285
29-1141.04,Clinical Nurse Specialists,3.86,4.48,4.05,3.81,4.25,4.2,3.154428571428572,2.821428571428571
29-1151.00,Nurse Anesthetists,4.77,4.7,4.19,4.48,4.44,4.81,3.498614285714286,2.765714285714286
29-1161.00,Nurse Midwives,4.69,4.67,4.75,4.0,4.52,4.48,3.2230000000000003,2.524285714285714
29-1171.00,Nurse Practitioners,4.39,4.7,4.57,3.91,4.35,4.57,3.2536,2.765714285714286
29-1181.00,Audiologists,2.59,4.59,4.45,3.43,4.14,4.64,3.0522142857142853,2.571428571428571
29-1211.00,Anesthesiologists,4.53,4.73,4.71,4.22,4.73,4.85,3.6781,2.894285714285714
29-1213.00,Dermatologists,4.19,4.99,4.48,4.64,4.3,4.72,1.9815142857142856,2.571428571428571
29-1214.00,Emergency Medicine Physicians,4.93,4.93,4.6,4.28,4.73,4.9,2.4454,3.005714285714286
29-1215.00,Family Medicine Physicians,4.97,4.98,5.0,3.71,4.99,4.76,3.269157142857143,3.0357142857142856
29-1216.00,General Internal Medicine Physicians,4.32,4.84,4.39,4.04,4.18,4.42,2.975828571428571,2.821428571428571
29-1217.00,Neurologists,4.56,4.92,4.78,3.97,4.86,4.98,3.3458,2.928571428571429
29-1218.00,Obstetricians and Gynecologists,3.85,4.82,4.65,3.86,4.8,4.79,2.881342857142857,2.821428571428571
29-1221.00,"Pediatricians, General",3.64,4.85,4.67,3.84,4.65,4.68,2.354342857142857,3.0335714285714284
29-1222.00,"Physicians, Pathologists",4.42,4.61,4.61,2.69,4.76,4.87,3.225142857142857,2.954285714285714
29-1223.00,Psychiatrists,3.9,4.87,4.42,3.0,4.17,3.9,2.621928571428571,2.894285714285714
29-1224.00,Radiologists,3.85,4.49,4.57,3.6,4.33,4.89,3.1201428571428567,2.894285714285714
29-1229.01,Allergists and Immunologists,4.2,4.75,4.42,3.91,4.36,4.61,2.965171428571429,3.005714285714286
29-1229.02,Hospitalists,4.46,4.58,4.88,3.96,4.75,4.56,2.8825142857142856,2.9522285714285714
29-1229.03,Urologists,3.87,4.99,4.36,4.84,4.34,4.7,3.342714285714285,2.9732142857142856
29-1229.04,Physical Medicine and Rehabilitation Physicians,4.24,4.91,4.51,3.87,4.8,4.79,3.085942857142857,2.748571428571428
29-1229.05,Preventive Medicine Physicians,3.61,4.63,4.39,4.21,4.32,4.58,3.389157142857143,3.321428571428572
29-1229.06,Sports Medicine Physicians,4.7,5.0,4.99,3.0,4.83,5.0,2.332171428571429,2.9522285714285714
29-1241.00,"Ophthalmologists, Except Pediatric",4.91,5.0,4.99,3.67,4.94,4.92,2.961142857142857,2.7142857142857144
29-1291.00,Acupuncturists,3.29,4.79,3.86,3.61,3.55,4.0,2.002,2.25
29-1292.00,Dental Hygienists,3.34,3.98,4.35,3.1,4.33,4.39,2.693957142857143,1.8571428571428568
29-1299.01,Naturopathic Physicians,3.67,4.68,4.44,3.48,4.24,4.4,2.2637714285714283,2.821428571428571
29-1299.02,Orthoptists,2.7,4.14,4.04,2.93,3.75,4.57,1.8092,2.3192
29-2011.00,Medical and Clinical Laboratory Technologists,3.98,4.29,4.4,3.59,4.12,4.95,3.772228571428572,1.9842857142857144
29-2011.01,Cytogenetic Technologists,4.24,3.67,4.76,3.52,4.52,4.9,2.4971428571428573,2.1607142857142856
29-2011.02,Cytotechnologists,4.18,4.43,3.86,3.05,4.0,4.68,2.2880000000000003,1.9449142857142856
29-2011.04,Histotechnologists,4.14,3.71,3.81,3.71,3.29,4.52,2.3395,2.02
29-2012.00,Medical and Clinical Laboratory Technicians,3.76,3.88,3.43,3.38,3.56,4.86,3.143885714285714,1.8571428571428568
29-2012.01,Histology Technicians,4.32,3.64,3.32,3.96,3.2,4.92,2.2710857142857144,1.8328571428571427
29-2031.00,Cardiovascular Technologists and Technicians,3.77,3.9,4.32,3.58,4.28,4.68,2.6878,2.044642857142857
29-2032.00,Diagnostic Medical Sonographers,3.5,4.18,4.28,3.2,4.04,4.87,2.585285714285714,1.9449142857142856
29-2033.00,Nuclear Medicine Technologists,4.41,4.45,4.47,3.56,4.24,4.66,2.839642857142857,1.9257142857142855
29-2034.00,Radiologic Technologists and Technicians,3.4,4.01,4.78,4.0,4.32,4.67,2.1186,1.7485714285714289
29-2035.00,Magnetic Resonance Imaging Technologists,4.0,4.3,3.61,4.65,3.65,4.83,2.7871428571428574,1.8571428571428568
29-2036.00,Medical Dosimetrists,4.5,3.9,4.05,3.15,4.15,4.85,2.961071428571429,2.4035714285714285
29-2051.00,Dietetic Technicians,3.0,4.15,3.8,4.54,3.59,4.45,2.6238,1.9085714285714288
29-2052.00,Pharmacy Technicians,4.01,3.28,3.86,3.4,3.99,4.98,2.749285714285714,1.9085714285714288
29-2053.00,Psychiatric Technicians,2.77,3.76,3.48,3.54,2.38,3.54,2.112571428571429,1.8571428571428568
29-2055.00,Surgical Technologists,4.26,3.78,4.66,4.35,4.51,4.87,3.3060571428571426,1.8571428571428568
29-2056.00,Veterinary Technologists and Technicians,3.84,3.6,4.1,3.88,4.13,4.34,2.2201000000000004,1.9449142857142856
29-2057.00,Ophthalmic Medical Technicians,3.14,3.91,4.45,3.68,4.09,4.73,2.0812,1.7734857142857143
29-2061.00,Licensed Practical and Licensed Vocational Nurses,3.42,3.77,4.33,4.24,4.21,4.71,2.5429142857142857,2.216428571428572
29-2081.00,"Opticians, Dispensing",2.21,4.42,4.42,3.29,3.96,4.83,3.4714285714285715,1.822857142857143
29-2091.00,Orthotists and Prosthetists,2.81,4.52,4.62,4.0,3.9,4.19,2.875357142857143,2.1635714285714283
29-2092.00,Hearing Aid Specialists,2.37,4.54,4.69,3.03,4.31,4.19,1.939,1.9449142857142856
29-2099.01,Neurodiagnostic Technologists,3.81,4.17,4.28,3.26,4.0,4.77,2.894285714285714,1.9842857142857144
29-2099.05,Ophthalmic Medical Technologists,3.25,3.9,4.15,3.3,3.95,4.3,2.0371428571428574,1.8914285714285717
29-2099.08,Patient Representatives,2.18,4.31,3.32,2.78,3.49,4.55,3.1423714285714284,2.044642857142857
29-9091.00,Athletic Trainers,3.89,4.43,4.69,4.42,4.29,4.32,2.660285714285714,2.5428571428571427
29-9092.00,Genetic Counselors,3.26,4.04,4.04,2.36,3.74,4.43,2.232557142857143,2.2857142857142856
29-9093.00,Surgical Assistants,4.26,3.51,3.59,3.99,3.49,4.6,3.0747428571428568,1.9449142857142856
29-9099.01,Midwives,4.13,4.54,4.21,3.23,4.55,4.41,2.9564000000000004,2.571428571428571
31-1121.00,Home Health Aides,3.68,3.47,3.71,3.56,3.96,4.3,2.251,1.8571428571428568
31-1122.00,Personal Care Aides,3.74,3.16,4.07,3.76,4.07,3.74,3.0215,1.7036571428571428
31-1131.00,Nursing Assistants,3.4,3.11,3.68,4.38,3.73,4.54,2.204685714285714,1.6714285714285717
31-1132.00,Orderlies,3.85,4.07,4.42,4.51,4.15,4.51,2.2751,1.3749142857142858
31-1133.00,Psychiatric Aides,3.79,3.65,3.46,3.85,3.63,3.72,2.4531714285714283,1.9085714285714288
31-2011.00,Occupational Therapy Assistants,2.72,4.55,4.68,4.49,4.3,4.47,2.4308,1.9085714285714288
31-2012.00,Occupational Therapy Aides,3.2,3.77,3.83,4.39,3.98,3.82,2.319071428571428,1.822857142857143
31-2021.00,Physical Therapist Assistants,3.85,3.91,4.9,3.01,4.61,3.36,2.8124,1.9085714285714288
31-2022.00,Physical Therapist Aides,2.97,3.85,3.68,4.13,3.77,3.39,2.2299285714285717,1.5300000000000002
31-9011.00,Massage Therapists,2.62,4.54,4.32,2.81,3.73,3.04,2.3728857142857143,1.872228571428572
31-9091.00,Dental Assistants,3.0,3.52,3.73,4.47,3.34,4.37,2.589728571428571,1.7036571428571428
31-9092.00,Medical Assistants,4.0,3.22,3.85,3.63,3.5,4.38,3.189314285714286,1.8571428571428568
31-9093.00,Medical Equipment Preparers,3.76,4.03,4.1,4.21,4.09,4.6,4.074,1.7857142857142856
31-9094.00,Medical Transcriptionists,2.61,3.76,3.78,3.92,3.53,4.8,2.551,1.7485714285714289
31-9095.00,Pharmacy Aides,3.74,3.68,3.43,3.47,3.17,4.49,2.1698857142857144,1.6428571428571428
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,3.75,3.46,4.18,3.03,3.97,4.7,1.9656,1.7385714285714284
31-9097.00,Phlebotomists,4.48,3.82,4.14,4.36,4.0,4.81,3.044285714285714,1.7036571428571428
