O*NET-SOC Code,Title,Degree of Automation,"Exposed to Cramped Work Space, Awkward Positions",Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Spend Time Making Repetitive Motions,Time Pressure,Operations Monitoring Combined,Evaluating Information to Determine Compliance with Standards Combined,"Monitoring Processes, Materials, or Surroundings Combined",Controlling Machines and Processes Combined,Monitoring Combined,Monitoring and Controlling Resources Combined
17-2112.03,Manufacturing Engineers,2.56,2.0,2.54,2.19,2.19,3.62,2.596342857142857,2.436914285714286,3.0636,2.274285714285714,2.9008000000000003,1.854657142857143
17-2121.00,Marine Engineers and Naval Architects,1.89,3.28,3.33,1.72,2.61,3.67,2.2928571428571427,3.3782,2.193257142857143,2.0309714285714286,2.275,1.7968
17-2131.00,Materials Engineers,2.28,1.76,2.19,1.86,1.86,3.52,1.8914285714285717,2.6337857142857146,3.5457142857142854,2.2214285714285715,2.1750857142857143,2.192285714285714
17-2141.00,Mechanical Engineers,2.01,1.79,3.05,1.73,2.37,3.51,2.096342857142857,3.1741428571428574,2.737942857142857,1.9099,2.3242857142857147,1.3001714285714283
17-2141.01,Fuel Cell Engineers,2.27,1.55,2.05,1.95,1.73,3.45,2.06,2.128285714285714,3.0224285714285712,2.345371428571429,2.4971428571428573,2.1977857142857142
17-2141.02,Automotive Engineers,2.24,1.85,2.67,1.67,1.71,3.86,1.8057142857142856,3.492742857142857,2.3114285714285714,1.6721,2.1357142857142857,1.8850285714285715
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.79,2.24,3.47,1.69,2.29,3.57,1.9657142857142855,3.319257142857143,2.994757142857143,1.3504,2.7678571428571432,1.9734142857142856
17-2161.00,Nuclear Engineers,1.7,1.81,3.21,1.25,2.24,3.57,2.4971428571428573,4.091,3.305714285714286,1.7614,2.765714285714286,1.999085714285714
17-2171.00,Petroleum Engineers,1.94,1.39,2.87,1.53,2.01,3.67,1.837942857142857,2.449442857142857,2.594385714285714,1.0848,2.524285714285714,2.3384
17-2199.03,"Energy Engineers, Except Wind and Solar",2.05,1.86,2.73,1.27,1.86,3.36,1.6364285714285711,2.728257142857143,2.8361142857142854,1.2301,2.596342857142857,2.167828571428571
17-2199.05,Mechatronics Engineers,1.83,1.39,3.22,1.86,1.72,3.65,2.06,2.4256,2.8690285714285717,1.8724857142857143,2.3192,1.3504
17-2199.06,Microsystems Engineers,1.93,1.96,2.93,1.41,2.47,3.27,2.086428571428572,2.602814285714285,2.699871428571428,2.0752,2.4035714285714285,1.6288571428571428
17-2199.07,Photonics Engineers,2.26,1.87,2.39,1.55,1.87,3.26,1.94,2.483257142857143,2.512528571428572,2.3107285714285712,2.0342857142857143,1.8003999999999998
17-2199.08,Robotics Engineers,2.7,2.0,2.6,2.53,2.0,3.9,2.4035714285714285,2.8327,3.2157142857142857,3.2614428571428578,2.596342857142857,1.9694285714285715
17-2199.09,Nanosystems Engineers,2.33,1.81,2.7,1.95,1.76,3.29,1.8571428571428568,2.130428571428572,3.342714285714285,3.275714285714286,2.4285714285714284,2.1128571428571425
17-2199.10,Wind Energy Engineers,1.8,1.44,2.62,1.23,1.99,3.73,1.6364285714285711,2.6263,2.0890714285714287,1.5792142857142857,2.211428571428572,2.032842857142857
17-2199.11,Solar Energy Systems Engineers,2.0,2.18,2.46,1.29,2.32,3.89,1.75,2.981028571428572,2.680742857142857,1.384342857142857,2.1635714285714283,1.9760285714285717
17-3011.00,Architectural and Civil Drafters,2.48,1.33,3.59,1.28,3.41,4.38,1.394285714285714,3.048914285714286,2.134985714285714,1.0584857142857145,2.0028571428571427,1.1395428571428572
17-3012.00,Electrical and Electronics Drafters,2.49,1.26,3.33,1.69,3.17,4.18,1.3571428571428572,2.757142857142857,1.6549142857142858,1.2453142857142858,1.8571428571428568,1.1326857142857143
17-3013.00,Mechanical Drafters,1.88,1.43,3.54,1.33,3.57,3.75,1.36,2.2285000000000004,2.6143857142857145,1.4337142857142855,1.8914285714285717,1.1897714285714285
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,1.79,3.35,3.35,1.66,2.61,4.47,2.375,2.907657142857143,3.478,1.9605714285714284,1.9449142857142856,1.9174285714285717
17-3022.00,Civil Engineering Technologists and Technicians,2.77,1.78,3.06,1.44,3.7,3.39,1.4691999999999998,2.897142857142857,2.744,1.1450428571428573,2.086428571428572,1.3217571428571429
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,2.03,2.34,3.2,1.68,2.53,3.56,1.9285714285714288,2.8580714285714284,2.678285714285715,2.338014285714286,1.9449142857142856,1.7722857142857142
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,2.27,2.96,3.76,2.09,2.78,4.35,2.7142857142857144,2.596514285714285,3.0372,3.3234285714285714,2.571428571428571,1.4601142857142857
17-3024.01,Robotics Technicians,3.38,2.95,2.82,2.45,2.36,3.68,2.524285714285714,2.83,3.1800571428571427,3.200357142857143,1.9842857142857144,1.4862
17-3025.00,Environmental Engineering Technologists and Technicians,1.97,2.06,3.43,1.73,2.97,3.5,1.8914285714285717,2.6892000000000005,2.2704142857142857,1.7230857142857143,2.275,1.4547571428571429
17-3026.00,Industrial Engineering Technologists and Technicians,2.19,2.47,3.69,1.86,2.79,3.91,1.5357142857142858,2.081142857142857,2.7262000000000004,2.4317714285714285,2.3192,1.5814285714285714
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.7,1.75,2.7,2.85,2.3,3.35,2.2071428571428573,2.4465000000000003,3.0108571428571427,3.0777142857142854,2.275,2.157142857142857
17-3027.00,Mechanical Engineering Technologists and Technicians,2.15,2.7,3.27,2.63,2.59,4.08,2.1607142857142856,2.6218,2.6600571428571427,2.573714285714286,1.9449142857142856,1.4004571428571428
17-3027.01,Automotive Engineering Technicians,2.37,2.81,3.33,2.26,2.46,3.81,1.9642857142857144,2.3621714285714286,2.7950857142857144,2.594042857142857,2.023657142857143,1.6973285714285713
17-3029.01,Non-Destructive Testing Specialists,2.64,3.45,3.64,2.91,3.23,4.32,2.0028571428571427,3.935214285714285,3.5536000000000003,3.3389285714285712,2.2308,2.117142857142857
17-3029.08,Photonics Technicians,2.59,2.41,3.41,2.55,3.0,3.77,2.0608,2.6540857142857144,3.010214285714285,3.258571428571428,2.044642857142857,1.8813285714285717
17-3031.00,Surveying and Mapping Technicians,2.59,1.82,3.83,1.82,3.67,3.7,1.4179428571428572,2.2852,1.660842857142857,1.7346428571428572,1.9449142857142856,1.3136
19-1011.00,Animal Scientists,2.26,1.61,2.96,1.43,2.09,3.65,1.5892857142857142,2.6517571428571425,3.1700285714285714,1.6533142857142855,2.524285714285714,2.2049714285714286
19-1012.00,Food Scientists and Technologists,2.24,1.55,2.9,2.52,2.36,3.86,1.837942857142857,2.9872,2.8585000000000003,2.2517428571428573,2.4522285714285714,2.2778857142857145
19-1013.00,Soil and Plant Scientists,2.19,1.7,2.95,1.48,2.14,3.33,1.7200000000000002,2.775714285714286,2.8413142857142857,1.7442285714285717,2.3242857142857147,2.2809428571428576
19-1021.00,Biochemists and Biophysicists,2.63,1.95,3.53,2.17,2.7,3.3,1.6875,2.5902857142857143,3.7996428571428567,2.5120000000000005,2.748571428571428,2.458285714285714
19-1022.00,Microbiologists,2.5,1.71,3.68,2.05,3.32,4.14,1.6875,3.0995000000000004,3.2866,2.56,2.4522285714285714,2.7094857142857145
19-1023.00,Zoologists and Wildlife Biologists,1.26,1.79,3.46,1.56,2.62,3.3,1.655,2.722214285714286,2.806285714285714,1.6644571428571429,2.275,2.1532857142857145
19-1029.01,Bioinformatics Scientists,1.7,1.22,2.99,1.07,2.73,3.44,1.4464285714285716,1.5170714285714286,2.750714285714286,1.221,2.4008000000000003,2.3329142857142857
19-1029.02,Molecular and Cellular Biologists,2.12,1.46,3.04,2.08,2.85,3.31,1.7734857142857143,2.371428571428571,2.872,1.882,2.7207142857142856,2.2265
19-1029.03,Geneticists,1.96,1.24,3.17,1.2,2.72,2.92,1.6875,2.0742857142857143,2.523885714285714,1.6674285714285717,2.524285714285714,2.3453714285714287
19-1029.04,Biologists,1.39,2.11,3.19,1.72,3.01,3.29,1.2036571428571428,2.5602,3.290885714285713,1.8844285714285716,2.142857142857143,2.3801
19-1031.00,Conservation Scientists,2.09,1.74,3.04,1.35,1.96,3.3,1.394285714285714,3.1465428571428573,2.846714285714285,1.6977142857142855,2.044642857142857,2.1016
19-1031.02,Range Managers,2.23,1.62,2.82,1.37,2.58,3.31,1.595,3.177142857142857,3.3453,1.8299,2.5907142857142857,2.2104285714285714
19-1031.03,Park Naturalists,1.05,1.6,2.69,1.26,2.5,2.9,1.394285714285714,1.9577714285714287,2.1075142857142857,1.4066,1.9449142857142856,2.760228571428572
19-1032.00,Foresters,1.77,1.48,2.77,1.48,2.22,3.11,1.8571428571428568,3.108728571428572,3.2818857142857145,2.091171428571428,2.571428571428571,2.5258857142857143
19-1041.00,Epidemiologists,2.21,1.16,2.61,1.16,2.21,3.58,1.0442857142857145,2.3350285714285715,2.3753714285714285,1.0444,2.5907142857142857,2.139057142857143
19-1042.00,"Medical Scientists, Except Epidemiologists",2.2,1.31,3.96,2.3,3.0,3.69,1.655,1.923257142857143,2.591685714285714,1.3848142857142856,2.542057142857143,1.430414285714286
19-2011.00,Astronomers,1.87,1.35,2.3,1.39,1.52,2.91,1.2857142857142856,1.7283571428571427,1.7020142857142857,1.284957142857143,2.2308,1.477
19-2012.00,Physicists,1.57,1.1,2.07,1.0,2.0,3.05,1.4691999999999998,2.4848,2.7890857142857146,1.4369999999999998,2.2857142857142856,1.9077714285714285
19-2021.00,Atmospheric and Space Scientists,2.6,1.15,2.63,1.47,2.8,3.95,1.268571428571429,2.112857142857143,2.185,1.225,2.06,1.4557142857142855
19-2031.00,Chemists,2.02,1.2,3.48,2.12,2.34,3.79,1.822857142857143,2.7910714285714286,2.736428571428571,2.3107999999999995,2.3857142857142857,2.1339
19-2032.00,Materials Scientists,2.3,1.45,1.95,1.9,1.65,3.38,1.6875,2.965228571428571,3.537428571428572,1.9489571428571428,2.211428571428572,1.9360285714285717
19-2041.00,"Environmental Scientists and Specialists, Including Health",1.5,1.27,3.05,1.02,2.51,3.79,1.5914285714285714,3.7924,3.2390857142857143,1.1457142857142857,2.4971428571428573,1.3993000000000002
19-2041.01,Climate Change Policy Analysts,1.43,1.04,2.13,1.09,2.04,3.26,1.1428571428571428,2.2528,1.7735571428571428,1.037542857142857,2.1357142857142857,1.5284285714285717
19-2041.02,Environmental Restoration Planners,1.38,1.36,2.0,1.32,1.73,3.43,1.6364285714285711,3.0735,3.265285714285714,1.2064,2.524285714285714,2.4391142857142856
19-2041.03,Industrial Ecologists,1.59,1.17,2.57,1.1,2.3,3.35,1.1408,2.3349857142857147,2.3204857142857143,1.1098,2.1750857142857143,1.9072857142857145
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",1.65,1.73,2.91,1.34,2.13,3.44,1.268571428571429,2.4025,2.825357142857143,1.4903142857142857,2.023657142857143,1.964457142857143
19-2043.00,Hydrologists,1.82,1.7,2.7,1.61,2.04,3.35,1.5508,2.4152,3.202857142857143,1.4152857142857145,2.4285714285714284,1.9778285714285715
19-2099.01,Remote Sensing Scientists and Technologists,2.64,1.33,3.28,1.72,2.72,3.44,1.5357142857142858,2.7938285714285715,2.6325142857142856,1.624,2.3192,1.9545142857142856
19-3011.00,Economists,1.92,1.0,2.25,1.0,1.46,3.62,1.0442857142857145,2.336028571428572,1.6500571428571429,1.0036,2.096342857142857,1.4406714285714286
19-3011.01,Environmental Economists,1.85,1.0,2.15,1.08,2.15,2.77,1.0,1.69,1.4403,1.017742857142857,2.3392857142857144,1.3456
19-3022.00,Survey Researchers,2.23,1.04,2.92,1.08,2.19,4.0,1.1071428571428572,2.2373142857142856,2.2466285714285714,1.0925714285714283,2.06,2.3749714285714285
19-3032.00,Industrial-Organizational Psychologists,1.77,1.08,2.5,1.04,2.3,3.73,1.25,2.966285714285714,1.9644714285714289,1.0171428571428571,2.748571428571428,1.8897142857142852
19-3033.00,Clinical and Counseling Psychologists,1.48,1.16,1.84,1.0,1.68,3.56,1.0942857142857143,3.136685714285714,2.3184000000000005,1.0377142857142858,2.524285714285714,1.2422857142857144
19-3034.00,School Psychologists,1.66,1.23,2.4,1.03,1.67,4.1,1.0942857142857143,1.7346142857142857,2.476,1.016457142857143,2.7142857142857144,1.1753714285714283
19-3039.02,Neuropsychologists,1.76,1.21,2.92,1.12,2.09,3.92,1.25,2.6896000000000004,2.9158857142857144,1.2288,2.542057142857143,1.9185142857142856
19-3039.03,Clinical Neuropsychologists,1.88,1.12,3.08,1.12,2.38,4.33,1.157142857142857,2.5673714285714286,3.25,1.1071714285714285,2.4522285714285714,1.4114
19-3041.00,Sociologists,1.84,1.3,2.21,1.0,2.21,3.3,1.0206285714285714,2.057142857142857,2.2786428571428567,1.0835714285714286,2.3857142857142857,1.719642857142857
19-3051.00,Urban and Regional Planners,1.4,1.08,1.64,1.0,1.6,3.52,1.12,3.535771428571429,2.200685714285714,1.0054857142857143,2.0342857142857143,2.3184000000000005
19-3091.00,Anthropologists and Archeologists,1.53,1.65,2.74,1.05,2.45,3.7,1.1071428571428572,1.7085714285714286,2.462628571428572,1.1982142857142857,2.2928571428571427,2.0703571428571426
19-3092.00,Geographers,2.0,1.2,2.45,1.3,2.9,3.5,1.0664285714285715,2.2375,2.08,1.2857142857142856,1.9657142857142855,1.5199999999999998
19-3093.00,Historians,1.16,1.91,2.68,1.18,1.97,3.21,1.0206285714285714,1.9608571428571429,2.1203142857142856,1.0611142857142857,1.8914285714285717,1.9772000000000003
19-3094.00,Political Scientists,1.64,1.0,2.16,1.08,1.85,3.27,1.0206285714285714,2.3220714285714283,2.6896000000000004,1.0630857142857142,1.94,1.5258714285714283
19-3099.01,Transportation Planners,1.8,1.05,1.95,1.0,1.9,3.1,1.22,2.8525,2.3635714285714284,1.0278571428571428,2.06,2.245
19-4012.00,Agricultural Technicians,2.69,2.31,3.12,2.88,3.23,3.21,1.8571428571428568,1.9793142857142856,2.499428571428571,2.227942857142857,1.9449142857142856,1.6910285714285715
19-4012.01,Precision Agriculture Technicians,2.39,2.7,3.26,2.17,2.17,3.39,1.8057142857142856,2.3055,2.4335142857142857,2.1191,2.125,1.7556571428571428
19-4013.00,Food Science Technicians,2.31,1.82,4.49,3.57,2.74,4.37,1.7200000000000002,2.3502,2.799314285714286,1.8210714285714285,1.9449142857142856,2.063885714285714
19-4021.00,Biological Technicians,1.78,1.53,3.37,1.91,2.88,3.33,1.8571428571428568,1.9176,2.875314285714285,1.8575714285714284,2.205357142857143,1.4964285714285714
19-4031.00,Chemical Technicians,2.5,1.8,3.62,2.95,2.81,4.35,2.044642857142857,2.6764,3.0931428571428574,2.4056714285714285,2.596342857142857,1.624428571428571
19-4042.00,"Environmental Science and Protection Technicians, Including Health",2.05,2.14,3.14,1.64,1.91,4.27,1.822857142857143,2.7820714285714283,2.4945000000000004,1.885857142857143,2.275,1.6514285714285717
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",2.67,1.9,3.7,1.89,2.68,3.52,1.7485714285714289,1.8702571428571428,2.458685714285714,2.371085714285714,2.044642857142857,1.6688285714285715
19-4051.00,Nuclear Technicians,2.33,3.68,4.32,1.92,2.37,3.54,2.6950857142857143,2.898142857142857,3.915028571428571,3.4731428571428573,2.375,1.2958
19-4051.02,Nuclear Monitoring Technicians,2.06,2.74,3.68,1.4,2.3,3.52,2.422142857142857,3.2466000000000004,3.4811428571428573,1.7945142857142855,2.645714285714285,1.4926285714285714
19-4061.00,Social Science Research Assistants,1.62,1.25,3.84,1.32,2.53,2.85,1.3008,1.5390857142857144,1.801257142857143,1.0648428571428572,1.837942857142857,1.4638857142857145
19-4071.00,Forest and Conservation Technicians,2.31,2.18,3.59,2.31,3.38,3.86,1.7734857142857143,2.619485714285714,2.676,2.3827857142857143,2.096342857142857,2.078042857142857
19-4092.00,Forensic Science Technicians,1.53,3.44,3.45,1.24,2.67,3.92,1.655,2.748571428571428,2.463714285714285,1.8349571428571427,2.044642857142857,1.456
19-4099.01,Quality Control Analysts,1.97,2.36,4.06,2.32,2.94,3.81,2.044642857142857,2.6025714285714283,2.820485714285714,1.8858,2.524285714285714,1.2157857142857142
19-4099.03,Remote Sensing Technicians,2.19,1.26,3.97,1.69,3.45,3.85,1.78,2.5947285714285715,2.635628571428572,2.0917714285714286,2.2308,1.8375
19-5011.00,Occupational Health and Safety Specialists,2.14,2.22,2.83,1.52,2.05,3.57,2.0,3.4210857142857147,3.3995714285714285,1.4721142857142857,2.4971428571428573,2.0428571428571427
19-5012.00,Occupational Health and Safety Technicians,2.37,2.5,2.89,2.37,2.3,3.76,1.8057142857142856,3.52,3.2032,1.6864285714285714,2.205357142857143,2.0123714285714285
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,1.56,1.81,4.11,1.13,1.81,4.46,1.25,3.211457142857143,3.7097,1.588,2.7142857142857144,1.4210714285714283
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",1.52,1.28,3.44,1.04,2.32,3.76,1.0442857142857145,3.2821857142857143,2.661828571428572,1.0675714285714286,2.524285714285714,1.3514285714285714
21-1013.00,Marriage and Family Therapists,1.38,1.38,1.97,1.0,1.39,4.58,1.0357142857142856,2.7752857142857144,1.988342857142857,1.0164285714285717,2.4971428571428573,1.0115
21-1014.00,Mental Health Counselors,1.32,1.04,2.21,1.11,1.89,3.86,1.0549142857142857,3.2633714285714284,2.258171428571429,1.032457142857143,2.571428571428571,1.5182714285714285
21-1015.00,Rehabilitation Counselors,1.73,1.12,3.47,1.3,2.5,4.16,1.0664285714285715,2.643,2.597028571428572,1.0960857142857143,2.6950857142857143,1.6674142857142855
21-1021.00,"Child, Family, and School Social Workers",2.21,1.39,3.16,1.0,3.34,4.33,1.32,2.879514285714285,3.0562,1.0184,2.596342857142857,1.4249714285714286
21-1022.00,Healthcare Social Workers,1.69,1.59,2.26,1.15,2.04,4.0,1.077942857142857,2.1575714285714285,2.534057142857143,1.0439714285714286,2.2471428571428573,1.7109142857142858
21-1023.00,Mental Health and Substance Abuse Social Workers,1.77,1.23,3.33,1.0,2.44,4.39,1.2857142857142856,2.935,2.517857142857143,1.091,2.7142857142857144,1.432928571428571
21-1091.00,Health Education Specialists,1.57,1.72,3.55,1.11,2.97,3.81,1.2036571428571428,2.694471428571428,2.6888714285714284,1.4508428571428569,2.205357142857143,2.541428571428572
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.66,2.32,4.0,1.36,2.55,4.4,1.3125,3.4504714285714284,2.8744,1.1869,2.524285714285714,1.6489142857142856
21-1093.00,Social and Human Service Assistants,2.23,1.5,3.41,1.46,2.94,4.12,1.197142857142857,2.1201142857142856,2.4614714285714285,1.0828,2.4035714285714285,1.4726
21-1094.00,Community Health Workers,2.21,1.96,3.03,1.19,2.39,3.42,1.3008,2.6414,2.9477714285714285,1.4151142857142855,2.275,2.362914285714286
21-2011.00,Clergy,1.71,1.07,2.87,1.0,2.02,3.87,1.0803571428571428,1.894342857142857,1.8208,1.135042857142857,2.4285714285714284,1.8070857142857144
21-2021.00,"Directors, Religious Activities and Education",1.44,1.01,1.57,1.0,1.59,2.61,1.231428571428571,2.301614285714286,2.274842857142857,1.2856,2.1357142857142857,2.508228571428572
23-1011.00,Lawyers,1.44,1.3,2.91,1.0,1.92,4.18,1.0206285714285714,3.868171428571429,1.766142857142857,1.0792,2.275,1.9477
23-1012.00,Judicial Law Clerks,1.84,1.02,3.5,1.0,2.79,4.07,1.0089285714285714,2.7706,1.3936000000000002,1.0666,1.9285714285714288,1.0029571428571429
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",2.15,1.11,4.17,1.02,3.67,4.42,1.0357142857142856,3.5676,1.303257142857143,1.078857142857143,2.4971428571428573,1.1303571428571428
23-1022.00,"Arbitrators, Mediators, and Conciliators",2.1,1.35,2.2,1.0,1.65,3.8,1.0206285714285714,3.608214285714285,1.7714285714285714,1.04,1.9077714285714285,1.178314285714286
23-1023.00,"Judges, Magistrate Judges, and Magistrates",2.13,1.0,3.31,1.0,2.68,4.73,1.0089285714285714,4.093814285714286,1.7300285714285717,1.2117142857142855,2.6950857142857143,1.1089285714285717
23-2011.00,Paralegals and Legal Assistants,1.5,1.03,3.86,1.11,3.66,4.36,1.0803571428571428,2.2932,2.1494857142857144,1.0761285714285715,1.8571428571428568,1.199457142857143
23-2093.00,"Title Examiners, Abstractors, and Searchers",3.03,1.31,4.36,1.14,3.53,4.41,1.0664285714285715,2.924628571428572,2.8565714285714283,1.3416,1.8571428571428568,1.1088857142857145
25-1011.00,"Business Teachers, Postsecondary",2.22,1.01,2.63,1.03,1.41,3.68,1.0357142857142856,2.0170000000000003,1.7233428571428573,1.1596285714285717,2.4971428571428573,1.2132
25-1021.00,"Computer Science Teachers, Postsecondary",1.57,1.13,2.36,1.0,2.42,4.02,1.2000000000000002,2.2800571428571432,2.2218142857142853,1.2524285714285712,2.571428571428571,1.548542857142857
25-1022.00,"Mathematical Science Teachers, Postsecondary",1.62,1.14,2.51,1.02,2.21,3.6,1.0089285714285714,1.416,1.5059428571428572,1.1848,2.645714285714285,1.197142857142857
25-1031.00,"Architecture Teachers, Postsecondary",1.72,1.13,1.94,1.68,2.12,3.47,1.157142857142857,2.138242857142857,2.59,1.7117714285714287,2.6185714285714288,1.7115714285714287
25-1032.00,"Engineering Teachers, Postsecondary",1.32,1.24,2.22,1.41,2.13,3.55,1.2363428571428572,2.0141714285714283,2.418971428571429,1.6774857142857142,2.4008000000000003,2.103628571428572
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",1.52,1.34,2.55,1.02,1.89,3.58,1.197142857142857,2.358657142857143,3.1588,1.6104714285714286,2.748571428571428,2.2790714285714286
25-1042.00,"Biological Science Teachers, Postsecondary",1.35,1.25,2.28,1.01,1.95,4.05,1.1071428571428572,2.4493285714285715,3.231742857142857,1.4386,2.596342857142857,1.7335714285714283
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",1.39,1.25,2.16,1.0,2.26,3.85,1.24,1.8243857142857145,3.514457142857143,1.2510285714285714,2.596342857142857,1.6343142857142858
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.51,1.37,3.13,1.01,2.43,3.68,1.1071428571428572,1.6837999999999995,2.2693714285714286,1.5502000000000002,2.542057142857143,1.6837
25-1052.00,"Chemistry Teachers, Postsecondary",1.52,1.27,3.12,1.05,1.91,3.78,1.268571428571429,1.8556857142857144,2.0177428571428573,1.3859,2.7142857142857144,1.6683714285714286
25-1053.00,"Environmental Science Teachers, Postsecondary",1.64,1.48,2.31,1.15,2.36,3.59,1.0942857142857143,2.0585,3.0507142857142857,1.548542857142857,2.645714285714285,1.9305142857142856
25-1054.00,"Physics Teachers, Postsecondary",1.55,1.3,2.29,1.19,1.84,3.69,1.231428571428571,1.923928571428572,2.5696000000000003,1.7269571428571426,2.4971428571428573,1.5821714285714288
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",1.36,2.0,2.64,1.23,2.18,3.41,1.0089285714285714,1.8431285714285717,2.0464,1.2184,2.748571428571428,1.5680285714285715
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.38,1.1,1.76,1.01,1.9,4.03,1.0206285714285714,1.7843142857142855,1.8569285714285717,1.0392142857142856,2.1750857142857143,1.5882999999999998
25-1063.00,"Economics Teachers, Postsecondary",1.78,1.02,2.14,1.02,2.09,3.38,1.12,1.5682857142857145,2.442971428571429,1.1508142857142858,2.0342857142857143,1.2448
25-1064.00,"Geography Teachers, Postsecondary",1.54,1.26,2.3,1.07,2.4,3.76,1.0271428571428571,1.7035428571428572,2.054971428571428,1.3164142857142855,2.1750857142857143,1.4697999999999998
25-1065.00,"Political Science Teachers, Postsecondary",1.18,1.16,1.98,1.0,2.57,3.57,1.0089285714285714,1.6528,1.5901428571428569,1.0147857142857142,2.0342857142857143,1.3315714285714284
25-1066.00,"Psychology Teachers, Postsecondary",1.95,1.1,3.0,1.0,2.39,3.39,1.0206285714285714,2.5996,2.5280571428571426,1.1563428571428571,2.3857142857142857,1.5495285714285716
25-1067.00,"Sociology Teachers, Postsecondary",1.4,1.01,3.17,1.02,2.74,3.72,1.0206285714285714,1.9715,2.4246,1.057742857142857,2.524285714285714,1.2464
25-1071.00,"Health Specialties Teachers, Postsecondary",1.57,1.27,2.15,1.03,2.67,3.79,1.1734857142857142,2.3730571428571428,2.5246,1.7398857142857145,2.4522285714285714,1.511628571428571
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",2.08,1.93,3.37,1.16,2.7,3.8,1.2857142857142856,3.277257142857143,3.5508571428571427,1.4011428571428572,2.6950857142857143,1.6007714285714283
25-1081.00,"Education Teachers, Postsecondary",1.5,1.38,3.39,1.15,3.49,3.52,1.0089285714285714,2.415314285714285,2.8564,1.0034714285714286,2.645714285714285,1.5797714285714286
25-1082.00,"Library Science Teachers, Postsecondary",1.39,1.02,1.95,1.11,3.36,3.58,1.0357142857142856,2.1392,1.8217857142857143,1.1276,2.765714285714286,1.366857142857143
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2.05,1.58,3.03,1.04,2.41,3.72,1.0357142857142856,2.0512,1.9523571428571431,1.1088,2.645714285714285,1.3614285714285714
25-1112.00,"Law Teachers, Postsecondary",1.53,1.04,1.83,1.04,2.01,3.45,1.0357142857142856,2.468142857142857,1.9666428571428571,1.0432,2.275,1.2778285714285715
25-1113.00,"Social Work Teachers, Postsecondary",1.54,1.04,2.11,1.14,2.14,3.51,1.0357142857142856,2.5158,2.5120000000000005,1.1446571428571428,2.524285714285714,1.2827857142857142
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",1.23,1.4,2.39,1.04,2.66,3.41,1.0357142857142856,1.610442857142857,2.2042,1.8662142857142856,2.524285714285714,1.7261428571428572
25-1122.00,"Communications Teachers, Postsecondary",1.74,1.16,2.24,1.14,2.47,3.74,1.0803571428571428,2.2482285714285712,2.5526142857142853,1.2237714285714285,2.524285714285714,1.232885714285714
25-1123.00,"English Language and Literature Teachers, Postsecondary",1.62,1.0,2.62,1.04,1.74,3.78,1.0089285714285714,1.6026571428571428,2.1639142857142857,1.163,2.4971428571428573,1.4551857142857143
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",1.37,1.03,1.42,1.05,1.5,3.27,1.0357142857142856,1.3869142857142858,1.996142857142857,1.1105714285714283,2.4522285714285714,1.0396
25-1125.00,"History Teachers, Postsecondary",1.41,1.02,3.2,1.0,2.91,3.78,1.0206285714285714,1.621714285714286,2.3126285714285717,1.0696571428571429,2.4971428571428573,1.4751999999999998
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",1.75,1.0,2.62,1.0,2.37,3.64,1.0357142857142856,2.0465714285714283,1.8866,1.083257142857143,2.2471428571428573,1.3971142857142858
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",2.58,1.73,3.31,1.58,2.01,4.05,1.0549142857142857,2.3445142857142858,2.2809285714285714,1.1864285714285714,2.4285714285714284,1.598557142857143
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",1.86,1.52,2.77,1.07,2.41,3.58,1.1408,2.440642857142857,1.8731714285714285,1.1268571428571428,2.571428571428571,1.972214285714286
25-1194.00,"Career/Technical Education Teachers, Postsecondary",1.79,1.56,2.96,1.36,2.12,3.52,1.4928571428571429,2.6056857142857144,2.395514285714285,2.3289142857142853,2.4971428571428573,2.0518857142857145
25-2011.00,"Preschool Teachers, Except Special Education",1.56,1.17,2.01,1.0,2.53,3.07,1.1071428571428572,1.8325,1.8646428571428573,1.0226285714285714,2.375,1.5169428571428571
