O*NET-SOC Code,Title,Freedom to Make Decisions,Frequency of Decision Making,Impact of Decisions on Co-workers or Company Results,Health and Safety of Other Workers,Work Outcomes and Results of Other Workers,Consequence of Error,Conflict Situations,Time Pressure,Level of Competition,Developing Objectives and Strategies 
19-3034.00,School Psychologists,4.62,3.59,3.58,2.02,1.99,2.18,2.87,4.1,2.16,1.6322142857142856
19-3039.02,Neuropsychologists,4.72,4.08,3.76,2.52,2.68,2.4,2.76,3.92,3.84,2.3216
19-3039.03,Clinical Neuropsychologists,4.83,4.08,4.08,2.92,2.96,2.92,2.54,4.33,3.67,2.252714285714286
19-3041.00,Sociologists,4.7,2.74,2.85,2.1,3.0,1.89,2.89,3.3,3.89,2.7792857142857144
19-3051.00,Urban and Regional Planners,3.79,2.96,3.32,2.12,3.12,1.92,3.17,3.52,2.84,4.017142857142857
19-3091.00,Anthropologists and Archeologists,4.45,2.26,3.0,2.47,2.53,2.17,2.55,3.7,3.79,2.541428571428572
19-3092.00,Geographers,4.4,2.65,2.9,2.05,2.8,1.8,2.4,3.5,3.55,2.562971428571428
19-3093.00,Historians,4.0,3.67,3.62,3.07,3.31,1.91,2.95,3.21,2.46,1.9554285714285715
19-3094.00,Political Scientists,4.85,2.92,3.04,1.65,2.24,2.08,2.5,3.27,4.32,2.486542857142857
19-3099.01,Transportation Planners,3.85,3.0,3.6,2.45,3.47,1.89,2.75,3.1,3.0,3.385
19-4012.00,Agricultural Technicians,3.84,2.89,3.07,3.76,3.17,2.86,2.55,3.21,2.26,1.6704285714285714
19-4012.01,Precision Agriculture Technicians,4.17,3.91,3.65,3.22,3.43,3.17,2.7,3.39,3.14,2.1526
19-4013.00,Food Science Technicians,4.15,4.37,3.95,4.04,4.05,2.94,2.46,4.37,2.31,1.3955714285714285
19-4021.00,Biological Technicians,3.85,2.63,2.56,3.04,3.06,2.72,1.92,3.33,3.13,1.983714285714285
19-4031.00,Chemical Technicians,3.84,3.35,3.74,4.16,3.08,3.84,2.46,4.35,3.16,1.8451
19-4042.00,"Environmental Science and Protection Technicians, Including Health",3.77,3.23,3.55,3.82,3.0,2.91,3.0,4.27,2.86,1.8449714285714285
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4.17,3.32,3.5,3.09,3.21,3.02,2.41,3.52,2.91,1.6155142857142857
19-4051.00,Nuclear Technicians,3.15,4.27,4.07,4.28,3.24,4.19,3.22,3.54,2.47,1.6019285714285714
19-4051.02,Nuclear Monitoring Technicians,3.67,3.9,3.7,4.53,3.54,3.72,3.05,3.52,2.61,1.9118857142857144
19-4061.00,Social Science Research Assistants,3.89,2.29,2.96,1.84,2.45,1.92,1.82,2.85,2.66,2.4212
19-4071.00,Forest and Conservation Technicians,4.14,4.21,4.23,4.11,3.63,3.56,3.04,3.86,3.31,2.792714285714286
19-4092.00,Forensic Science Technicians,3.89,4.7,4.51,3.25,3.4,3.81,3.14,3.92,2.85,1.5814857142857144
19-4099.01,Quality Control Analysts,4.05,3.49,3.63,3.34,3.21,3.63,2.68,3.81,2.44,1.5798142857142858
19-4099.03,Remote Sensing Technicians,4.07,3.01,3.3,1.83,2.75,2.22,2.8,3.85,3.12,2.0012857142857143
19-5011.00,Occupational Health and Safety Specialists,4.04,3.77,4.22,4.3,3.3,3.35,3.04,3.57,2.83,2.5346571428571427
19-5012.00,Occupational Health and Safety Technicians,4.19,3.9,4.16,4.24,3.3,3.95,3.05,3.76,2.95,2.681985714285714
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,3.63,2.54,2.83,4.05,3.72,3.03,3.6,4.46,2.16,3.045485714285714
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.01,3.92,4.16,2.8,2.8,2.96,4.11,3.76,2.76,2.5178857142857143
21-1013.00,Marriage and Family Therapists,4.4,4.6,3.98,2.38,1.89,2.43,3.65,4.58,2.45,2.296614285714286
21-1014.00,Mental Health Counselors,4.64,4.07,4.07,2.79,2.21,3.46,3.79,3.86,2.93,3.023371428571429
21-1015.00,Rehabilitation Counselors,4.09,4.25,3.93,3.43,3.41,2.42,3.2,4.16,3.0,2.2826285714285715
21-1021.00,"Child, Family, and School Social Workers",4.44,4.17,3.98,2.73,2.92,3.64,4.53,4.33,2.42,2.598171428571429
21-1022.00,Healthcare Social Workers,4.3,3.89,3.89,3.22,2.74,2.7,3.93,4.0,2.85,2.2053142857142856
21-1023.00,Mental Health and Substance Abuse Social Workers,4.34,3.59,3.52,2.93,2.91,2.86,3.52,4.39,2.3,3.0469142857142857
21-1091.00,Health Education Specialists,4.42,3.82,4.07,3.55,3.27,2.46,3.51,3.81,2.66,3.2044
21-1092.00,Probation Officers and Correctional Treatment Specialists,4.16,4.0,4.21,3.87,2.82,3.56,4.47,4.4,2.64,2.4573
21-1093.00,Social and Human Service Assistants,3.94,3.74,3.72,3.84,3.14,2.71,3.79,4.12,2.54,2.3568
21-1094.00,Community Health Workers,3.97,3.86,3.84,3.41,3.24,2.44,3.03,3.42,2.48,3.2923571428571425
21-2011.00,Clergy,4.51,3.87,4.11,3.2,3.77,2.74,3.41,3.87,2.24,2.4894285714285718
21-2021.00,"Directors, Religious Activities and Education",4.72,3.4,3.14,2.67,2.85,1.44,2.51,2.61,1.3,3.0545571428571425
23-1011.00,Lawyers,4.67,4.21,4.48,2.38,3.9,3.81,3.44,4.18,3.61,2.9815714285714288
23-1012.00,Judicial Law Clerks,3.67,3.96,4.56,1.26,2.55,2.72,2.41,4.07,3.3,1.281657142857143
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.53,4.85,4.47,1.63,2.45,2.47,3.75,4.42,2.93,1.256457142857143
23-1022.00,"Arbitrators, Mediators, and Conciliators",4.75,3.7,4.3,2.05,2.6,2.4,3.85,3.8,3.25,1.6192857142857142
23-1023.00,"Judges, Magistrate Judges, and Magistrates",4.99,4.61,4.89,2.66,3.6,3.65,4.68,4.73,3.1,1.774714285714286
23-2011.00,Paralegals and Legal Assistants,4.12,3.92,3.89,1.87,2.66,2.92,2.14,4.36,2.67,1.392
23-2093.00,"Title Examiners, Abstractors, and Searchers",4.64,4.39,4.33,2.26,3.41,3.46,2.59,4.41,3.39,1.6339428571428571
25-1011.00,"Business Teachers, Postsecondary",4.74,3.65,3.49,2.32,2.62,1.82,2.63,3.68,2.98,2.258
25-1021.00,"Computer Science Teachers, Postsecondary",4.7,3.62,3.65,2.3,3.06,1.64,2.41,4.02,3.45,2.723028571428572
25-1022.00,"Mathematical Science Teachers, Postsecondary",4.34,3.47,3.07,1.72,2.23,1.44,2.39,3.6,3.31,2.2160714285714285
25-1031.00,"Architecture Teachers, Postsecondary",4.67,2.99,3.23,2.41,3.12,1.9,2.6,3.47,3.35,3.110314285714286
25-1032.00,"Engineering Teachers, Postsecondary",4.58,3.19,3.36,2.86,3.46,2.53,3.03,3.55,4.21,2.7671
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",4.7,3.39,3.86,2.97,2.97,2.41,2.31,3.58,4.1,2.9135
25-1042.00,"Biological Science Teachers, Postsecondary",4.95,4.07,3.78,3.72,3.46,2.37,2.88,4.05,3.78,3.3729714285714283
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",4.77,3.51,3.89,3.77,3.34,2.54,2.82,3.85,3.31,2.806857142857143
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4.86,3.25,3.64,3.08,3.15,2.31,2.83,3.68,3.13,2.457142857142857
25-1052.00,"Chemistry Teachers, Postsecondary",4.71,3.27,3.75,4.13,4.0,2.94,2.88,3.78,3.84,2.5094857142857143
25-1053.00,"Environmental Science Teachers, Postsecondary",4.52,3.29,3.22,3.33,3.5,2.57,2.65,3.59,3.08,2.573714285714286
25-1054.00,"Physics Teachers, Postsecondary",4.76,3.46,3.46,2.59,2.83,2.28,2.59,3.69,3.36,2.756742857142857
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",4.55,2.64,3.09,2.9,3.19,1.91,2.71,3.41,3.86,2.9722857142857144
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4.65,3.68,3.49,2.4,2.97,2.32,2.79,4.03,4.04,2.999542857142857
25-1063.00,"Economics Teachers, Postsecondary",4.73,3.18,3.29,1.78,2.01,1.98,2.41,3.38,3.54,1.7225
25-1064.00,"Geography Teachers, Postsecondary",4.93,2.93,2.97,2.24,2.84,1.91,2.7,3.76,3.85,2.55
25-1065.00,"Political Science Teachers, Postsecondary",4.75,4.16,3.49,1.96,2.17,1.52,2.74,3.57,3.8,2.3514285714285714
25-1066.00,"Psychology Teachers, Postsecondary",4.89,3.36,3.68,2.22,2.7,1.98,2.45,3.39,3.08,3.011885714285714
25-1067.00,"Sociology Teachers, Postsecondary",4.83,3.55,3.38,2.15,2.5,2.06,2.76,3.72,3.91,2.688028571428571
25-1071.00,"Health Specialties Teachers, Postsecondary",4.83,3.88,3.97,3.35,3.47,2.89,3.1,3.79,3.08,2.6579
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",4.15,4.05,4.24,3.93,4.0,3.63,3.44,3.8,2.86,3.2119000000000004
25-1081.00,"Education Teachers, Postsecondary",4.86,4.02,3.98,2.52,3.47,2.55,2.72,3.52,3.75,2.8892285714285717
25-1082.00,"Library Science Teachers, Postsecondary",4.86,3.53,3.6,2.15,2.91,1.92,2.82,3.58,3.03,3.1306428571428566
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",4.64,4.07,4.12,2.8,2.87,2.14,2.87,3.72,3.13,2.333928571428572
25-1112.00,"Law Teachers, Postsecondary",4.75,3.7,3.87,1.99,2.66,2.52,2.67,3.45,3.42,2.2672
25-1113.00,"Social Work Teachers, Postsecondary",4.73,3.13,3.25,2.38,2.63,2.57,2.8,3.51,2.98,2.8829285714285717
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",4.53,3.23,3.21,2.77,2.91,1.77,2.65,3.41,3.49,2.669285714285714
25-1122.00,"Communications Teachers, Postsecondary",4.85,3.95,3.29,2.76,2.93,2.52,2.84,3.74,3.42,2.6344000000000003
25-1123.00,"English Language and Literature Teachers, Postsecondary",4.59,3.21,3.23,1.75,2.52,1.61,2.25,3.78,2.86,3.101442857142857
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",4.28,3.67,3.05,1.52,2.29,1.78,2.8,3.27,3.28,2.3359
25-1125.00,"History Teachers, Postsecondary",4.91,3.85,3.59,1.64,2.02,2.0,2.29,3.78,3.9,2.322057142857143
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",4.62,3.79,3.76,1.79,2.33,2.41,2.34,3.64,3.53,2.385657142857143
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",4.45,4.28,3.94,2.93,3.03,1.95,2.67,4.05,3.58,2.559785714285714
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",4.62,3.76,4.11,3.05,3.22,2.92,3.11,3.58,2.96,2.685914285714285
25-1194.00,"Career/Technical Education Teachers, Postsecondary",4.38,3.56,3.44,3.18,3.05,2.48,2.68,3.52,2.66,2.353857142857143
25-2011.00,"Preschool Teachers, Except Special Education",3.55,3.54,3.63,3.04,2.72,3.08,3.43,3.07,2.49,1.7927571428571427
25-2012.00,"Kindergarten Teachers, Except Special Education",4.14,4.14,3.9,2.95,2.84,2.15,3.3,3.74,2.73,2.949942857142857
25-2021.00,"Elementary School Teachers, Except Special Education",3.99,3.97,3.96,3.82,3.94,1.86,4.05,3.76,2.62,2.4706857142857137
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",4.38,4.15,3.36,3.22,3.22,1.85,3.15,3.32,2.22,3.0569714285714285
25-2023.00,"Career/Technical Education Teachers, Middle School",4.4,4.52,3.67,3.2,3.31,2.78,3.71,3.88,2.5,2.5147000000000004
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4.25,3.57,3.49,3.29,3.05,2.22,3.43,3.28,2.2,3.0608
25-2032.00,"Career/Technical Education Teachers, Secondary School",4.07,4.36,3.88,3.77,3.26,2.86,3.51,3.95,2.77,3.132
25-2051.00,"Special Education Teachers, Preschool",4.09,4.32,3.59,3.29,3.21,2.39,2.89,3.09,2.11,2.718628571428572
25-2056.00,"Special Education Teachers, Elementary School",3.62,2.64,3.14,3.31,2.66,2.76,3.11,3.5,2.31,2.8637571428571427
25-2057.00,"Special Education Teachers, Middle School",3.86,3.5,3.1,3.76,3.67,2.62,4.59,3.92,1.75,2.171642857142857
25-2058.00,"Special Education Teachers, Secondary School",4.54,4.12,4.17,3.3,2.93,2.75,4.31,3.82,1.91,2.7219999999999995
25-2059.01,Adapted Physical Education Specialists,4.55,3.47,3.19,3.81,3.35,2.4,3.29,3.38,2.62,2.8474285714285714
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.24,3.66,3.63,2.83,3.2,1.97,2.6,3.21,2.82,2.4257
25-3021.00,Self-Enrichment Teachers,4.79,3.42,3.65,2.76,2.48,1.84,2.14,2.76,2.09,1.768857142857143
25-3031.00,"Substitute Teachers, Short-Term",4.26,3.34,2.83,3.63,2.82,1.33,2.94,2.92,2.41,1.3738
25-3041.00,Tutors,4.27,3.14,2.59,2.24,2.48,1.38,2.82,3.5,2.52,2.274
25-4011.00,Archivists,4.03,2.86,3.23,2.26,2.5,2.72,2.06,2.94,3.24,2.774314285714285
25-4012.00,Curators,4.48,3.61,3.81,2.89,3.71,2.28,2.69,3.24,3.42,2.4818571428571428
25-4013.00,Museum Technicians and Conservators,4.6,3.37,3.72,3.08,3.01,2.97,2.3,3.45,1.9,2.0189285714285714
25-4022.00,Librarians and Media Collections Specialists,4.27,3.48,3.19,2.56,2.79,2.04,3.1,3.53,2.52,2.2285000000000004
25-4031.00,Library Technicians,4.16,3.79,3.41,2.36,2.71,2.03,3.25,3.48,2.43,1.3496
25-9021.00,Farm and Home Management Educators,4.74,3.44,3.26,2.96,3.04,2.19,2.74,3.22,2.52,2.525714285714286
25-9031.00,Instructional Coordinators,4.02,3.35,3.57,2.43,3.97,1.71,3.05,3.63,2.97,3.1307428571428573
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3.39,4.24,4.27,3.77,2.25,2.69,3.05,2.45,1.54,2.6432
25-9043.00,"Teaching Assistants, Special Education",3.31,3.89,3.58,3.1,2.25,2.82,3.47,3.07,1.81,1.7408285714285712
25-9044.00,"Teaching Assistants, Postsecondary",4.03,2.88,2.95,2.32,2.27,2.38,2.49,3.46,3.58,1.874142857142857
27-1011.00,Art Directors,4.17,3.66,3.33,1.89,3.04,1.92,2.27,4.76,3.55,1.8381
27-1012.00,Craft Artists,4.36,2.41,2.39,2.22,2.0,1.78,1.78,2.65,3.43,1.750142857142857
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",4.82,3.55,2.99,1.63,1.63,2.27,1.95,3.34,2.62,1.1759142857142857
27-1014.00,Special Effects Artists and Animators,4.27,4.32,3.67,2.27,4.12,3.13,2.16,4.45,3.81,1.9863142857142857
27-1021.00,Commercial and Industrial Designers,3.71,4.08,4.28,2.98,3.28,2.92,2.75,4.03,3.21,1.5195142857142856
27-1022.00,Fashion Designers,3.59,2.72,3.41,3.19,3.51,1.85,2.41,4.09,3.3,2.002742857142857
27-1023.00,Floral Designers,4.23,3.37,2.88,3.83,3.99,2.23,2.79,4.13,2.97,1.5714285714285716
27-1024.00,Graphic Designers,4.1,3.26,3.25,1.75,3.11,2.0,2.45,4.65,4.32,2.392857142857143
27-1025.00,Interior Designers,3.88,3.75,3.44,2.96,3.38,2.29,2.92,4.16,3.88,2.5446857142857144
27-1026.00,Merchandise Displayers and Window Trimmers,4.12,3.98,3.18,2.58,2.71,1.85,2.93,3.77,3.01,1.7208
27-1027.00,Set and Exhibit Designers,4.24,3.0,3.48,2.62,3.05,2.33,2.81,4.19,3.9,2.1066857142857143
27-2011.00,Actors,3.45,3.62,3.29,2.93,2.99,1.97,2.7,4.59,4.24,1.1812857142857145
27-2012.00,Producers and Directors,4.33,4.66,4.5,2.55,4.28,2.65,3.42,4.36,3.96,2.155
27-2012.03,Media Programming Directors,4.03,4.25,4.2,2.05,3.78,3.05,2.29,3.97,3.49,2.3405714285714287
27-2012.04,Talent Directors,4.23,3.79,4.45,3.33,4.17,2.05,2.93,3.66,3.32,1.5976
27-2012.05,Media Technical Directors/Managers,4.31,4.68,4.31,2.87,4.05,2.96,3.6,4.86,3.22,1.9306
27-2021.00,Athletes and Sports Competitors,4.14,3.67,4.21,3.54,3.38,2.51,3.1,3.87,4.44,2.9596
27-2022.00,Coaches and Scouts,4.03,4.09,3.25,3.42,3.06,2.65,3.67,3.67,3.92,2.386
27-2023.00,"Umpires, Referees, and Other Sports Officials",4.52,3.29,3.33,2.62,2.63,2.19,3.19,3.05,3.48,1.2082857142857142
27-2031.00,Dancers,3.45,3.38,3.71,2.82,2.63,2.56,3.04,2.94,4.17,1.3528857142857142
27-2032.00,Choreographers,4.05,2.95,3.0,3.95,4.14,1.9,3.14,3.9,4.48,2.314285714285714
27-2041.00,Music Directors and Composers,4.7,3.64,3.81,2.38,3.55,2.06,2.7,3.92,3.55,2.067657142857142
27-2042.00,Musicians and Singers,3.2,3.07,2.94,1.46,2.3,2.36,2.11,3.76,3.59,1.6761142857142857
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,4.17,4.46,4.25,2.12,3.35,3.36,2.48,4.85,3.61,2.1833142857142853
27-3023.00,"News Analysts, Reporters, and Journalists",4.56,4.36,4.0,2.02,2.92,2.62,2.8,4.89,3.89,1.4818285714285715
27-3031.00,Public Relations Specialists,3.81,4.1,4.05,2.09,3.5,2.86,3.14,4.55,3.82,3.59
27-3041.00,Editors,4.07,4.33,4.15,1.96,3.36,2.43,2.9,4.57,3.26,1.7437142857142858
27-3042.00,Technical Writers,4.4,3.58,3.43,1.73,2.58,2.37,2.75,4.23,3.02,1.7567999999999997
27-3043.00,Writers and Authors,3.56,4.54,4.38,1.33,3.58,1.85,3.1,4.7,4.46,2.564285714285714
27-3043.05,"Poets, Lyricists and Creative Writers",4.64,1.86,2.27,1.32,1.71,1.57,1.95,3.18,4.32,2.3335
27-3091.00,Interpreters and Translators,4.06,4.52,4.14,1.91,3.28,3.56,2.92,4.02,3.89,1.6518857142857142
27-3092.00,Court Reporters and Simultaneous Captioners,4.2,3.42,3.31,1.87,2.12,2.29,2.57,4.43,2.85,1.4312285714285715
27-4011.00,Audio and Video Technicians,4.45,3.62,3.96,3.09,4.05,2.25,2.8,3.88,2.72,1.6957857142857145
27-4012.00,Broadcast Technicians,3.84,3.92,4.15,2.65,3.68,3.17,2.37,3.92,2.71,1.9615428571428573
27-4014.00,Sound Engineering Technicians,4.24,3.29,3.56,2.4,3.41,2.62,2.83,4.2,4.48,2.0459428571428573
27-4021.00,Photographers,4.14,3.5,3.27,2.91,3.32,2.27,2.5,3.91,4.24,2.307785714285714
27-4031.00,"Camera Operators, Television, Video, and Film",3.45,3.34,3.58,2.81,3.34,3.44,2.97,3.91,2.99,1.7755
27-4032.00,Film and Video Editors,4.06,2.74,2.78,1.67,2.73,2.57,2.68,4.7,3.58,2.3520000000000003
29-1011.00,Chiropractors,4.96,4.55,4.58,3.5,3.91,3.66,2.99,3.58,3.2,2.7399999999999998
29-1021.00,"Dentists, General",4.67,4.89,4.84,4.6,4.77,4.21,3.53,3.78,3.83,2.378157142857143
29-1022.00,Oral and Maxillofacial Surgeons,4.93,4.8,4.94,4.85,4.76,4.1,3.51,3.58,4.05,2.2720571428571428
29-1023.00,Orthodontists,4.81,4.62,4.65,4.71,4.86,2.71,2.97,4.34,4.18,2.5544714285714285
29-1024.00,Prosthodontists,4.95,4.55,4.56,4.82,4.92,3.72,3.2,3.85,3.66,2.781428571428571
29-1031.00,Dietitians and Nutritionists,4.55,3.31,3.03,3.3,2.93,2.34,2.57,3.83,3.23,2.254857142857143
29-1041.00,Optometrists,4.71,4.55,4.33,3.85,3.58,3.2,3.43,4.05,3.55,2.5383285714285715
29-1051.00,Pharmacists,4.59,4.78,4.7,3.7,4.52,4.83,3.52,4.67,3.68,1.452457142857143
29-1071.00,Physician Assistants,4.73,4.59,4.7,3.89,3.46,4.46,3.65,4.35,4.24,2.1670857142857143
29-1071.01,Anesthesiologist Assistants,4.14,3.53,3.52,4.41,3.91,3.86,3.37,3.8,3.14,2.038142857142857
29-1081.00,Podiatrists,5.0,4.73,4.68,4.22,4.53,3.68,3.55,4.38,4.02,2.073914285714286
29-1122.00,Occupational Therapists,4.41,4.36,4.14,3.86,2.73,2.86,2.77,3.95,3.23,3.2095857142857143
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",4.73,3.65,3.57,2.87,2.3,3.04,2.09,2.96,2.09,2.428714285714286
29-1123.00,Physical Therapists,4.75,4.59,4.51,4.12,4.12,3.75,3.2,4.24,2.57,2.528057142857143
29-1124.00,Radiation Therapists,4.14,4.17,4.3,3.83,3.73,4.53,3.43,4.46,3.92,1.644285714285714
29-1125.00,Recreational Therapists,4.26,3.21,3.16,3.87,3.0,2.47,3.45,3.68,2.55,2.2565285714285714
29-1126.00,Respiratory Therapists,3.89,4.66,4.4,3.79,3.07,4.52,3.4,4.09,2.92,2.043428571428572
29-1127.00,Speech-Language Pathologists,4.61,4.25,4.01,2.98,2.61,3.18,2.78,4.59,2.67,3.046342857142857
29-1128.00,Exercise Physiologists,4.25,3.55,3.36,3.36,2.82,2.86,2.68,3.14,3.27,2.2566571428571427
29-1129.01,Art Therapists,4.42,3.68,3.52,3.06,2.32,3.0,3.42,3.68,3.06,2.7724
29-1129.02,Music Therapists,4.58,3.27,3.27,2.65,2.0,2.12,3.04,3.42,2.5,2.9059428571428567
29-1131.00,Veterinarians,4.76,4.78,4.55,4.2,4.09,4.09,3.59,4.21,3.27,1.7369285714285714
29-1141.00,Registered Nurses,4.1,4.06,4.29,4.19,3.94,3.94,3.82,3.99,2.89,2.1881714285714287
29-1141.01,Acute Care Nurses,4.05,4.24,4.1,4.05,3.52,4.5,4.05,4.52,2.9,1.93
29-1141.02,Advanced Practice Psychiatric Nurses,4.65,3.7,4.17,3.57,2.7,3.52,3.39,4.35,3.39,2.725314285714286
29-1141.03,Critical Care Nurses,3.88,4.62,4.33,3.86,3.39,4.85,4.04,4.25,3.29,2.036914285714285
29-1141.04,Clinical Nurse Specialists,4.48,4.05,4.25,3.81,4.14,3.86,3.62,3.48,2.86,2.7207142857142856
29-1151.00,Nurse Anesthetists,4.7,4.19,4.44,4.48,3.5,4.77,3.78,4.11,4.5,2.534885714285714
29-1161.00,Nurse Midwives,4.67,4.75,4.52,4.0,3.38,4.69,3.73,3.82,2.94,2.3838285714285714
29-1171.00,Nurse Practitioners,4.7,4.57,4.35,3.91,3.52,4.39,3.3,4.09,3.3,2.1448857142857145
29-1181.00,Audiologists,4.59,4.45,4.14,3.43,3.05,2.59,2.95,3.55,3.32,2.355542857142857
29-1211.00,Anesthesiologists,4.73,4.71,4.73,4.22,3.85,4.53,3.21,4.0,3.81,2.198242857142857
29-1213.00,Dermatologists,4.99,4.48,4.3,4.64,4.2,4.19,2.89,3.81,3.69,2.3158857142857143
29-1214.00,Emergency Medicine Physicians,4.93,4.6,4.73,4.28,3.9,4.93,4.5,4.2,4.37,1.8609142857142855
29-1215.00,Family Medicine Physicians,4.98,5.0,4.99,3.71,4.23,4.97,3.57,4.72,2.16,1.9919714285714285
29-1216.00,General Internal Medicine Physicians,4.84,4.39,4.18,4.04,3.58,4.32,2.76,4.08,2.71,2.066628571428572
29-1217.00,Neurologists,4.92,4.78,4.86,3.97,4.04,4.56,3.02,4.27,3.65,2.9717714285714285
29-1218.00,Obstetricians and Gynecologists,4.82,4.65,4.8,3.86,4.46,3.85,3.27,3.92,2.95,2.554
29-1221.00,"Pediatricians, General",4.85,4.67,4.65,3.84,4.11,3.64,3.18,3.14,3.23,1.9597714285714285
29-1222.00,"Physicians, Pathologists",4.61,4.61,4.76,2.69,3.32,4.42,2.71,4.9,3.99,2.0619428571428573
29-1223.00,Psychiatrists,4.87,4.42,4.17,3.0,3.24,3.9,3.89,4.05,3.09,2.4015142857142857
29-1224.00,Radiologists,4.49,4.57,4.33,3.6,3.82,3.85,2.84,4.43,3.75,2.308114285714286
29-1229.01,Allergists and Immunologists,4.75,4.42,4.36,3.91,4.08,4.2,3.3,4.04,3.54,2.766728571428572
29-1229.02,Hospitalists,4.58,4.88,4.75,3.96,3.92,4.46,4.2,4.44,3.52,2.330285714285714
29-1229.03,Urologists,4.99,4.36,4.34,4.84,4.76,3.87,3.33,4.77,3.49,3.1918
29-1229.04,Physical Medicine and Rehabilitation Physicians,4.91,4.51,4.8,3.87,4.17,4.24,3.44,4.03,3.57,2.6947
29-1229.05,Preventive Medicine Physicians,4.63,4.39,4.32,4.21,3.94,3.61,3.32,3.95,3.5,3.0436428571428573
29-1229.06,Sports Medicine Physicians,5.0,4.99,4.83,3.0,4.36,4.7,3.56,3.87,3.63,2.3176
29-1241.00,"Ophthalmologists, Except Pediatric",5.0,4.99,4.94,3.67,4.13,4.91,3.52,4.61,4.42,3.284957142857144
29-1291.00,Acupuncturists,4.79,3.86,3.55,3.61,2.18,3.29,2.31,3.03,3.14,2.0974
29-1292.00,Dental Hygienists,3.98,4.35,4.33,3.1,2.2,3.34,2.06,3.74,2.98,2.367857142857143
29-1299.01,Naturopathic Physicians,4.68,4.44,4.24,3.48,2.8,3.67,3.16,3.88,2.64,2.352457142857143
29-1299.02,Orthoptists,4.14,4.04,3.75,2.93,3.04,2.7,2.68,3.56,2.78,1.7369285714285714
29-2011.00,Medical and Clinical Laboratory Technologists,4.29,4.4,4.12,3.59,3.45,3.98,2.96,4.36,2.6,1.9742857142857144
29-2011.01,Cytogenetic Technologists,3.67,4.76,4.52,3.52,2.89,4.24,2.38,4.81,2.67,1.5797714285714286
29-2011.02,Cytotechnologists,4.43,3.86,4.0,3.05,2.59,4.18,2.05,3.77,2.45,1.3674857142857144
29-2011.04,Histotechnologists,3.71,3.81,3.29,3.71,3.14,4.14,2.76,4.86,2.43,1.5916571428571429
29-2012.00,Medical and Clinical Laboratory Technicians,3.88,3.43,3.56,3.38,2.71,3.76,2.87,3.78,2.27,1.914642857142857
29-2012.01,Histology Technicians,3.64,3.32,3.2,3.96,3.04,4.32,2.56,4.46,2.25,1.4224
29-2031.00,Cardiovascular Technologists and Technicians,3.9,4.32,4.28,3.58,3.29,3.77,3.38,4.3,2.72,1.699285714285714
29-2032.00,Diagnostic Medical Sonographers,4.18,4.28,4.04,3.2,2.7,3.5,2.95,4.02,2.99,1.637714285714286
29-2033.00,Nuclear Medicine Technologists,4.45,4.47,4.24,3.56,3.29,4.41,3.22,4.1,3.83,1.5638285714285716
29-2034.00,Radiologic Technologists and Technicians,4.01,4.78,4.32,4.0,3.3,3.4,3.13,3.66,3.22,1.3857
29-2035.00,Magnetic Resonance Imaging Technologists,4.3,3.61,3.65,4.65,3.43,4.0,3.09,3.91,3.17,1.8652
29-2036.00,Medical Dosimetrists,3.9,4.05,4.15,3.15,3.15,4.5,2.6,5.0,3.4,2.3091428571428567
29-2051.00,Dietetic Technicians,4.15,3.8,3.59,4.54,4.15,3.0,3.74,4.31,3.42,1.882442857142857
29-2052.00,Pharmacy Technicians,3.28,3.86,3.99,3.4,3.39,4.01,3.63,4.26,2.95,1.5646857142857142
29-2053.00,Psychiatric Technicians,3.76,3.48,2.38,3.54,3.06,2.77,4.17,3.46,2.48,1.2595714285714286
29-2055.00,Surgical Technologists,3.78,4.66,4.51,4.35,3.98,4.26,2.99,3.82,3.19,1.8451
