O*NET-SOC Code,Title,Degree of Automation,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Spend Time Making Repetitive Motions,Time Pressure
27-2023.00,"Umpires, Referees, and Other Sports Officials",1.43,2.62,1.32,2.48,3.05
27-2031.00,Dancers,1.85,3.71,1.67,4.38,2.94
27-2032.00,Choreographers,1.1,2.9,1.2,4.19,3.9
27-2041.00,Music Directors and Composers,1.35,3.35,1.15,3.37,3.92
27-2042.00,Musicians and Singers,1.06,3.45,1.76,3.26,3.76
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,2.58,3.4,2.66,2.53,4.85
27-3023.00,"News Analysts, Reporters, and Journalists",2.04,3.04,1.7,2.91,4.89
27-3031.00,Public Relations Specialists,2.14,2.36,1.09,2.29,4.55
27-3041.00,Editors,1.77,4.05,1.05,3.38,4.57
27-3042.00,Technical Writers,2.07,4.52,1.23,4.01,4.23
27-3043.00,Writers and Authors,1.31,3.13,1.01,2.17,4.7
27-3043.05,"Poets, Lyricists and Creative Writers",1.33,3.77,1.1,3.38,3.18
27-3091.00,Interpreters and Translators,1.8,4.46,1.59,2.62,4.02
27-3092.00,Court Reporters and Simultaneous Captioners,2.35,3.85,1.83,3.72,4.43
27-4011.00,Audio and Video Technicians,1.68,4.1,2.45,3.12,3.88
27-4012.00,Broadcast Technicians,2.69,3.07,2.24,2.21,3.92
27-4014.00,Sound Engineering Technicians,2.0,3.25,1.52,3.56,4.2
27-4021.00,Photographers,1.86,3.05,1.45,3.05,3.91
27-4031.00,"Camera Operators, Television, Video, and Film",1.8,3.54,2.03,3.32,3.91
27-4032.00,Film and Video Editors,2.09,2.76,1.19,2.24,4.7
29-1011.00,Chiropractors,2.07,4.26,1.13,3.7,3.58
29-1021.00,"Dentists, General",2.03,4.26,1.78,4.61,3.78
29-1022.00,Oral and Maxillofacial Surgeons,1.72,3.29,1.26,3.4,3.58
29-1023.00,Orthodontists,2.11,3.68,2.17,3.39,4.34
29-1024.00,Prosthodontists,1.74,3.96,1.41,4.22,3.85
29-1031.00,Dietitians and Nutritionists,1.72,2.5,1.1,1.72,3.83
29-1041.00,Optometrists,2.3,3.95,1.35,3.65,4.05
29-1051.00,Pharmacists,2.64,4.49,1.53,4.05,4.67
29-1071.00,Physician Assistants,1.54,3.16,1.16,2.49,4.35
29-1071.01,Anesthesiologist Assistants,1.52,3.89,2.25,3.19,3.8
29-1081.00,Podiatrists,1.82,3.45,1.02,2.88,4.38
29-1122.00,Occupational Therapists,1.14,2.68,1.0,2.09,3.95
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",1.3,2.04,1.0,1.96,2.96
29-1123.00,Physical Therapists,1.31,3.75,1.15,3.04,4.24
29-1124.00,Radiation Therapists,2.92,4.68,3.8,4.01,4.46
29-1125.00,Recreational Therapists,1.61,2.63,1.24,2.34,3.68
29-1126.00,Respiratory Therapists,2.38,3.63,1.96,2.81,4.09
29-1127.00,Speech-Language Pathologists,1.57,2.63,1.46,1.91,4.59
29-1128.00,Exercise Physiologists,1.64,2.95,1.41,2.59,3.14
29-1129.01,Art Therapists,1.32,2.39,1.03,2.1,3.68
29-1129.02,Music Therapists,1.19,2.65,1.23,3.28,3.42
29-1131.00,Veterinarians,1.79,3.17,1.64,2.96,4.21
29-1141.00,Registered Nurses,2.38,3.94,1.43,2.65,3.99
29-1141.01,Acute Care Nurses,1.48,3.62,1.76,3.1,4.52
29-1141.02,Advanced Practice Psychiatric Nurses,1.82,3.05,1.3,2.74,4.35
29-1141.03,Critical Care Nurses,1.79,3.5,1.74,2.7,4.25
29-1141.04,Clinical Nurse Specialists,1.52,2.95,1.33,2.52,3.48
29-1151.00,Nurse Anesthetists,2.23,4.15,1.85,3.07,4.11
29-1161.00,Nurse Midwives,1.62,3.09,1.09,2.52,3.82
29-1171.00,Nurse Practitioners,2.04,3.48,1.18,2.73,4.09
29-1181.00,Audiologists,2.14,2.41,1.23,2.29,3.55
29-1211.00,Anesthesiologists,2.35,3.78,1.99,2.26,4.0
29-1213.00,Dermatologists,1.69,2.47,1.04,2.39,3.81
29-1214.00,Emergency Medicine Physicians,1.7,3.6,1.2,2.67,4.2
29-1215.00,Family Medicine Physicians,2.33,2.77,1.04,1.5,4.72
29-1216.00,General Internal Medicine Physicians,2.22,3.64,1.68,2.36,4.08
29-1217.00,Neurologists,1.7,3.1,1.36,1.94,4.27
29-1218.00,Obstetricians and Gynecologists,1.96,3.02,1.4,2.34,3.92
29-1221.00,"Pediatricians, General",1.56,2.68,1.02,2.58,3.14
29-1222.00,"Physicians, Pathologists",2.23,4.1,2.27,3.88,4.9
29-1223.00,Psychiatrists,1.64,2.41,1.07,1.92,4.05
29-1224.00,Radiologists,2.26,4.43,1.19,4.21,4.43
29-1229.01,Allergists and Immunologists,1.84,3.18,1.47,2.84,4.04
29-1229.02,Hospitalists,1.72,2.92,1.24,2.13,4.44
29-1229.03,Urologists,2.37,4.42,2.33,1.84,4.77
29-1229.04,Physical Medicine and Rehabilitation Physicians,1.69,3.1,1.36,2.24,4.03
29-1229.05,Preventive Medicine Physicians,1.89,2.33,1.29,2.0,3.95
29-1229.06,Sports Medicine Physicians,1.45,3.11,1.09,1.88,3.87
29-1241.00,"Ophthalmologists, Except Pediatric",1.27,4.13,1.0,3.7,4.61
29-1291.00,Acupuncturists,1.18,3.04,1.04,3.21,3.03
29-1292.00,Dental Hygienists,1.71,4.3,1.41,5.0,3.74
29-1299.01,Naturopathic Physicians,1.64,2.64,1.08,2.04,3.88
29-1299.02,Orthoptists,1.48,3.37,1.11,3.19,3.56
29-2011.00,Medical and Clinical Laboratory Technologists,3.27,4.38,3.03,3.44,4.36
29-2011.01,Cytogenetic Technologists,2.71,4.71,1.86,4.33,4.81
29-2011.02,Cytotechnologists,2.5,4.5,1.41,4.68,3.77
29-2011.04,Histotechnologists,2.81,4.45,2.8,4.71,4.86
29-2012.00,Medical and Clinical Laboratory Technicians,3.12,4.33,2.91,3.89,3.78
29-2012.01,Histology Technicians,3.04,4.33,2.87,4.76,4.46
29-2031.00,Cardiovascular Technologists and Technicians,2.07,4.11,2.68,4.03,4.3
29-2032.00,Diagnostic Medical Sonographers,2.02,4.66,1.74,4.72,4.02
29-2033.00,Nuclear Medicine Technologists,2.49,3.48,3.23,2.53,4.1
29-2034.00,Radiologic Technologists and Technicians,2.39,3.89,2.13,3.69,3.66
29-2035.00,Magnetic Resonance Imaging Technologists,2.59,4.0,3.73,3.36,3.91
29-2036.00,Medical Dosimetrists,2.65,4.21,2.45,3.85,5.0
29-2051.00,Dietetic Technicians,2.75,3.37,1.41,3.19,4.31
29-2052.00,Pharmacy Technicians,2.44,4.39,2.29,4.06,4.26
29-2053.00,Psychiatric Technicians,2.16,2.95,1.2,2.32,3.46
29-2055.00,Surgical Technologists,1.89,4.01,1.89,3.68,3.82
29-2056.00,Veterinary Technologists and Technicians,1.98,3.4,1.52,2.83,3.96
29-2057.00,Ophthalmic Medical Technicians,2.73,3.62,1.23,3.82,3.32
29-2061.00,Licensed Practical and Licensed Vocational Nurses,2.21,3.9,1.77,3.27,4.38
29-2081.00,"Opticians, Dispensing",2.29,3.88,1.92,2.71,4.04
29-2091.00,Orthotists and Prosthetists,1.71,3.0,1.71,2.43,4.29
29-2092.00,Hearing Aid Specialists,1.98,3.02,1.4,2.24,3.94
29-2099.01,Neurodiagnostic Technologists,2.06,3.81,1.72,3.13,4.26
29-2099.05,Ophthalmic Medical Technologists,2.5,3.2,1.35,2.9,3.45
29-2099.08,Patient Representatives,2.72,4.53,1.59,3.31,3.09
29-9091.00,Athletic Trainers,2.14,3.63,1.26,2.71,3.6
29-9092.00,Genetic Counselors,1.57,2.57,1.0,1.74,3.91
29-9093.00,Surgical Assistants,2.0,3.69,1.82,2.98,3.33
29-9099.01,Midwives,1.23,2.75,1.01,1.74,2.8
31-1121.00,Home Health Aides,1.79,2.81,1.73,3.24,3.43
31-1122.00,Personal Care Aides,2.22,3.55,1.63,3.12,4.08
31-1131.00,Nursing Assistants,1.77,3.46,2.31,3.48,3.71
31-1132.00,Orderlies,2.66,4.13,2.49,4.25,4.23
31-1133.00,Psychiatric Aides,1.89,3.72,1.07,2.9,3.71
31-2011.00,Occupational Therapy Assistants,2.0,4.07,1.56,3.55,4.7
31-2012.00,Occupational Therapy Aides,1.46,3.13,1.17,2.97,4.11
31-2021.00,Physical Therapist Assistants,1.43,3.21,1.02,3.6,3.52
31-2022.00,Physical Therapist Aides,1.64,2.82,1.42,3.21,3.04
31-9011.00,Massage Therapists,1.31,3.23,1.08,4.35,2.28
31-9091.00,Dental Assistants,1.93,3.93,2.02,3.85,3.44
31-9092.00,Medical Assistants,2.06,4.04,1.05,3.31,3.8
31-9093.00,Medical Equipment Preparers,2.05,4.43,3.36,4.49,4.28
31-9094.00,Medical Transcriptionists,2.73,4.48,1.94,2.97,4.11
31-9095.00,Pharmacy Aides,2.89,3.79,1.95,3.63,3.47
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,1.67,4.0,1.12,3.26,3.78
31-9097.00,Phlebotomists,2.33,4.23,2.5,4.45,4.45
31-9099.01,Speech-Language Pathology Assistants,1.87,2.83,1.0,2.13,3.46
31-9099.02,Endoscopy Technicians,2.58,3.92,3.12,3.88,3.73
33-1011.00,First-Line Supervisors of Correctional Officers,1.89,3.63,1.11,2.41,4.16
33-1012.00,First-Line Supervisors of Police and Detectives,1.94,3.4,1.25,2.77,3.5
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,1.66,3.13,1.62,2.62,3.53
33-1091.00,First-Line Supervisors of Security Workers,3.24,3.68,1.17,2.92,3.41
33-2011.00,Firefighters,1.74,3.44,1.81,2.76,3.6
33-2021.00,Fire Inspectors and Investigators,2.01,3.08,1.13,2.65,3.94
33-2022.00,Forest Fire Inspectors and Prevention Specialists,2.28,3.56,2.14,3.37,3.81
33-3011.00,Bailiffs,1.64,3.04,1.0,2.22,3.24
33-3012.00,Correctional Officers and Jailers,2.17,4.25,1.63,2.59,4.45
33-3021.00,Detectives and Criminal Investigators,2.19,3.87,1.34,2.68,3.78
33-3021.02,Police Identification and Records Officers,1.92,3.25,1.24,2.67,3.17
33-3021.06,Intelligence Analysts,2.3,3.77,1.18,2.83,3.78
33-3031.00,Fish and Game Wardens,2.5,2.84,1.06,2.48,3.94
33-3041.00,Parking Enforcement Workers,2.53,3.45,2.94,3.97,2.83
33-3051.00,Police and Sheriff's Patrol Officers,2.0,3.67,1.31,2.65,3.96
33-3051.04,Customs and Border Protection Officers,3.3,4.13,1.83,3.54,3.86
33-3052.00,Transit and Railroad Police,1.92,3.28,1.78,2.97,3.8
33-9011.00,Animal Control Workers,1.35,3.54,1.15,2.81,3.96
33-9021.00,Private Detectives and Investigators,2.01,3.43,1.41,2.74,4.32
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,2.16,4.53,2.14,3.43,3.14
33-9032.00,Security Guards,2.2,4.42,2.53,2.17,3.05
33-9091.00,Crossing Guards and Flaggers,1.44,2.09,1.13,3.79,2.21
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1.99,2.77,1.64,2.56,2.98
33-9093.00,Transportation Security Screeners,2.63,3.7,2.88,4.07,3.41
33-9099.02,Retail Loss Prevention Specialists,2.2,3.78,1.89,2.33,3.45
35-1011.00,Chefs and Head Cooks,1.78,3.79,1.96,4.38,4.75
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2.71,3.58,1.82,3.72,3.44
35-2011.00,"Cooks, Fast Food",2.18,2.1,2.05,2.42,3.26
35-2012.00,"Cooks, Institution and Cafeteria",2.0,2.61,2.23,3.72,4.4
35-2013.00,"Cooks, Private Household",1.54,2.77,1.31,3.65,4.15
35-2014.00,"Cooks, Restaurant",2.3,3.26,2.42,4.06,3.03
35-2015.00,"Cooks, Short Order",1.42,2.55,1.84,3.81,3.52
35-2021.00,Food Preparation Workers,2.5,3.27,2.17,3.25,3.91
35-3011.00,Bartenders,2.03,3.09,1.16,3.73,1.75
35-3023.00,Fast Food and Counter Workers,2.43,3.83,2.06,4.1,2.4
35-3023.01,Baristas,2.65,2.98,1.89,4.11,2.14
35-3031.00,Waiters and Waitresses,2.64,3.05,1.24,3.63,2.79
35-3041.00,"Food Servers, Nonrestaurant",2.09,3.67,2.55,3.59,4.43
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1.69,2.25,1.66,4.15,2.87
35-9021.00,Dishwashers,1.6,1.89,2.68,3.38,3.35
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.08,2.71,1.23,4.2,2.18
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2.13,3.43,2.44,3.33,4.36
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",2.37,2.95,2.67,2.76,4.29
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.8,2.84,1.64,3.29,2.96
37-2012.00,Maids and Housekeeping Cleaners,2.06,2.74,1.8,4.77,3.9
37-2021.00,Pest Control Workers,2.04,3.42,1.87,3.72,4.14
37-3011.00,Landscaping and Groundskeeping Workers,2.49,2.28,3.85,3.18,3.28
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1.7,3.16,2.34,3.42,4.17
37-3013.00,Tree Trimmers and Pruners,1.43,3.02,2.03,3.53,3.71
39-1013.00,First-Line Supervisors of Gambling Services Workers,2.55,4.35,2.44,3.14,4.0
39-1022.00,First-Line Supervisors of Personal Service Workers,1.99,3.54,1.27,2.88,4.4
39-2011.00,Animal Trainers,1.34,2.57,1.06,3.4,2.89
39-2021.00,Animal Caretakers,1.12,3.15,1.08,3.1,3.32
39-3011.00,Gambling Dealers,1.43,3.72,1.78,4.14,2.32
39-3012.00,Gambling and Sports Book Writers and Runners,2.76,4.28,2.57,4.04,2.71
39-3021.00,Motion Picture Projectionists,3.34,2.61,2.7,2.57,3.56
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2.19,2.91,1.88,3.31,2.46
39-3091.00,Amusement and Recreation Attendants,1.79,3.09,1.78,3.39,1.98
39-3092.00,Costume Attendants,1.51,3.18,1.72,3.67,4.21
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",1.65,2.78,1.25,3.38,3.24
39-4011.00,Embalmers,1.73,3.54,1.58,2.59,4.74
39-4021.00,Funeral Attendants,1.68,2.5,1.27,2.06,3.66
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",1.28,3.41,1.08,2.02,3.74
39-5011.00,Barbers,2.12,2.83,1.69,4.38,2.39
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",1.6,3.61,1.49,4.71,3.41
39-5091.00,"Makeup Artists, Theatrical and Performance",1.29,2.38,1.33,3.76,4.5
39-5092.00,Manicurists and Pedicurists,1.07,1.85,1.68,4.54,2.23
39-5093.00,Shampooers,1.8,2.54,1.79,4.42,3.33
39-5094.00,Skincare Specialists,1.42,3.14,2.18,3.49,2.59
39-6011.00,Baggage Porters and Bellhops,1.91,3.12,1.99,2.54,2.38
39-6012.00,Concierges,2.0,2.45,1.09,2.24,3.86
39-7011.00,Tour Guides and Escorts,1.42,2.09,1.59,1.96,3.41
39-7012.00,Travel Guides,2.29,3.15,2.01,2.51,4.07
39-9011.00,Childcare Workers,1.79,2.33,1.18,2.96,3.49
39-9011.01,Nannies,1.2,2.8,1.08,2.84,2.88
39-9031.00,Exercise Trainers and Group Fitness Instructors,1.48,3.1,1.43,3.62,2.95
39-9032.00,Recreation Workers,1.77,3.44,1.08,2.24,3.3
39-9041.00,Residential Advisors,1.55,3.24,1.02,1.84,3.67
41-1011.00,First-Line Supervisors of Retail Sales Workers,1.95,3.59,1.22,2.71,4.22
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,2.11,3.69,1.78,3.23,4.64
41-2011.00,Cashiers,1.82,3.34,1.86,3.22,3.06
41-2012.00,Gambling Change Persons and Booth Cashiers,2.03,4.46,1.99,4.56,3.38
41-2021.00,Counter and Rental Clerks,2.12,3.68,1.45,2.82,3.27
41-2022.00,Parts Salespersons,1.8,4.01,1.36,3.1,4.07
41-2031.00,Retail Salespersons,2.16,3.53,1.14,2.76,3.42
41-3011.00,Advertising Sales Agents,1.7,2.67,1.28,1.99,4.46
41-3021.00,Insurance Sales Agents,2.76,3.79,1.0,2.16,4.52
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",2.59,3.17,1.24,2.2,3.86
41-3041.00,Travel Agents,3.8,3.12,1.22,3.08,3.73
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.16,2.8,1.72,2.1,3.93
41-4011.07,Solar Sales Representatives and Assessors,2.12,2.97,1.2,2.01,3.22
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2.43,3.44,1.14,2.49,3.78
41-9011.00,Demonstrators and Product Promoters,1.45,2.91,1.48,3.68,3.82
41-9012.00,Models,1.33,2.57,1.09,1.93,1.67
41-9021.00,Real Estate Brokers,2.7,3.04,1.37,1.92,3.92
41-9022.00,Real Estate Sales Agents,2.25,2.9,1.15,1.95,4.52
41-9031.00,Sales Engineers,1.62,2.93,1.11,2.06,4.02
41-9041.00,Telemarketers,3.09,4.17,1.94,3.54,3.74
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1.88,2.04,1.04,1.79,3.04
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,2.33,3.07,1.1,3.17,4.04
43-2011.00,"Switchboard Operators, Including Answering Service",2.31,3.58,1.08,3.61,3.22
43-2021.00,Telephone Operators,2.63,3.86,2.69,4.11,3.69
43-3011.00,Bill and Account Collectors,2.86,4.3,1.09,2.66,3.9
43-3021.00,Billing and Posting Clerks,2.19,4.34,1.65,3.45,3.93
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",2.36,4.65,1.28,4.14,3.87
43-3041.00,Gambling Cage Workers,2.36,4.84,2.34,4.11,4.07
43-3051.00,Payroll and Timekeeping Clerks,2.79,4.57,1.32,3.0,4.25
43-3061.00,Procurement Clerks,1.99,4.57,1.18,2.62,3.42
43-3071.00,Tellers,2.45,4.72,1.86,4.57,3.53
43-4011.00,Brokerage Clerks,3.28,4.51,1.71,3.44,4.61
43-4021.00,Correspondence Clerks,3.04,4.6,1.84,3.62,3.83
43-4031.00,"Court, Municipal, and License Clerks",2.57,4.24,1.43,3.53,4.08
43-4041.00,"Credit Authorizers, Checkers, and Clerks",2.97,4.33,1.33,3.88,4.67
43-4051.00,Customer Service Representatives,2.26,4.45,1.4,4.2,4.55
43-4061.00,"Eligibility Interviewers, Government Programs",1.96,4.36,1.16,3.54,4.28
43-4071.00,File Clerks,2.02,4.06,1.83,3.06,4.15
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2.64,3.88,1.45,3.79,3.2
43-4111.00,"Interviewers, Except Eligibility and Loan",2.63,4.63,1.93,3.91,4.2
43-4121.00,"Library Assistants, Clerical",2.26,3.7,1.49,3.52,3.38
43-4131.00,Loan Interviewers and Clerks,2.96,4.31,1.51,3.15,4.53
43-4141.00,New Accounts Clerks,3.05,4.43,1.1,3.58,3.97
43-4151.00,Order Clerks,2.48,3.47,1.61,3.14,4.16
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",2.55,4.36,1.13,3.46,4.27
43-4171.00,Receptionists and Information Clerks,2.32,3.74,1.47,3.79,2.71
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,3.61,4.92,2.62,3.52,4.49
43-5011.00,Cargo and Freight Agents,1.84,2.89,1.72,2.78,3.96
43-5011.01,Freight Forwarders,2.22,4.27,2.25,2.4,4.95
43-5021.00,Couriers and Messengers,2.37,3.48,1.44,3.7,4.71
43-5031.00,Public Safety Telecommunicators,2.13,4.87,1.79,4.38,4.22
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2.43,4.5,2.0,3.83,4.48
43-5041.00,"Meter Readers, Utilities",2.63,3.9,3.12,4.09,3.97
43-5051.00,Postal Service Clerks,2.57,3.96,1.77,3.97,3.67
43-5052.00,Postal Service Mail Carriers,2.42,4.26,1.13,4.64,4.12
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",3.73,3.66,3.93,4.54,4.69
43-5061.00,"Production, Planning, and Expediting Clerks",1.91,3.48,3.39,3.19,4.55
43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.74,4.37,3.08,2.7,4.57
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2.34,4.17,3.8,3.41,4.26
43-6011.00,Executive Secretaries and Executive Administrative Assistants,2.06,3.83,1.13,3.28,3.86
43-6012.00,Legal Secretaries and Administrative Assistants,1.94,4.19,1.53,3.06,4.01
43-6013.00,Medical Secretaries and Administrative Assistants,2.11,4.6,1.39,3.04,3.95
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.79,4.3,1.19,3.03,4.09
43-9021.00,Data Entry Keyers,2.85,4.81,1.85,4.58,4.21
43-9022.00,Word Processors and Typists,2.33,4.62,1.52,4.16,3.96
43-9031.00,Desktop Publishers,2.24,3.26,1.45,3.55,4.52
43-9041.00,Insurance Claims and Policy Processing Clerks,3.19,4.48,1.62,3.88,3.94
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",2.96,4.25,3.41,3.98,4.11
43-9061.00,"Office Clerks, General",2.1,4.22,1.45,3.64,3.77
43-9071.00,"Office Machine Operators, Except Computer",2.42,3.19,3.21,2.68,4.38
43-9081.00,Proofreaders and Copy Markers,2.41,4.67,1.02,4.48,4.7
43-9111.00,Statistical Assistants,2.65,3.44,1.11,3.66,3.63
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",2.2,2.97,2.56,3.03,3.88
45-2011.00,Agricultural Inspectors,2.36,3.92,2.79,3.41,3.9
45-2021.00,Animal Breeders,1.31,2.3,1.27,3.25,2.44
45-2041.00,"Graders and Sorters, Agricultural Products",2.32,2.03,4.04,4.42,4.18
45-2091.00,Agricultural Equipment Operators,2.04,2.41,3.59,2.11,3.4
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1.87,2.23,2.81,3.97,3.74
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.82,2.76,1.52,3.0,2.37
45-3031.00,Fishing and Hunting Workers,1.45,2.5,2.0,3.6,3.05
45-4011.00,Forest and Conservation Workers,1.34,2.54,2.18,2.85,3.0
45-4021.00,Fallers,1.47,2.53,2.76,3.72,2.83
45-4022.00,Logging Equipment Operators,2.15,3.7,4.45,4.09,3.19
45-4023.00,Log Graders and Scalers,2.02,3.66,3.45,3.58,3.81
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,1.58,2.7,2.73,3.18,4.13
47-1011.03,Solar Energy Installation Managers,1.78,3.59,1.67,3.05,4.17
47-2011.00,Boilermakers,1.69,2.87,2.15,3.32,4.09
47-2021.00,Brickmasons and Blockmasons,1.6,2.6,2.11,4.56,4.08
47-2022.00,Stonemasons,1.48,3.3,2.24,4.11,3.67
47-2031.00,Carpenters,1.78,2.97,2.57,3.46,4.43
47-2041.00,Carpet Installers,1.21,2.53,1.42,4.07,4.24
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",1.59,2.28,1.05,3.62,3.32
47-2043.00,Floor Sanders and Finishers,1.82,3.38,3.07,4.57,3.97
47-2044.00,Tile and Stone Setters,1.26,3.01,1.75,4.37,3.57
47-2051.00,Cement Masons and Concrete Finishers,2.46,3.09,4.39,4.5,3.77
47-2053.00,Terrazzo Workers and Finishers,1.5,2.76,3.32,3.82,4.29
47-2061.00,Construction Laborers,1.3,2.65,3.18,2.94,4.11
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2.54,2.96,3.8,3.94,3.46
47-2072.00,Pile Driver Operators,1.6,3.07,3.34,3.73,3.63
47-2073.00,Operating Engineers and Other Construction Equipment Operators,1.32,2.39,3.99,4.19,4.04
47-2081.00,Drywall and Ceiling Tile Installers,1.99,3.47,2.05,4.08,3.73
47-2082.00,Tapers,2.01,2.38,1.64,4.24,3.91
47-2111.00,Electricians,1.14,3.37,2.23,4.34,4.32
47-2121.00,Glaziers,1.43,3.08,2.4,3.64,3.93
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",1.69,2.53,2.25,3.85,4.04
47-2132.00,"Insulation Workers, Mechanical",1.41,2.44,1.55,4.15,4.27
47-2141.00,"Painters, Construction and Maintenance",1.22,3.15,2.15,3.82,4.6
47-2142.00,Paperhangers,1.63,2.98,1.49,4.1,4.03
47-2151.00,Pipelayers,1.48,2.27,3.04,3.29,3.65
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",1.35,3.09,2.15,3.49,4.27
47-2152.04,Solar Thermal Installers and Technicians,1.67,2.58,1.94,2.7,4.38
47-2161.00,Plasterers and Stucco Masons,2.16,2.31,3.06,4.0,3.24
47-2171.00,Reinforcing Iron and Rebar Workers,1.86,3.06,2.89,4.31,4.43
47-2181.00,Roofers,2.06,2.86,2.59,3.67,4.18
47-2211.00,Sheet Metal Workers,2.7,3.28,3.53,4.0,3.98
47-2221.00,Structural Iron and Steel Workers,1.41,2.5,2.83,3.57,4.24
47-2231.00,Solar Photovoltaic Installers,1.48,3.64,2.07,3.76,3.89
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2.04,3.14,3.38,4.16,4.44
47-3012.00,Helpers--Carpenters,1.92,2.5,2.83,3.77,4.0
47-3013.00,Helpers--Electricians,1.5,3.28,1.8,3.84,3.91
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1.51,3.05,2.46,4.0,3.64
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",1.38,2.78,2.65,3.73,3.84
47-3016.00,Helpers--Roofers,2.85,2.64,2.34,3.84,3.1
47-4011.00,Construction and Building Inspectors,2.04,2.84,1.68,2.28,4.08
47-4011.01,Energy Auditors,1.75,2.59,1.5,2.0,4.1
47-4021.00,Elevator and Escalator Installers and Repairers,2.0,3.64,2.54,3.55,4.08
47-4031.00,Fence Erectors,2.39,3.45,2.35,4.14,4.52
47-4041.00,Hazardous Materials Removal Workers,2.1,3.16,2.79,3.49,3.88
47-4051.00,Highway Maintenance Workers,2.29,3.51,3.35,4.22,3.72
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,2.15,3.3,3.64,3.91,3.9
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,1.56,2.97,2.87,3.54,3.82
47-4091.00,Segmental Pavers,2.61,3.23,1.86,3.35,4.06
47-4099.03,Weatherization Installers and Technicians,1.68,3.09,2.48,2.77,3.83
47-5011.00,"Derrick Operators, Oil and Gas",1.66,4.17,3.08,4.28,3.21
47-5012.00,"Rotary Drill Operators, Oil and Gas",1.83,4.39,3.79,3.72,4.1
47-5013.00,"Service Unit Operators, Oil and Gas",2.11,4.09,4.07,3.88,4.35
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",1.73,3.27,3.9,4.1,3.58
47-5023.00,"Earth Drillers, Except Oil and Gas",1.87,2.64,2.95,4.21,3.0
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",2.18,3.38,3.3,3.48,4.35
47-5041.00,Continuous Mining Machine Operators,1.65,3.2,3.86,4.14,3.4
47-5043.00,"Roof Bolters, Mining",1.64,3.76,4.6,4.96,4.79
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",2.16,2.53,3.79,4.04,3.68
47-5051.00,"Rock Splitters, Quarry",1.83,2.4,3.04,3.04,2.61
