fullName,country,politicalGroup,id,nationalPoliticalGroup
Waldemar TOMASZEWSKI,Lithuania,European Conservatives and Reformists Group,96697,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga
Romana TOMC,Slovenia,Group of the European People's Party (Christian Democrats),125104,Slovenska demokratska stranka
Matej TONIN,Slovenia,Group of the European People's Party (Christian Democrats),219652,Nova Slovenija – Krščanski demokrati
Jana TOOM,Estonia,Renew Europe Group,124700,Eesti Keskerakond
Raffaele TOPO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257148,Partito Democratico
Francesco TORSELLI,Italy,European Conservatives and Reformists Group,257163,FRATELLI D' ITALIA
Flavio TOSI,Italy,Group of the European People's Party (Christian Democrats),124795,Forza Italia
Marie TOUSSAINT,France,Group of the Greens/European Free Alliance,97236,Les Écologistes
Isabella TOVAGLIERI,Italy,Patriots for Europe Group,197580,Lega
Pekka TOVERI,Finland,Group of the European People's Party (Christian Democrats),256804,Kansallinen Kokoomus
Pasquale TRIDICO,Italy,The Left group in the European Parliament - GUE/NGL,257133,Movimento 5 Stelle
Laurence TROCHU,France,European Conservatives and Reformists Group,256925,Identité Libertés
Dimitris TSIODRAS,Greece,Group of the European People's Party (Christian Democrats),256950,Nea Demokratia
Mihai TUDOSE,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198183,Partidul Social Democrat
Sebastian TYNKKYNEN,Finland,European Conservatives and Reformists Group,256806,Perussuomalaiset
Stanisław TYSZKA,Poland,Europe of Sovereign Nations Group,257062,Konfederacja Wolność i Niepodległość
Milan UHRÍK,Slovakia,Europe of Sovereign Nations Group,197763,Hnutie Republika
Nils UŠAKOVS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197810,"""Saskaņa"" sociāldemokrātiskā partija"
Inese VAIDERE,Latvia,Group of the European People's Party (Christian Democrats),28617,Jaunā Vienotība
Ivaylo VALCHEV,Bulgaria,European Conservatives and Reformists Group,257258,There Is Such a People
Adina VĂLEAN,Romania,Group of the European People's Party (Christian Democrats),37324,Partidul Naţional Liberal
Matthieu VALET,France,Patriots for Europe Group,256875,Rassemblement national
Kathleen VAN BREMPT,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5729,Vooruit
Anouk VAN BRUG,Netherlands,Renew Europe Group,257438,Volkspartij voor Vrijheid en Democratie
Brigitte VAN DEN BERG,Netherlands,Renew Europe Group,256976,Democraten 66
Tom VANDENDRIESSCHE,Belgium,Patriots for Europe Group,185771,Vlaams Belang
Kris VAN DIJCK,Belgium,European Conservatives and Reformists Group,256884,Nieuw-Vlaamse Alliantie
Reinier VAN LANSCHOT,Netherlands,Group of the Greens/European Free Alliance,256978,Volt
Jessika VAN LEEUWEN,Netherlands,Group of the European People's Party (Christian Democrats),256983,BoerBurgerBeweging
Roberto VANNACCI,Italy,Non-attached Members,257125,Lega
Johan VAN OVERTVELDT,Belgium,European Conservatives and Reformists Group,125106,Nieuw-Vlaamse Alliantie
Kim VAN SPARRENTAK,Netherlands,Group of the Greens/European Free Alliance,197870,GroenLinks-PvdA
Alexandre VARAUT,France,Patriots for Europe Group,5736,Rassemblement national
Ana VASCONCELOS,Portugal,Renew Europe Group,257061,Iniciativa Liberal
Vlad VASILE-VOICULESCU,Romania,Renew Europe Group,257112,Uniunea Salvați România
Hilde VAUTMANS,Belgium,Renew Europe Group,130100,Anders
Francesco VENTOLA,Italy,European Conservatives and Reformists Group,257099,FRATELLI D' ITALIA
Sabine VERHEYEN,Germany,Group of the European People's Party (Christian Democrats),96756,Christlich Demokratische Union Deutschlands
Yvan VEROUGSTRAETE,Belgium,Renew Europe Group,256879,Les Engagés
Aurelijus VERYGA,Lithuania,European Conservatives and Reformists Group,256811,Lietuvos valstiečių ir žaliųjų sąjunga
Marko VEŠLIGAJ,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,260035,Socijaldemokratska partija Hrvatske
Annamária VICSEK,Hungary,Patriots for Europe Group,256859,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Catarina VIEIRA,Netherlands,Group of the Greens/European Free Alliance,257437,GroenLinks-PvdA
Kristian VIGENIN,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,34232,Bulgarian Socialist Party
Harald VILIMSKY,Austria,Patriots for Europe Group,125001,Freiheitliche Partei Österreichs
Loránt VINCZE,Romania,Group of the European People's Party (Christian Democrats),98582,Uniunea Democrată Maghiară din România
Marianne VIND,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,199941,Socialdemokratiet
Anders VISTISEN,Denmark,Patriots for Europe Group,124875,Dansk Folkeparti
Mariateresa VIVALDINI,Italy,European Conservatives and Reformists Group,257143,FRATELLI D' ITALIA
Petar VOLGIN,Bulgaria,Europe of Sovereign Nations Group,257260,Revival
Michael VON DER SCHULENBURG,Germany,Non-attached Members,256966,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit
Alexandr VONDRA,Czechia,European Conservatives and Reformists Group,197537,Občanská demokratická strana
Axel VOSS,Germany,Group of the European People's Party (Christian Democrats),96761,Christlich Demokratische Union Deutschlands
Elissavet VOZEMBERG-VRIONIDI,Greece,Group of the European People's Party (Christian Democrats),125065,Nea Demokratia
Veronika VRECIONOVÁ,Czechia,European Conservatives and Reformists Group,197552,Občanská demokratická strana
Adrián VÁZQUEZ LÁZARA,Spain,Group of the European People's Party (Christian Democrats),204400,Partido Popular
Thomas WAITZ,Austria,Group of the Greens/European Free Alliance,190464,Die Grünen - Die Grüne Alternative
Maria WALSH,Ireland,Group of the European People's Party (Christian Democrats),197863,Fine Gael Party
Marion WALSMANN,Germany,Group of the European People's Party (Christian Democrats),197429,Christlich Demokratische Union Deutschlands
Jörgen WARBORN,Sweden,Group of the European People's Party (Christian Democrats),197405,Moderaterna
Jan-Peter WARNKE,Germany,Non-attached Members,256967,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit
Maciej WĄSIK,Poland,European Conservatives and Reformists Group,257052,Prawo i Sprawiedliwość
Michał WAWRYKIEWICZ,Poland,Group of the European People's Party (Christian Democrats),257045,Independent
Marta WCISŁO,Poland,Group of the European People's Party (Christian Democrats),257046,Platforma Obywatelska
Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),28229,Christlich-Soziale Union in Bayern e.V.
Andrea WECHSLER,Germany,Group of the European People's Party (Christian Democrats),256977,Christlich Demokratische Union Deutschlands
Charlie WEIMERS,Sweden,European Conservatives and Reformists Group,123562,Sverigedemokraterna
Séverine WERBROUCK,France,Patriots for Europe Group,261796,Rassemblement national
Emma WIESNER,Sweden,Renew Europe Group,214839,Centerpartiet
Michal WIEZIK,Slovakia,Renew Europe Group,197769,Progresívne Slovensko
Sophie WILMÈS,Belgium,Renew Europe Group,220801,Mouvement Réformateur
Iuliu WINKLER,Romania,Group of the European People's Party (Christian Democrats),39725,Uniunea Democrată Maghiară din România
Angelika WINZIG,Austria,Group of the European People's Party (Christian Democrats),197652,Österreichische Volkspartei
Isabel WISELER-LIMA,Luxembourg,Group of the European People's Party (Christian Democrats),197421,Parti chrétien social luxembourgeois
Jadwiga WIŚNIEWSKA,Poland,European Conservatives and Reformists Group,124877,Prawo i Sprawiedliwość
Tiemo WÖLKEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,185619,Sozialdemokratische Partei Deutschlands
Lara WOLTERS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5392,GroenLinks-PvdA
Lucia YAR,Slovakia,Renew Europe Group,257011,Progresívne Slovensko
Stéphanie YON-COURTIN,France,Renew Europe Group,197581,Renaissance
Elena YONCHEVA,Bulgaria,Non-attached Members,197842,Movement for Rights and Freedoms
Maria ZACHARIA,Greece,Non-attached Members,256955,Plefsi Eleftherias
Ewa ZAJĄCZKOWSKA-HERNIK,Poland,Europe of Sovereign Nations Group,257069,Konfederacja Wolność i Niepodległość
Anna ZALEWSKA,Poland,European Conservatives and Reformists Group,197572,Prawo i Sprawiedliwość
Dainius ŽALIMAS,Lithuania,Renew Europe Group,256807,Laisvės partija
Alessandro ZAN,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257106,Partito Democratico
Javier ZARZALEJOS,Spain,Group of the European People's Party (Christian Democrats),197606,Partido Popular
Tomáš ZDECHOVSKÝ,Czechia,Group of the European People's Party (Christian Democrats),124713,Křesťanská a demokratická unie - Československá strana lidová
Bogdan Andrzej ZDROJEWSKI,Poland,Group of the European People's Party (Christian Democrats),124893,Koalicja Obywatelska
Auke ZIJLSTRA,Netherlands,Patriots for Europe Group,103246,Partij voor de Vrijheid
Roberts ZĪLE,Latvia,European Conservatives and Reformists Group,28615,"Nacionālā apvienība ""Visu Latvijai!"" - ""Tēvzemei un Brīvībai/LNNK"""
Nicola ZINGARETTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28419,Partito Democratico
Kosma ZŁOTOWSKI,Poland,European Conservatives and Reformists Group,124884,Prawo i Sprawiedliwość
Juan Ignacio ZOIDO ÁLVAREZ,Spain,Group of the European People's Party (Christian Democrats),197621,Partido Popular
Željana ZOVKO,Croatia,Group of the European People's Party (Christian Democrats),185341,Hrvatska demokratska zajednica
Milan ZVER,Slovenia,Group of the European People's Party (Christian Democrats),96933,Slovenska demokratska stranka
